close,date,high,low,marketcap,open,volume
1.18,"Oct 15, 2018",1.20,1.12,"274,754,439",1.15,"13,623,500"
1.14,"Oct 14, 2018",1.19,1.10,"265,692,273",1.11,"8,014,960"
1.11,"Oct 13, 2018",1.14,1.09,"257,629,764",1.12,"8,355,600"
1.12,"Oct 12, 2018",1.15,1.06,"260,768,550",1.07,"8,578,590"
1.08,"Oct 11, 2018",1.33,1.06,"250,921,105",1.33,"19,495,500"
1.32,"Oct 10, 2018",1.32,1.08,"307,048,746",1.09,"32,338,100"
1.08,"Oct 09, 2018",1.09,1.06,"252,743,325",1.07,"5,877,390"
1.07,"Oct 08, 2018",1.09,1.05,"248,791,298",1.06,"4,624,690"
1.06,"Oct 07, 2018",1.06,1.05,"246,694,113",1.06,"4,958,620"
1.06,"Oct 06, 2018",1.07,1.05,"246,430,800",1.07,"4,812,020"
1.06,"Oct 05, 2018",1.07,1.04,"247,954,754",1.06,"4,889,260"
1.06,"Oct 04, 2018",1.08,1.05,"246,109,232",1.06,"4,594,480"
1.06,"Oct 03, 2018",1.07,1.01,"246,239,723",1.06,"5,638,700"
1.05,"Oct 02, 2018",1.10,1.04,"245,808,636",1.07,"7,158,970"
1.08,"Oct 01, 2018",1.16,1.03,"250,611,188",1.07,"9,948,200"
1.07,"Sep 30, 2018",1.09,1.04,"249,112,866",1.09,"7,739,710"
1.09,"Sep 29, 2018",1.09,0.974689,"254,463,016",0.992843,"6,502,250"
0.999351,"Sep 28, 2018",1.02,0.991403,"232,869,242",1.01,"4,814,910"
1.01,"Sep 27, 2018",1.01,0.959666,"235,833,029",0.968860,"5,092,940"
0.968896,"Sep 26, 2018",1.01,0.939138,"225,772,603",0.964604,"6,870,160"
0.963156,"Sep 25, 2018",0.980157,0.940043,"224,435,066",0.980157,"5,883,500"
0.975978,"Sep 24, 2018",1.02,0.963317,"227,422,854",1.02,"5,187,410"
1.02,"Sep 23, 2018",1.05,0.996526,"237,478,154",1.01,"5,590,280"
1.01,"Sep 22, 2018",1.07,0.984606,"235,380,969",1.05,"7,263,840"
1.05,"Sep 21, 2018",1.05,0.975083,"245,319,293",0.984446,"8,081,370"
0.984592,"Sep 20, 2018",0.985744,0.924706,"229,430,093",0.935901,"4,814,290"
0.937182,"Sep 19, 2018",0.947835,0.908957,"218,382,592",0.947563,"4,685,850"
0.946182,"Sep 18, 2018",0.955338,0.907018,"220,479,776",0.909761,"4,414,580"
0.910160,"Sep 17, 2018",1.00,0.889297,"212,085,913",0.986757,"4,932,990"
0.988406,"Sep 16, 2018",1.01,0.971994,"230,318,833",1.01,"4,584,330"
1.01,"Sep 15, 2018",1.03,0.973722,"236,296,740",0.980004,"5,412,740"
0.978467,"Sep 14, 2018",1.03,0.903603,"228,002,842",0.914305,"8,942,980"
0.915175,"Sep 13, 2018",0.933048,0.861110,"213,254,511",0.862471,"5,229,720"
0.860509,"Sep 12, 2018",0.878196,0.818848,"200,516,213",0.876060,"4,300,740"
0.874707,"Sep 11, 2018",0.915730,0.866484,"203,824,638",0.904499,"3,545,440"
0.902874,"Sep 10, 2018",0.942901,0.895255,"210,388,126",0.930719,"3,323,650"
0.928855,"Sep 09, 2018",0.957965,0.879082,"216,442,231",0.910754,"3,526,990"
0.912286,"Sep 08, 2018",0.989841,0.902761,"212,581,314",0.968184,"3,023,600"
0.967573,"Sep 07, 2018",1.02,0.964032,"225,464,317",0.998512,"5,657,200"
0.995309,"Sep 06, 2018",0.995309,0.938888,"231,927,373",0.989375,"9,349,190"
0.992171,"Sep 05, 2018",1.19,0.992171,"231,196,155",1.18,"9,805,330"
1.18,"Sep 04, 2018",1.21,1.17,"274,847,647",1.18,"18,850,600"
1.18,"Sep 03, 2018",1.19,1.14,"275,325,339",1.17,"5,384,020"
1.17,"Sep 02, 2018",1.22,1.16,"272,512,782",1.20,"6,708,540"
1.20,"Sep 01, 2018",1.23,1.15,"279,855,257",1.15,"5,621,970"
1.15,"Aug 31, 2018",1.15,1.08,"268,290,451",1.10,"5,125,600"
1.10,"Aug 30, 2018",1.15,1.07,"255,481,315",1.14,"5,302,950"
1.14,"Aug 29, 2018",1.22,1.12,"266,214,238",1.22,"7,318,490"
1.22,"Aug 28, 2018",1.22,1.11,"284,371,194",1.11,"7,004,820"
1.11,"Aug 27, 2018",1.11,1.02,"259,274,889",1.03,"9,071,060"
1.03,"Aug 26, 2018",1.05,0.995600,"239,600,970",1.04,"5,847,540"
1.04,"Aug 25, 2018",1.05,1.01,"243,014,720",1.04,"5,076,910"
1.04,"Aug 24, 2018",1.04,0.970992,"242,460,131",0.992134,"7,979,690"
0.990381,"Aug 23, 2018",0.991038,0.957948,"230,779,048",0.968436,"5,625,420"
0.966823,"Aug 22, 2018",1.07,0.951519,"225,289,552",1.01,"4,217,910"
1.01,"Aug 21, 2018",1.04,0.964182,"234,861,334",0.979989,"3,683,990"
0.995482,"Aug 20, 2018",1.14,0.975531,"231,967,686",1.11,"4,323,720"
1.11,"Aug 19, 2018",1.15,1.03,"258,363,779",1.06,"10,544,500"
1.07,"Aug 18, 2018",1.25,1.02,"248,851,883",1.18,"9,879,600"
1.17,"Aug 17, 2018",1.18,0.913467,"272,598,999",0.915704,"10,989,200"
0.916252,"Aug 16, 2018",0.962776,0.908143,"213,505,474",0.911588,"5,779,940"
