close,date,high,low,marketcap,open,volume
26.55,"Oct 15, 2018",27.36,24.33,"459,005,853",24.60,"4,511,260"
24.52,"Oct 14, 2018",24.80,24.38,"423,840,604",24.51,"2,510,870"
24.50,"Oct 13, 2018",25.10,24.36,"423,506,571",24.88,"2,209,480"
24.88,"Oct 12, 2018",25.41,23.71,"430,003,792",23.85,"3,357,860"
23.88,"Oct 11, 2018",26.07,23.88,"412,685,453",26.04,"4,303,110"
26.01,"Oct 10, 2018",26.62,25.89,"449,421,301",26.36,"3,269,950"
26.41,"Oct 09, 2018",27.50,26.16,"456,301,989",27.47,"3,371,410"
27.41,"Oct 08, 2018",27.72,26.58,"473,607,722",26.93,"3,969,260"
26.86,"Oct 07, 2018",28.23,26.62,"463,956,357",28.23,"18,243,000"
28.15,"Oct 06, 2018",29.50,27.37,"486,214,534",27.37,"24,700,500"
27.32,"Oct 05, 2018",27.32,24.90,"471,915,265",25.17,"22,447,600"
25.10,"Oct 04, 2018",26.49,25.03,"433,513,387",26.03,"17,749,000"
26.00,"Oct 03, 2018",26.03,24.93,"449,001,991",25.46,"15,435,200"
25.47,"Oct 02, 2018",25.59,24.55,"439,824,841",24.65,"15,433,100"
24.70,"Oct 01, 2018",26.09,24.41,"426,424,861",25.89,"15,219,000"
25.96,"Sep 30, 2018",26.41,25.73,"448,141,187",26.20,"9,520,360"
26.25,"Sep 29, 2018",26.90,25.68,"453,090,928",26.90,"8,490,320"
26.94,"Sep 28, 2018",28.20,25.42,"465,016,861",26.64,"15,959,500"
26.61,"Sep 27, 2018",28.12,23.19,"459,160,908",23.45,"25,868,400"
23.48,"Sep 26, 2018",24.19,21.59,"405,108,913",21.85,"15,907,500"
21.86,"Sep 25, 2018",22.04,21.32,"377,148,441",21.95,"6,090,960"
21.97,"Sep 24, 2018",22.60,21.92,"379,054,055",22.53,"5,333,100"
22.53,"Sep 23, 2018",22.76,22.09,"388,573,255",22.20,"7,067,970"
22.18,"Sep 22, 2018",22.82,21.72,"382,558,670",22.68,"7,693,250"
22.65,"Sep 21, 2018",22.77,21.61,"390,621,892",21.62,"6,649,240"
21.64,"Sep 20, 2018",21.64,20.70,"373,222,887",21.03,"5,329,380"
21.05,"Sep 19, 2018",21.22,20.43,"363,030,208",21.04,"4,896,810"
21.05,"Sep 18, 2018",21.59,20.14,"362,933,428",20.35,"7,099,100"
20.37,"Sep 17, 2018",21.39,19.98,"351,154,089",21.34,"6,673,440"
21.33,"Sep 16, 2018",21.33,19.83,"367,752,919",20.22,"5,369,990"
20.20,"Sep 15, 2018",20.57,20.12,"348,200,469",20.25,"5,524,300"
20.28,"Sep 14, 2018",20.55,19.60,"349,570,374",20.08,"6,892,790"
20.09,"Sep 13, 2018",20.62,18.95,"346,208,223",19.19,"8,666,530"
19.15,"Sep 12, 2018",19.30,18.38,"329,927,003",19.00,"6,983,340"
19.00,"Sep 11, 2018",19.66,18.85,"327,325,428",19.66,"5,679,820"
19.62,"Sep 10, 2018",19.65,19.07,"338,023,238",19.15,"6,563,970"
19.15,"Sep 09, 2018",19.86,18.25,"329,901,885",18.68,"8,331,430"
18.70,"Sep 08, 2018",20.16,18.68,"322,133,284",18.98,"7,520,870"
18.98,"Sep 07, 2018",19.91,18.85,"326,827,992",19.68,"5,734,940"
19.71,"Sep 06, 2018",19.88,17.96,"339,414,780",19.37,"9,056,330"
19.43,"Sep 05, 2018",24.08,19.43,"334,558,958",21.45,"20,829,500"
21.45,"Sep 04, 2018",21.85,21.20,"369,368,263",21.27,"10,543,300"
21.23,"Sep 03, 2018",21.80,21.11,"365,405,276",21.43,"9,057,430"
21.40,"Sep 02, 2018",22.19,21.28,"368,428,939",22.15,"11,572,700"
22.12,"Sep 01, 2018",22.57,21.16,"380,653,168",22.40,"16,855,100"
22.41,"Aug 31, 2018",22.71,21.63,"385,715,851",21.79,"7,502,920"
21.78,"Aug 30, 2018",22.84,21.22,"374,693,185",22.76,"7,991,750"
22.74,"Aug 29, 2018",23.03,21.36,"391,253,038",21.97,"10,899,600"
21.97,"Aug 28, 2018",22.15,20.51,"378,012,532",20.58,"9,615,180"
20.60,"Aug 27, 2018",20.60,19.31,"354,284,710",19.43,"8,030,000"
19.43,"Aug 26, 2018",20.13,19.18,"334,176,061",19.71,"7,658,540"
20.17,"Aug 25, 2018",20.61,19.15,"346,967,625",19.24,"10,381,500"
19.33,"Aug 24, 2018",19.45,18.49,"332,352,777",18.68,"5,681,680"
18.67,"Aug 23, 2018",18.74,18.20,"320,959,130",18.42,"5,485,620"
18.42,"Aug 22, 2018",19.91,18.14,"316,709,019",18.73,"6,385,470"
18.70,"Aug 21, 2018",19.11,18.25,"321,425,642",18.25,"5,014,960"
18.27,"Aug 20, 2018",20.13,18.22,"314,049,278",19.75,"6,178,990"
19.77,"Aug 19, 2018",20.84,18.26,"339,734,005",19.04,"7,162,720"
19.03,"Aug 18, 2018",20.96,18.22,"326,974,518",20.60,"7,203,170"
20.45,"Aug 17, 2018",21.47,17.78,"351,497,995",17.78,"10,071,300"
17.78,"Aug 16, 2018",18.44,17.53,"305,574,930",17.82,"5,587,850"
17.81,"Aug 15, 2018",19.93,17.73,"305,940,616",18.39,"7,194,800"
18.40,"Aug 14, 2018",19.28,15.18,"316,027,915",18.42,"11,506,900"
18.54,"Aug 13, 2018",20.64,18.49,"318,401,067",19.87,"7,198,460"
19.86,"Aug 12, 2018",20.45,19.45,"341,052,078",20.16,"6,157,910"
20.24,"Aug 11, 2018",21.11,19.43,"347,666,760",21.11,"7,161,000"
21.11,"Aug 10, 2018",22.73,20.90,"362,480,958",22.61,"7,430,280"
22.67,"Aug 09, 2018",22.99,21.68,"389,209,879",21.75,"8,339,530"
21.75,"Aug 08, 2018",23.73,21.44,"373,473,985",23.73,"9,227,830"
23.71,"Aug 07, 2018",26.08,23.53,"407,033,119",25.87,"10,909,000"
25.93,"Aug 06, 2018",28.28,24.54,"445,148,894",25.51,"16,173,300"
25.46,"Aug 05, 2018",25.59,23.98,"436,890,406",24.20,"9,685,280"
24.20,"Aug 04, 2018",25.30,23.63,"415,204,417",24.67,"5,959,840"
24.75,"Aug 03, 2018",25.72,23.41,"424,658,887",25.71,"10,327,000"
25.69,"Aug 02, 2018",28.47,25.42,"440,729,301",27.69,"9,541,590"
27.80,"Aug 01, 2018",28.04,26.38,"476,929,006",28.01,"8,412,570"
28.04,"Jul 31, 2018",29.81,27.55,"480,901,800",28.53,"11,556,000"
30.38,"Jul 30, 2018",33.61,27.52,"521,138,925",33.61,"10,120,100"
33.57,"Jul 29, 2018",34.44,30.49,"575,667,489",30.49,"17,609,600"
30.37,"Jul 28, 2018",31.94,30.17,"520,785,843",31.79,"8,720,480"
31.76,"Jul 27, 2018",32.28,28.54,"544,586,639",29.66,"16,763,500"
29.67,"Jul 26, 2018",31.39,29.34,"508,639,835",30.64,"11,147,300"
30.69,"Jul 25, 2018",32.05,29.89,"526,139,534",31.73,"12,428,800"
32.08,"Jul 24, 2018",33.11,29.34,"549,795,926",30.68,"24,033,300"
30.67,"Jul 23, 2018",33.24,28.51,"525,690,455",28.51,"30,682,300"
28.55,"Jul 22, 2018",30.40,28.39,"489,260,020",28.92,"10,237,700"
28.95,"Jul 21, 2018",29.22,27.54,"496,004,429",27.89,"7,355,940"
27.93,"Jul 20, 2018",30.89,27.83,"478,612,136",30.89,"9,588,410"
30.89,"Jul 19, 2018",32.40,30.48,"529,215,834",31.24,"9,516,590"
31.25,"Jul 18, 2018",32.76,30.58,"535,376,167",31.46,"11,376,200"
31.44,"Jul 17, 2018",32.67,28.85,"538,485,768",29.69,"13,527,500"
29.75,"Jul 16, 2018",29.88,28.14,"509,457,109",28.19,"9,442,970"
28.15,"Jul 15, 2018",29.44,28.10,"481,986,769",28.55,"11,321,300"
28.61,"Jul 14, 2018",28.61,26.78,"489,865,451",27.53,"6,831,280"
27.59,"Jul 13, 2018",30.69,26.75,"472,427,302",29.57,"11,686,700"
29.43,"Jul 12, 2018",29.62,25.14,"503,859,851",27.24,"8,771,380"
27.25,"Jul 11, 2018",27.90,26.80,"466,476,457",27.40,"8,032,830"
27.40,"Jul 10, 2018",32.27,27.30,"469,027,653",30.44,"8,713,120"
30.76,"Jul 09, 2018",34.60,29.36,"526,405,117",30.48,"12,223,400"
30.46,"Jul 08, 2018",31.62,30.32,"521,264,003",30.99,"9,954,600"
31.24,"Jul 07, 2018",31.67,28.40,"534,580,183",29.90,"15,383,000"
30.02,"Jul 06, 2018",30.05,27.19,"513,612,437",28.66,"12,468,600"
28.64,"Jul 05, 2018",30.10,28.07,"489,860,815",29.72,"11,143,500"
29.69,"Jul 04, 2018",30.61,27.87,"507,862,577",28.76,"12,865,000"
28.76,"Jul 03, 2018",31.07,28.32,"491,934,093",29.23,"13,432,500"
29.34,"Jul 02, 2018",30.14,26.61,"501,693,331",26.96,"16,719,900"
26.97,"Jul 01, 2018",27.16,25.68,"461,129,648",26.34,"12,607,800"
26.31,"Jun 30, 2018",26.55,24.35,"449,736,548",24.37,"12,016,800"
24.39,"Jun 29, 2018",24.64,23.10,"416,940,112",23.42,"9,678,440"
23.40,"Jun 28, 2018",24.83,23.30,"400,056,396",24.74,"9,298,970"
24.71,"Jun 27, 2018",24.81,23.90,"422,382,081",24.40,"8,210,370"
24.40,"Jun 26, 2018",26.18,24.36,"417,014,163",25.70,"9,377,090"
25.69,"Jun 25, 2018",25.73,23.95,"438,976,772",24.01,"8,861,650"
24.04,"Jun 24, 2018",25.81,22.38,"410,685,538",25.74,"12,391,100"
25.77,"Jun 23, 2018",26.78,25.11,"440,319,114",26.31,"9,861,810"
26.32,"Jun 22, 2018",31.78,25.57,"449,635,251",31.63,"12,549,900"
31.74,"Jun 21, 2018",32.77,31.16,"542,037,292",31.75,"11,528,700"
31.76,"Jun 20, 2018",33.39,31.41,"542,346,638",33.21,"12,899,000"
33.23,"Jun 19, 2018",33.72,31.97,"567,507,430",32.25,"10,952,800"
32.20,"Jun 18, 2018",33.30,31.50,"549,721,203",32.03,"14,186,100"
31.96,"Jun 17, 2018",33.40,31.84,"545,556,563",32.68,"9,034,540"
32.63,"Jun 16, 2018",33.21,32.01,"556,928,629",32.36,"10,215,900"
32.42,"Jun 15, 2018",34.52,32.31,"553,274,388",34.47,"12,128,900"
34.50,"Jun 14, 2018",35.27,32.03,"588,839,307",32.67,"14,021,800"
32.74,"Jun 13, 2018",34.77,31.37,"558,701,111",34.65,"12,752,500"
34.69,"Jun 12, 2018",38.34,34.31,"591,878,384",37.22,"14,100,300"
37.21,"Jun 11, 2018",37.44,35.53,"634,819,446",36.31,"12,494,400"
36.32,"Jun 10, 2018",43.61,35.63,"619,558,409",43.61,"18,470,500"
43.33,"Jun 09, 2018",44.23,43.33,"739,107,271",43.90,"11,494,000"
43.79,"Jun 08, 2018",45.04,43.36,"746,859,867",45.01,"14,026,800"
44.98,"Jun 07, 2018",45.80,44.85,"767,002,029",44.99,"11,735,500"
44.94,"Jun 06, 2018",45.82,44.17,"766,333,960",45.70,"13,529,300"
45.68,"Jun 05, 2018",46.01,43.65,"778,744,222",44.31,"14,410,700"
44.21,"Jun 04, 2018",47.35,43.29,"753,663,890",46.85,"17,414,900"
46.49,"Jun 03, 2018",47.72,44.90,"792,369,648",45.38,"16,811,300"
45.35,"Jun 02, 2018",45.71,43.43,"772,834,074",43.85,"13,231,300"
43.90,"Jun 01, 2018",44.80,42.78,"748,035,863",44.33,"13,487,000"
44.36,"May 31, 2018",45.41,41.54,"755,895,549",42.14,"16,443,900"
42.35,"May 30, 2018",44.75,41.51,"721,436,519",43.29,"11,323,700"
43.30,"May 29, 2018",44.06,40.28,"737,619,689",40.48,"14,634,600"
40.55,"May 28, 2018",44.76,40.49,"690,676,069",44.32,"11,881,700"
44.33,"May 27, 2018",44.52,43.95,"755,002,388",44.46,"10,054,500"
44.44,"May 26, 2018",46.00,44.40,"756,732,308",45.24,"10,607,800"
45.23,"May 25, 2018",47.26,44.63,"770,101,635",46.99,"10,904,200"
47.05,"May 24, 2018",47.62,44.33,"801,003,463",45.35,"15,457,600"
45.38,"May 23, 2018",50.61,44.69,"772,435,585",50.61,"16,724,500"
50.64,"May 22, 2018",53.95,50.64,"861,931,651",53.92,"11,871,600"
53.87,"May 21, 2018",56.08,53.42,"916,739,710",56.04,"12,601,400"
55.91,"May 20, 2018",56.57,53.07,"951,397,206",53.17,"14,230,500"
53.13,"May 19, 2018",54.29,52.00,"903,978,735",54.24,"13,166,900"
54.21,"May 18, 2018",54.23,51.95,"922,266,897",53.26,"20,822,400"
53.27,"May 17, 2018",59.80,52.79,"906,204,662",59.80,"21,261,100"
60.35,"May 16, 2018",60.35,54.90,"1,026,432,764",58.33,"21,224,900"
58.42,"May 15, 2018",64.87,57.54,"993,490,765",58.44,"34,357,600"
58.49,"May 14, 2018",60.27,55.91,"994,701,798",59.79,"22,368,900"
59.81,"May 13, 2018",60.35,56.00,"1,016,921,731",57.37,"16,482,100"
57.09,"May 12, 2018",59.24,53.50,"970,564,027",56.84,"22,741,400"
56.90,"May 11, 2018",65.40,55.32,"967,166,611",64.65,"34,785,000"
64.75,"May 10, 2018",70.96,64.75,"1,100,569,740",70.37,"21,005,700"
70.05,"May 09, 2018",71.62,66.40,"1,190,436,352",71.62,"24,826,900"
71.70,"May 08, 2018",75.38,70.17,"1,218,315,000",73.77,"24,173,700"
73.37,"May 07, 2018",77.85,71.62,"1,246,617,585",77.72,"26,749,600"
77.79,"May 06, 2018",83.80,75.05,"1,321,517,099",80.53,"67,628,600"
80.42,"May 05, 2018",81.58,74.99,"1,366,018,061",74.99,"61,619,100"
75.06,"May 04, 2018",77.21,73.90,"1,274,836,405",76.92,"26,634,700"
76.94,"May 03, 2018",77.48,73.90,"1,306,588,343",76.01,"38,523,900"
