close,date,high,low,marketcap,open,volume
6596.54,"Oct 15, 2018",6965.06,6258.68,"114,280,022,340",6292.64,"7,370,770,000"
6290.93,"Oct 14, 2018",6363.21,6280.15,"108,972,590,373",6288.49,"3,085,320,000"
6285.99,"Oct 13, 2018",6308.51,6259.81,"108,878,136,724",6278.08,"3,064,030,000"
6274.58,"Oct 12, 2018",6328.50,6236.47,"108,669,526,315",6239.25,"3,783,500,000"
6256.24,"Oct 11, 2018",6586.74,6243.74,"108,341,572,839",6586.74,"5,181,640,000"
6585.53,"Oct 10, 2018",6640.29,6538.96,"114,030,835,912",6640.29,"3,787,650,000"
6642.64,"Oct 09, 2018",6661.41,6606.94,"115,007,759,484",6653.08,"3,580,810,000"
6652.23,"Oct 08, 2018",6675.06,6576.04,"115,162,906,843",6600.19,"3,979,460,000"
6602.95,"Oct 07, 2018",6641.49,6557.04,"114,298,880,311",6590.68,"3,306,630,000"
6588.31,"Oct 06, 2018",6628.54,6577.80,"114,033,598,927",6622.45,"3,259,740,000"
6622.48,"Oct 05, 2018",6623.62,6557.41,"114,614,764,674",6574.15,"3,671,500,000"
6576.69,"Oct 04, 2018",6603.31,6497.91,"113,811,343,543",6497.91,"3,838,410,000"
6502.59,"Oct 03, 2018",6571.46,6454.03,"112,516,993,837",6553.86,"3,887,310,000"
6556.10,"Oct 02, 2018",6611.84,6537.90,"113,431,019,760",6593.24,"3,979,260,000"
6589.62,"Oct 01, 2018",6653.30,6549.08,"113,999,846,113",6619.85,"4,000,970,000"
6625.56,"Sep 30, 2018",6643.78,6566.54,"114,608,519,470",6604.71,"4,002,280,000"
6601.96,"Sep 29, 2018",6643.10,6511.65,"114,186,839,964",6643.10,"4,363,690,000"
6644.13,"Sep 28, 2018",6785.03,6598.32,"114,903,584,220",6678.75,"5,014,430,000"
6676.75,"Sep 27, 2018",6712.10,6464.95,"115,454,861,756",6495.29,"4,606,810,000"
6495.00,"Sep 26, 2018",6585.91,6397.89,"112,300,336,125",6452.79,"4,437,300,000"
6446.47,"Sep 25, 2018",6603.64,6381.86,"111,450,035,114",6603.64,"4,726,180,000"
6595.41,"Sep 24, 2018",6713.56,6580.90,"114,011,060,309",6704.77,"4,177,310,000"
6710.63,"Sep 23, 2018",6766.15,6679.42,"115,990,387,532",6715.32,"4,197,500,000"
6721.98,"Sep 22, 2018",6814.56,6616.80,"116,173,876,360",6735.05,"4,509,660,000"
6734.95,"Sep 21, 2018",6794.33,6496.36,"116,385,068,032",6513.87,"6,531,940,000"
6519.67,"Sep 20, 2018",6529.26,6395.95,"112,653,130,183",6398.85,"4,348,110,000"
6398.54,"Sep 19, 2018",6448.46,6208.34,"110,547,735,544",6371.85,"4,431,340,000"
6371.30,"Sep 18, 2018",6384.18,6265.71,"110,064,685,348",6280.91,"4,180,090,000"
6281.20,"Sep 17, 2018",6540.21,6257.52,"108,497,127,334",6514.06,"3,910,780,000"
6517.18,"Sep 16, 2018",6544.33,6460.10,"112,562,367,224",6536.68,"3,273,730,000"
6543.20,"Sep 15, 2018",6561.72,6493.55,"113,000,324,618",6509.40,"3,216,300,000"
6512.71,"Sep 14, 2018",6596.10,6456.17,"112,462,453,186",6515.41,"4,076,220,000"
6517.31,"Sep 13, 2018",6535.41,6354.24,"112,530,970,182",6354.24,"4,210,910,000"
6351.80,"Sep 12, 2018",6363.87,6265.09,"109,661,521,297",6317.01,"4,064,230,000"
6321.20,"Sep 11, 2018",6398.92,6260.21,"109,119,948,884",6331.88,"3,849,910,000"
6329.70,"Sep 10, 2018",6374.98,6292.76,"109,255,603,474",6301.57,"3,714,100,000"
6300.86,"Sep 09, 2018",6446.26,6201.22,"108,747,090,915",6223.38,"3,671,890,000"
6225.98,"Sep 08, 2018",6534.25,6197.52,"107,442,122,871",6460.17,"3,835,060,000"
6467.07,"Sep 07, 2018",6555.29,6396.87,"111,590,424,587",6528.92,"4,264,680,000"
6529.17,"Sep 06, 2018",6755.14,6404.72,"112,649,565,532",6755.14,"5,523,470,000"
6792.83,"Sep 05, 2018",7388.43,6792.83,"117,185,657,641",7361.46,"5,800,460,000"
