close,date,high,low,marketcap,open,volume
164.98,"Oct 15, 2018",170.71,155.92,"1,383,069,764",157.17,"167,932,000"
157.42,"Oct 14, 2018",162.17,157.14,"1,319,412,536",161.21,"147,540,000"
160.86,"Oct 13, 2018",160.86,157.48,"1,347,993,791",157.80,"109,154,000"
157.82,"Oct 12, 2018",162.05,152.77,"1,322,221,583",156.05,"191,719,000"
157.14,"Oct 11, 2018",178.18,157.00,"1,316,214,775",178.18,"150,780,000"
178.52,"Oct 10, 2018",180.69,176.53,"1,494,940,468",180.51,"252,133,000"
181.03,"Oct 09, 2018",182.72,179.28,"1,515,688,709",182.59,"147,767,000"
182.15,"Oct 08, 2018",183.83,178.27,"1,524,731,889",180.35,"150,222,000"
180.25,"Oct 07, 2018",181.79,177.58,"1,508,481,418",180.71,"207,284,000"
180.39,"Oct 06, 2018",187.30,180.23,"1,509,290,054",182.31,"275,432,000"
182.05,"Oct 05, 2018",182.12,179.09,"1,522,871,443",180.66,"216,765,000"
180.45,"Oct 04, 2018",181.67,177.54,"1,509,191,364",177.65,"309,359,000"
177.56,"Oct 03, 2018",182.00,176.20,"1,484,652,287",182.00,"303,071,000"
182.24,"Oct 02, 2018",187.46,180.63,"1,523,433,382",186.98,"222,211,000"
186.92,"Oct 01, 2018",188.45,184.63,"1,561,107,655",187.17,"368,119,000"
187.65,"Sep 30, 2018",189.76,185.72,"1,566,842,505",188.50,"281,672,000"
188.51,"Sep 29, 2018",190.16,184.37,"1,573,719,003",187.19,"297,395,000"
187.45,"Sep 28, 2018",195.48,186.72,"1,564,507,714",194.24,"224,084,000"
194.48,"Sep 27, 2018",196.66,184.04,"1,622,805,786",184.65,"243,512,000"
184.53,"Sep 26, 2018",192.89,183.45,"1,539,474,075",189.37,"179,411,000"
189.65,"Sep 25, 2018",197.83,180.94,"1,581,864,396",197.83,"150,086,000"
197.81,"Sep 24, 2018",205.49,193.29,"1,649,510,819",205.07,"164,016,000"
204.90,"Sep 23, 2018",210.93,202.80,"1,708,248,903",204.88,"156,285,000"
204.40,"Sep 22, 2018",213.56,198.22,"1,703,731,964",208.00,"169,790,000"
208.52,"Sep 21, 2018",210.95,200.30,"1,737,698,840",200.52,"206,347,000"
200.49,"Sep 20, 2018",200.98,188.15,"1,670,431,363",191.41,"210,051,000"
191.19,"Sep 19, 2018",195.59,185.84,"1,592,589,653",191.51,"194,043,000"
190.83,"Sep 18, 2018",190.83,178.94,"1,589,242,953",183.50,"262,497,000"
184.31,"Sep 17, 2018",198.98,179.98,"1,534,588,201",193.24,"213,697,000"
192.62,"Sep 16, 2018",192.84,185.23,"1,603,460,439",191.92,"293,870,000"
191.78,"Sep 15, 2018",194.83,186.94,"1,596,126,624",190.87,"171,229,000"
191.30,"Sep 14, 2018",198.78,186.29,"1,591,768,918",193.05,"215,844,000"
193.27,"Sep 13, 2018",200.77,181.66,"1,607,795,466",185.44,"171,149,000"
185.26,"Sep 12, 2018",187.62,172.19,"1,540,839,564",187.62,"231,141,000"
187.26,"Sep 11, 2018",205.42,181.91,"1,557,076,976",202.20,"144,562,000"
201.13,"Sep 10, 2018",206.09,193.92,"1,672,042,900",193.92,"197,999,000"
193.36,"Sep 09, 2018",198.10,177.87,"1,607,096,101",185.95,"239,540,000"
185.90,"Sep 08, 2018",201.51,183.68,"1,544,769,298",187.74,"270,179,000"
187.56,"Sep 07, 2018",192.37,172.81,"1,558,267,992",180.67,"247,866,000"
180.90,"Sep 06, 2018",180.95,162.97,"1,502,531,076",174.84,"198,834,000"
174.44,"Sep 05, 2018",220.90,173.73,"1,448,553,895",216.68,"186,626,000"
216.56,"Sep 04, 2018",220.10,212.98,"1,798,017,926",217.06,"160,185,000"
217.29,"Sep 03, 2018",221.46,205.15,"1,803,668,745",213.15,"177,073,000"
212.33,"Sep 02, 2018",221.28,206.15,"1,762,071,640",220.88,"246,093,000"
220.74,"Sep 01, 2018",221.14,194.56,"1,830,092,176",194.56,"234,140,000"
194.62,"Aug 31, 2018",194.62,183.01,"1,613,163,708",183.53,"315,329,000"
183.40,"Aug 30, 2018",187.63,174.87,"1,519,862,678",187.63,"299,466,000"
187.81,"Aug 29, 2018",200.12,186.17,"1,556,072,749",194.01,"177,095,000"
194.34,"Aug 28, 2018",200.38,171.07,"1,609,766,294",182.13,"305,053,000"
183.08,"Aug 27, 2018",185.87,141.06,"1,516,216,718",141.86,"355,782,000"
141.74,"Aug 26, 2018",145.03,138.83,"1,173,572,867",144.92,"166,603,000"
144.81,"Aug 25, 2018",146.34,141.82,"1,198,693,119",144.98,"275,311,000"
145.02,"Aug 24, 2018",145.46,137.66,"1,200,172,919",140.75,"232,796,000"
140.37,"Aug 23, 2018",141.27,135.45,"1,161,415,700",136.72,"183,027,000"
136.54,"Aug 22, 2018",152.18,135.88,"1,129,500,259",141.71,"195,766,000"
141.72,"Aug 21, 2018",146.17,138.90,"1,172,124,435",142.54,"152,785,000"
142.40,"Aug 20, 2018",158.20,142.24,"1,177,500,385",155.31,"120,183,000"
154.56,"Aug 19, 2018",161.01,149.25,"1,277,744,556",152.22,"234,411,000"
152.31,"Aug 18, 2018",169.42,147.22,"1,258,849,213",166.40,"166,439,000"
166.84,"Aug 17, 2018",166.84,151.79,"1,378,657,520",151.79,"207,021,000"
151.25,"Aug 16, 2018",158.96,148.93,"1,249,525,849",153.35,"104,578,000"
153.34,"Aug 15, 2018",161.21,139.30,"1,266,541,598",139.30,"126,689,000"
138.57,"Aug 14, 2018",145.32,134.09,"1,144,312,040",145.09,"123,578,000"
145.04,"Aug 13, 2018",170.90,144.93,"1,197,467,082",168.12,"129,702,000"
167.91,"Aug 12, 2018",169.73,164.32,"1,385,980,673",165.62,"107,311,000"
166.40,"Aug 11, 2018",171.19,163.15,"1,373,161,813",169.19,"113,630,000"
169.12,"Aug 10, 2018",191.01,167.66,"1,395,333,769",183.77,"110,106,000"
184.01,"Aug 09, 2018",190.08,172.40,"1,517,810,865",173.48,"122,426,000"
173.14,"Aug 08, 2018",190.14,170.99,"1,427,827,096",187.42,"174,335,000"
188.08,"Aug 07, 2018",206.34,187.75,"1,550,687,029",199.50,"170,902,000"
199.61,"Aug 06, 2018",211.94,199.59,"1,645,430,657",207.16,"224,131,000"
207.02,"Aug 05, 2018",207.88,200.71,"1,706,106,350",202.32,"170,719,000"
202.45,"Aug 04, 2018",213.77,200.28,"1,668,059,335",210.46,"167,293,000"
211.04,"Aug 03, 2018",212.54,203.56,"1,738,489,387",211.03,"160,182,000"
211.94,"Aug 02, 2018",221.66,206.39,"1,745,499,628",219.37,"110,739,000"
218.98,"Aug 01, 2018",222.63,213.76,"1,801,736,235",218.32,"94,695,000"
218.37,"Jul 31, 2018",235.80,213.68,"1,796,322,919",235.74,"100,782,000"
235.16,"Jul 30, 2018",240.21,231.33,"1,933,973,657",240.21,"371,534,000"
240.42,"Jul 29, 2018",243.01,237.36,"1,976,848,018",241.28,"64,928,800"
241.03,"Jul 28, 2018",244.88,239.08,"1,981,403,683",244.06,"94,602,704"
243.93,"Jul 27, 2018",253.57,235.38,"2,004,764,670",242.00,"111,515,000"
241.90,"Jul 26, 2018",249.74,241.49,"1,987,652,085",244.35,"130,621,000"
246.94,"Jul 25, 2018",254.41,240.67,"2,028,579,330",251.07,"131,916,000"
254.18,"Jul 24, 2018",254.38,238.78,"2,087,653,934",241.82,"107,106,000"
241.47,"Jul 23, 2018",258.48,240.84,"1,982,783,318",250.36,"176,091,008"
250.58,"Jul 22, 2018",259.99,247.67,"2,057,154,656",255.07,"163,632,992"
