close,date,high,low,marketcap,open,volume
39.92,"Oct 15, 2018",41.49,37.11,"345,156,731",37.40,"1,171,760"
37.39,"Oct 14, 2018",38.60,37.18,"323,059,355",37.87,"249,550"
38.13,"Oct 13, 2018",38.28,35.97,"329,234,766",36.23,"512,276"
36.25,"Oct 12, 2018",38.40,36.01,"312,813,615",36.71,"2,092,390"
36.82,"Oct 11, 2018",41.35,36.49,"317,530,343",41.35,"10,183,500"
41.42,"Oct 10, 2018",41.99,39.95,"356,984,210",40.97,"1,643,250"
41.10,"Oct 09, 2018",45.87,40.26,"353,946,101",44.19,"5,053,600"
44.12,"Oct 08, 2018",44.51,40.04,"379,699,163",40.13,"1,697,510"
40.05,"Oct 07, 2018",41.20,39.69,"344,447,984",40.84,"240,057"
40.72,"Oct 06, 2018",42.19,40.35,"349,998,625",42.02,"648,012"
42.00,"Oct 05, 2018",42.37,40.96,"360,747,604",41.29,"1,195,760"
41.18,"Oct 04, 2018",41.34,38.34,"353,533,176",38.51,"1,886,200"
38.64,"Oct 03, 2018",39.05,37.78,"331,503,237",38.92,"710,528"
38.86,"Oct 02, 2018",39.07,38.17,"333,134,293",38.51,"1,325,290"
38.62,"Oct 01, 2018",39.84,38.19,"330,839,515",39.19,"732,532"
39.23,"Sep 30, 2018",39.90,38.25,"335,794,888",39.09,"2,769,030"
39.07,"Sep 29, 2018",39.21,37.96,"334,271,438",38.75,"3,437,790"
38.80,"Sep 28, 2018",39.63,38.41,"331,765,971",38.70,"1,183,200"
38.69,"Sep 27, 2018",38.97,36.87,"330,554,344",37.10,"1,016,760"
37.04,"Sep 26, 2018",37.37,35.95,"316,256,306",36.91,"985,738"
36.95,"Sep 25, 2018",37.80,36.12,"315,214,396",37.80,"738,268"
37.85,"Sep 24, 2018",39.18,37.45,"322,727,691",38.93,"736,025"
38.82,"Sep 23, 2018",38.92,37.60,"330,747,508",38.05,"816,181"
37.91,"Sep 22, 2018",38.85,36.67,"322,807,616",38.53,"732,990"
38.41,"Sep 21, 2018",38.62,36.32,"326,866,067",36.77,"1,349,850"
36.75,"Sep 20, 2018",37.21,35.89,"312,499,961",36.36,"648,159"
36.35,"Sep 19, 2018",36.84,35.51,"308,913,150",36.31,"834,800"
36.29,"Sep 18, 2018",37.32,35.46,"308,148,466",36.34,"756,664"
36.29,"Sep 17, 2018",38.00,36.24,"307,946,380",37.93,"982,002"
37.94,"Sep 16, 2018",38.58,37.34,"321,764,294",38.58,"338,406"
38.63,"Sep 15, 2018",38.87,37.14,"327,342,147",38.15,"631,838"
38.38,"Sep 14, 2018",41.09,36.57,"325,026,566",37.20,"14,013,400"
37.22,"Sep 13, 2018",37.43,34.66,"315,013,542",34.77,"1,281,160"
34.75,"Sep 12, 2018",35.93,34.16,"293,878,321",35.87,"732,954"
35.83,"Sep 11, 2018",37.76,34.36,"302,825,821",36.48,"846,255"
36.48,"Sep 10, 2018",37.73,35.55,"308,098,316",37.29,"526,136"
37.14,"Sep 09, 2018",38.34,35.32,"313,468,254",35.32,"775,473"
35.33,"Sep 08, 2018",39.49,34.99,"297,984,469",38.24,"849,435"
38.23,"Sep 07, 2018",40.74,36.38,"322,253,714",37.43,"8,871,780"
37.43,"Sep 06, 2018",37.83,34.97,"315,269,559",37.81,"1,373,210"
37.24,"Sep 05, 2018",43.64,37.24,"313,421,398",43.10,"2,332,860"
43.12,"Sep 04, 2018",43.71,42.54,"362,692,819",42.95,"2,667,040"
42.77,"Sep 03, 2018",44.55,42.74,"359,541,303",44.45,"1,480,470"
44.30,"Sep 02, 2018",44.86,42.41,"372,103,844",44.73,"1,862,140"
44.70,"Sep 01, 2018",45.23,42.53,"375,228,891",42.72,"2,698,010"
42.75,"Aug 31, 2018",42.80,41.59,"358,615,007",42.44,"952,497"
42.39,"Aug 30, 2018",43.84,39.82,"355,313,328",41.67,"3,479,080"
41.62,"Aug 29, 2018",44.01,40.54,"348,631,923",41.24,"1,513,560"
41.21,"Aug 28, 2018",41.87,40.10,"344,985,889",40.41,"1,754,090"
40.29,"Aug 27, 2018",40.29,37.66,"336,993,976",38.24,"3,056,870"
38.33,"Aug 26, 2018",39.92,37.22,"320,384,071",39.90,"6,506,580"
39.98,"Aug 25, 2018",41.01,38.64,"333,974,130",40.72,"7,292,340"
40.81,"Aug 24, 2018",41.07,35.13,"340,696,367",37.34,"7,721,500"
37.28,"Aug 23, 2018",37.38,36.31,"311,011,984",36.49,"7,707,900"
36.42,"Aug 22, 2018",39.67,36.04,"303,602,083",37.89,"1,777,910"
37.89,"Aug 21, 2018",38.30,36.57,"315,623,842",36.82,"2,759,490"
36.95,"Aug 20, 2018",40.85,36.74,"307,555,771",40.27,"1,778,690"
40.22,"Aug 19, 2018",40.75,38.34,"334,557,535",39.36,"973,823"
39.27,"Aug 18, 2018",43.37,37.68,"326,404,765",42.30,"1,655,690"
42.43,"Aug 17, 2018",42.56,37.73,"352,462,253",37.73,"1,534,870"
37.89,"Aug 16, 2018",38.69,36.77,"314,461,470",37.20,"1,090,910"
37.39,"Aug 15, 2018",40.78,36.67,"310,166,883",39.57,"1,760,550"
39.71,"Aug 14, 2018",39.71,32.59,"329,160,705",38.57,"2,528,370"
38.61,"Aug 13, 2018",41.61,38.61,"319,835,503",41.22,"1,313,600"
41.26,"Aug 12, 2018",42.92,41.08,"341,472,741",42.73,"975,567"
42.82,"Aug 11, 2018",43.81,41.33,"354,120,256",42.44,"1,358,100"
42.47,"Aug 10, 2018",47.24,42.07,"351,026,561",47.24,"1,171,430"
47.27,"Aug 09, 2018",47.80,42.69,"390,394,441",44.80,"1,780,160"
45.23,"Aug 08, 2018",47.44,42.36,"368,633,654",47.44,"1,963,460"
47.35,"Aug 07, 2018",50.95,47.21,"385,925,876",49.66,"1,509,520"
49.74,"Aug 06, 2018",51.51,48.62,"405,404,181",49.89,"1,358,750"
49.84,"Aug 05, 2018",51.45,49.61,"406,270,626",50.40,"1,397,620"
50.33,"Aug 04, 2018",55.62,50.05,"410,227,093",55.32,"1,919,250"
55.04,"Aug 03, 2018",56.13,51.35,"448,624,547",53.61,"2,401,740"
53.59,"Aug 02, 2018",59.36,53.59,"436,817,908",57.22,"2,191,790"
57.27,"Aug 01, 2018",57.32,54.25,"466,810,112",56.28,"2,479,770"
56.37,"Jul 31, 2018",60.02,55.91,"459,469,374",60.02,"2,583,760"
60.17,"Jul 30, 2018",63.88,58.55,"490,413,607",63.46,"2,828,940"
63.87,"Jul 29, 2018",65.12,62.89,"520,570,460",64.86,"2,689,740"
64.25,"Jul 28, 2018",65.14,62.84,"523,689,010",64.16,"2,355,340"
63.75,"Jul 27, 2018",65.03,60.62,"519,642,068",64.23,"3,749,360"
64.14,"Jul 26, 2018",66.71,63.31,"522,763,063",66.45,"3,377,060"
66.39,"Jul 25, 2018",68.10,63.97,"541,144,251",65.86,"2,893,070"
67.04,"Jul 24, 2018",71.08,62.71,"546,470,076",68.03,"5,828,840"
67.97,"Jul 23, 2018",71.47,67.63,"553,985,244",69.93,"3,137,300"
70.02,"Jul 22, 2018",73.00,68.83,"570,748,469",72.28,"2,263,450"
72.22,"Jul 21, 2018",73.69,71.32,"585,053,116",72.42,"2,552,970"
72.64,"Jul 20, 2018",74.31,70.85,"588,457,866",72.98,"3,095,920"
73.17,"Jul 19, 2018",76.77,70.97,"592,768,281",71.96,"3,353,710"
72.09,"Jul 18, 2018",76.99,71.04,"583,959,514",75.57,"4,089,090"
76.72,"Jul 17, 2018",77.47,68.53,"621,498,437",71.69,"5,271,680"
71.60,"Jul 16, 2018",71.60,62.26,"579,999,052",63.34,"4,098,650"
63.18,"Jul 15, 2018",63.70,57.20,"511,805,231",57.47,"3,206,810"
57.68,"Jul 14, 2018",57.82,55.83,"467,219,456",57.24,"5,765,040"
57.36,"Jul 13, 2018",57.92,55.93,"440,486,268",56.88,"10,925,200"
57.02,"Jul 12, 2018",59.69,55.75,"437,586,822",59.44,"2,790,220"
59.51,"Jul 11, 2018",60.48,57.74,"456,318,356",58.08,"2,386,530"
58.80,"Jul 10, 2018",63.45,57.59,"450,500,906",62.80,"2,794,750"
62.77,"Jul 09, 2018",63.96,61.57,"480,566,782",63.21,"2,832,510"
63.29,"Jul 08, 2018",66.01,62.92,"484,176,181",65.41,"2,292,290"
65.60,"Jul 07, 2018",66.99,63.26,"501,436,475",66.76,"2,496,810"
66.83,"Jul 06, 2018",69.31,61.97,"510,424,415",66.01,"4,643,210"
66.47,"Jul 05, 2018",69.76,65.57,"507,331,268",69.17,"8,123,940"
69.16,"Jul 04, 2018",71.51,67.91,"494,196,721",69.70,"3,195,770"
69.95,"Jul 03, 2018",71.70,68.21,"499,858,294",70.18,"2,813,280"
70.60,"Jul 02, 2018",72.31,65.92,"504,514,460",68.11,"2,773,440"
68.47,"Jul 01, 2018",69.31,64.57,"489,258,298",67.10,"3,844,910"
67.19,"Jun 30, 2018",69.92,66.74,"480,113,891",69.13,"2,527,450"
69.78,"Jun 29, 2018",71.71,57.88,"498,630,655",60.39,"3,765,720"
60.40,"Jun 28, 2018",69.83,60.28,"431,615,734",69.53,"5,549,540"
69.68,"Jun 27, 2018",71.76,67.57,"497,885,354",71.35,"9,099,940"
71.52,"Jun 26, 2018",75.23,70.17,"511,039,952",74.49,"8,445,780"
74.94,"Jun 25, 2018",76.23,69.36,"535,521,982",73.96,"8,448,140"
73.79,"Jun 24, 2018",74.94,64.84,"527,255,786",72.48,"8,946,690"
