close,date,high,low,marketcap,open,volume
5.47,"Oct 15, 2018",5.64,5.11,"4,958,094,226",5.16,"918,475,000"
5.17,"Oct 14, 2018",5.28,5.16,"4,682,831,334",5.25,"372,903,000"
5.25,"Oct 13, 2018",5.28,5.18,"4,761,330,286",5.18,"362,609,000"
5.18,"Oct 12, 2018",5.24,5.03,"4,693,941,899",5.04,"525,307,000"
5.08,"Oct 11, 2018",5.88,5.07,"4,601,251,148",5.88,"758,737,000"
5.88,"Oct 10, 2018",5.90,5.81,"5,328,630,667",5.89,"533,169,000"
5.91,"Oct 09, 2018",5.94,5.84,"5,355,691,146",5.92,"538,883,000"
5.91,"Oct 08, 2018",5.99,5.72,"5,359,035,191",5.77,"627,571,000"
5.76,"Oct 07, 2018",5.79,5.66,"5,219,174,382",5.73,"525,930,000"
5.73,"Oct 06, 2018",5.82,5.70,"5,192,168,277",5.81,"486,075,000"
5.81,"Oct 05, 2018",5.83,5.69,"5,266,489,439",5.79,"554,553,000"
5.78,"Oct 04, 2018",5.85,5.61,"5,235,749,605",5.63,"613,679,000"
5.62,"Oct 03, 2018",5.64,5.49,"5,091,384,758",5.61,"595,740,000"
5.65,"Oct 02, 2018",5.76,5.58,"5,117,140,244",5.74,"564,671,000"
5.74,"Oct 01, 2018",5.80,5.57,"5,198,765,742",5.74,"695,608,000"
5.72,"Sep 30, 2018",5.88,5.45,"5,182,997,077",5.76,"828,008,000"
5.76,"Sep 29, 2018",5.81,5.52,"5,223,714,670",5.76,"678,214,000"
5.77,"Sep 28, 2018",6.02,5.71,"5,229,070,578",5.83,"840,105,000"
5.82,"Sep 27, 2018",5.88,5.41,"5,270,785,041",5.56,"753,645,000"
5.55,"Sep 26, 2018",5.73,5.27,"5,034,191,628",5.39,"683,187,000"
5.38,"Sep 25, 2018",5.68,5.08,"4,877,329,661",5.68,"891,486,000"
5.68,"Sep 24, 2018",6.03,5.63,"5,149,973,504",6.02,"654,906,000"
6.02,"Sep 23, 2018",6.10,5.84,"5,456,166,542",5.95,"686,260,000"
5.93,"Sep 22, 2018",6.22,5.81,"5,374,151,359",6.18,"669,024,000"
6.14,"Sep 21, 2018",6.15,5.65,"5,566,103,138",5.75,"1,088,760,000"
