close,date,high,low,marketcap,open,volume
209.70,"Oct 15, 2018",222.12,194.16,"21,514,574,462",195.27,"2,865,830,000"
195.72,"Oct 14, 2018",201.83,195.24,"20,075,397,007",199.69,"1,169,260,000"
199.84,"Oct 13, 2018",201.28,196.36,"20,494,529,773",196.36,"1,167,610,000"
196.73,"Oct 12, 2018",199.40,188.71,"20,171,157,774",188.71,"1,487,900,000"
189.50,"Oct 11, 2018",225.61,189.28,"19,426,181,717",225.61,"2,167,620,000"
225.77,"Oct 10, 2018",227.71,224.50,"23,139,713,070",227.62,"1,384,040,000"
227.98,"Oct 09, 2018",230.16,226.40,"23,361,891,401",229.71,"1,405,130,000"
229.25,"Oct 08, 2018",230.76,224.56,"23,487,673,000",226.51,"1,470,740,000"
226.12,"Oct 07, 2018",226.37,223.00,"23,161,767,973",225.44,"1,470,480,000"
225.12,"Oct 06, 2018",227.93,224.25,"23,054,817,089",227.55,"1,505,070,000"
227.60,"Oct 05, 2018",228.32,220.96,"23,304,234,601",222.27,"1,547,330,000"
222.22,"Oct 04, 2018",226.15,220.09,"22,748,580,859",220.45,"1,479,500,000"
220.49,"Oct 03, 2018",226.46,213.97,"22,567,089,086",226.41,"1,683,930,000"
227.18,"Oct 02, 2018",231.17,225.84,"23,247,403,474",231.10,"1,542,080,000"
230.77,"Oct 01, 2018",234.15,226.94,"23,609,728,018",233.22,"1,597,500,000"
232.85,"Sep 30, 2018",236.99,228.44,"23,817,805,502",231.33,"1,765,560,000"
231.63,"Sep 29, 2018",234.01,216.08,"23,688,983,896",221.71,"2,208,720,000"
222.40,"Sep 28, 2018",231.75,218.67,"22,740,233,568",229.04,"2,018,120,000"
228.49,"Sep 27, 2018",230.61,212.65,"23,358,464,739",215.44,"2,030,320,000"
215.85,"Sep 26, 2018",221.44,209.11,"22,061,164,303",218.65,"1,756,100,000"
218.50,"Sep 25, 2018",228.33,206.49,"22,328,327,983",228.33,"2,120,360,000"
228.73,"Sep 24, 2018",245.11,227.49,"23,368,514,475",244.84,"1,748,740,000"
244.33,"Sep 23, 2018",247.46,237.86,"24,957,339,670",240.99,"1,693,470,000"
240.48,"Sep 22, 2018",251.20,233.81,"24,559,189,741",247.34,"1,921,820,000"
246.58,"Sep 21, 2018",248.39,221.57,"25,177,561,991",225.25,"2,836,200,000"
224.59,"Sep 20, 2018",224.82,207.79,"22,927,300,808",210.29,"1,782,070,000"
209.97,"Sep 19, 2018",213.87,201.66,"21,430,323,331",209.47,"1,733,330,000"
209.97,"Sep 18, 2018",213.36,195.93,"21,426,628,309",197.09,"1,800,640,000"
197.88,"Sep 17, 2018",224.26,195.31,"20,187,902,505",221.58,"2,019,910,000"
220.59,"Sep 16, 2018",222.80,211.12,"22,500,748,646",222.80,"1,502,260,000"
223.07,"Sep 15, 2018",226.60,209.61,"22,749,647,321",209.81,"1,670,490,000"
211.75,"Sep 14, 2018",222.79,204.87,"21,590,366,996",212.67,"2,232,190,000"
211.35,"Sep 13, 2018",214.00,183.68,"21,545,775,837",183.68,"2,330,720,000"
183.33,"Sep 12, 2018",185.59,170.26,"18,685,319,378",185.42,"1,874,850,000"
185.07,"Sep 11, 2018",198.51,180.60,"18,858,381,966",198.18,"1,568,900,000"
197.08,"Sep 10, 2018",201.88,189.58,"20,078,523,984",197.85,"1,502,960,000"
196.92,"Sep 09, 2018",207.67,188.31,"20,058,708,800",198.38,"1,585,980,000"
197.95,"Sep 08, 2018",220.37,193.26,"20,159,309,964",217.91,"1,517,200,000"
217.20,"Sep 07, 2018",233.90,217.07,"22,115,522,904",229.53,"1,678,260,000"
230.22,"Sep 06, 2018",231.75,218.12,"23,435,751,842",231.65,"2,097,310,000"
232.33,"Sep 05, 2018",288.16,232.33,"23,646,371,777",286.05,"2,390,390,000"
285.72,"Sep 04, 2018",291.58,284.25,"29,074,743,101",289.30,"1,554,870,000"
289.26,"Sep 03, 2018",295.59,287.43,"29,428,616,901",295.18,"1,394,490,000"
294.37,"Sep 02, 2018",298.69,290.93,"29,942,718,225",295.45,"1,321,050,000"
295.34,"Sep 01, 2018",301.14,283.50,"30,035,327,410",283.50,"1,546,630,000"
283.00,"Aug 31, 2018",284.55,278.51,"28,774,922,508",284.12,"1,411,910,000"
284.11,"Aug 30, 2018",291.24,275.21,"28,881,058,148",289.75,"1,513,100,000"
289.31,"Aug 29, 2018",297.07,287.29,"29,404,459,725",296.16,"1,474,460,000"
296.50,"Aug 28, 2018",297.40,283.57,"30,128,902,937",286.65,"1,513,350,000"
285.60,"Aug 27, 2018",285.60,273.65,"29,015,874,948",275.35,"1,406,790,000"
275.20,"Aug 26, 2018",279.52,272.44,"27,953,028,997",279.52,"1,206,650,000"
279.65,"Aug 25, 2018",283.51,278.47,"28,399,212,923",283.28,"1,208,360,000"
282.97,"Aug 24, 2018",283.30,273.86,"28,730,705,349",278.11,"1,450,170,000"
277.10,"Aug 23, 2018",279.55,271.09,"28,129,662,664",271.75,"1,271,160,000"
271.34,"Aug 22, 2018",297.49,265.00,"27,539,119,679",281.97,"1,507,660,000"
281.94,"Aug 21, 2018",285.97,273.33,"28,609,531,323",273.33,"1,164,120,000"
274.31,"Aug 20, 2018",304.37,273.51,"27,829,775,231",301.38,"1,413,790,000"
300.83,"Aug 19, 2018",307.10,291.33,"30,514,025,774",295.67,"1,447,910,000"
295.81,"Aug 18, 2018",320.45,286.55,"29,998,584,852",316.79,"1,764,020,000"
315.73,"Aug 17, 2018",316.17,287.35,"32,011,921,283",287.68,"1,995,460,000"
288.05,"Aug 16, 2018",298.48,280.93,"29,199,228,646",282.74,"1,552,970,000"
282.36,"Aug 15, 2018",303.59,280.12,"28,617,473,116",280.39,"1,878,150,000"
278.93,"Aug 14, 2018",286.37,254.65,"28,263,969,132",286.37,"2,137,850,000"
286.50,"Aug 13, 2018",323.55,284.93,"29,024,490,503",320.21,"1,751,190,000"
319.57,"Aug 12, 2018",328.59,318.60,"32,368,768,332",320.82,"1,625,420,000"
322.11,"Aug 11, 2018",334.26,308.49,"32,619,681,420",334.26,"1,790,370,000"
334.18,"Aug 10, 2018",367.05,329.59,"33,834,485,092",365.78,"1,699,400,000"
365.59,"Aug 09, 2018",370.95,353.61,"37,007,391,031",356.97,"1,616,610,000"
356.61,"Aug 08, 2018",380.67,353.73,"36,091,566,801",379.89,"2,016,080,000"
380.21,"Aug 07, 2018",411.40,376.08,"38,472,420,233",406.80,"1,828,350,000"
406.66,"Aug 06, 2018",414.54,403.31,"41,139,790,462",410.57,"1,384,880,000"
410.52,"Aug 05, 2018",413.72,402.43,"41,521,715,110",407.35,"1,396,820,000"
407.25,"Aug 04, 2018",420.19,403.78,"41,183,215,694",418.24,"1,466,540,000"
418.26,"Aug 03, 2018",420.55,399.91,"42,287,977,978",412.57,"1,722,340,000"
412.62,"Aug 02, 2018",425.03,410.31,"41,709,183,608",420.81,"1,569,300,000"
420.75,"Aug 01, 2018",435.46,410.46,"42,521,937,218",433.87,"1,888,060,000"
433.87,"Jul 31, 2018",457.25,430.44,"43,839,034,237",457.25,"1,820,680,000"
457.08,"Jul 30, 2018",467.95,448.64,"46,175,217,427",466.83,"2,141,590,000"
466.67,"Jul 29, 2018",470.36,462.71,"47,133,881,666",466.92,"1,631,910,016"
466.90,"Jul 28, 2018",471.59,462.99,"47,147,853,886",469.68,"1,531,890,048"
469.67,"Jul 27, 2018",473.22,458.29,"47,417,755,376",464.01,"1,734,259,968"
464.04,"Jul 26, 2018",483.70,461.42,"46,839,932,193",472.33,"1,621,560,064"
472.49,"Jul 25, 2018",482.87,466.47,"47,683,830,874",479.91,"1,930,780,032"
479.37,"Jul 24, 2018",481.14,450.57,"48,368,209,917",451.14,"2,287,520,000"
450.85,"Jul 23, 2018",469.77,449.73,"45,481,301,491",459.44,"1,596,999,936"
459.66,"Jul 22, 2018",470.90,458.12,"46,360,029,757",462.44,"1,338,589,952"
462.44,"Jul 21, 2018",468.08,445.78,"46,630,720,739",450.68,"1,504,310,016"
450.70,"Jul 20, 2018",469.31,443.69,"45,437,819,522",469.31,"1,821,350,016"
469.62,"Jul 19, 2018",483.24,465.14,"47,335,899,963",480.63,"2,068,739,968"
480.51,"Jul 18, 2018",513.43,474.36,"48,424,155,624",500.84,"2,371,559,936"
501.00,"Jul 17, 2018",508.78,468.92,"50,478,766,285",480.08,"2,288,100,096"
480.66,"Jul 16, 2018",480.66,446.80,"48,419,026,521",450.42,"1,858,680,064"
449.85,"Jul 15, 2018",454.00,433.92,"45,306,414,380",435.88,"1,350,160,000"
436.09,"Jul 14, 2018",439.43,431.47,"43,911,193,561",434.51,"1,235,820,032"
434.03,"Jul 13, 2018",442.36,430.74,"43,694,988,769",430.74,"1,489,670,016"
430.07,"Jul 12, 2018",446.50,422.81,"43,288,294,177",446.50,"1,495,440,000"
446.52,"Jul 11, 2018",447.32,429.51,"44,934,271,235",434.52,"1,422,470,016"
434.42,"Jul 10, 2018",478.32,433.96,"43,708,241,775",476.16,"1,789,069,952"
476.68,"Jul 09, 2018",490.85,475.17,"47,950,212,027",488.88,"1,533,799,936"
489.12,"Jul 08, 2018",503.20,488.42,"49,191,161,178",492.07,"1,344,560,000"
491.66,"Jul 07, 2018",491.66,466.84,"49,436,674,025",474.06,"1,358,360,064"
474.01,"Jul 06, 2018",479.65,457.61,"47,652,424,064",474.36,"1,627,609,984"
474.41,"Jul 05, 2018",483.23,464.63,"47,682,968,020",467.29,"1,828,610,048"
467.32,"Jul 04, 2018",481.44,455.18,"46,960,391,871",464.15,"1,549,769,984"
464.20,"Jul 03, 2018",483.85,462.58,"46,637,067,239",475.39,"1,683,939,968"
475.35,"Jul 02, 2018",479.13,447.11,"47,747,743,959",453.82,"1,625,789,952"
453.92,"Jul 01, 2018",457.14,446.39,"45,585,861,718",455.24,"1,511,730,048"
455.18,"Jun 30, 2018",458.80,436.21,"45,703,302,056",436.21,"1,475,939,968"
436.01,"Jun 29, 2018",441.79,407.95,"43,769,409,548",422.59,"1,564,499,968"
422.36,"Jun 28, 2018",443.62,419.68,"42,391,125,054",442.29,"1,360,790,016"
442.36,"Jun 27, 2018",444.24,424.84,"44,389,430,889",432.24,"1,368,940,032"
432.77,"Jun 26, 2018",461.21,432.77,"43,417,898,248",460.73,"1,356,560,000"
460.31,"Jun 25, 2018",470.34,448.90,"46,171,165,114",455.94,"4,007,950,080"
457.67,"Jun 24, 2018",475.36,426.47,"45,897,156,207",474.77,"2,490,579,968"
474.52,"Jun 23, 2018",479.13,462.39,"47,577,076,102",466.27,"1,651,379,968"
465.82,"Jun 22, 2018",527.19,456.88,"46,694,859,628",527.19,"2,226,030,080"
527.37,"Jun 21, 2018",543.72,524.26,"52,853,921,455",536.45,"1,462,070,016"
536.27,"Jun 20, 2018",541.02,519.37,"53,735,032,875",538.51,"1,596,290,048"
537.96,"Jun 19, 2018",542.35,516.31,"53,893,191,559",519.02,"1,726,569,984"
518.89,"Jun 18, 2018",521.80,494.07,"51,972,519,171",499.38,"1,513,869,952"
500.45,"Jun 17, 2018",507.64,498.65,"50,114,921,288",499.46,"1,264,870,016"
499.64,"Jun 16, 2018",503.22,488.85,"50,024,018,701",490.41,"1,314,109,952"
491.00,"Jun 15, 2018",521.30,487.47,"49,149,084,090",520.48,"1,808,269,952"
519.74,"Jun 14, 2018",523.54,467.47,"52,015,066,663",478.38,"2,458,650,112"
477.49,"Jun 13, 2018",501.90,459.00,"47,777,150,787",498.02,"2,080,130,048"
496.84,"Jun 12, 2018",538.96,491.23,"49,702,985,162",532.71,"1,932,760,064"
533.28,"Jun 11, 2018",536.86,515.27,"53,337,466,294",524.86,"1,982,119,936"
526.48,"Jun 10, 2018",594.34,511.89,"52,645,885,461",594.34,"2,234,880,000"
