close,date,high,low,marketcap,open,volume
0.505408,"Oct 15, 2018",0.529903,0.476384,"1,404,796,841",0.483209,"36,908,800"
0.483778,"Oct 14, 2018",0.498458,0.481726,"1,344,675,601",0.486061,"15,787,600"
0.485894,"Oct 13, 2018",0.500053,0.484662,"1,350,557,087",0.487542,"16,061,500"
0.488728,"Oct 12, 2018",0.506713,0.476186,"1,358,434,276",0.476186,"19,524,800"
0.481772,"Oct 11, 2018",0.583349,0.478782,"1,339,099,864",0.583349,"43,132,000"
0.584732,"Oct 10, 2018",0.589745,0.569611,"1,625,280,301",0.589745,"22,114,500"
0.590525,"Oct 09, 2018",0.606569,0.582794,"1,641,382,120",0.603148,"23,450,600"
0.601949,"Oct 08, 2018",0.605670,0.572075,"1,673,135,474",0.573910,"27,909,500"
0.572093,"Oct 07, 2018",0.573317,0.559855,"1,590,149,818",0.565554,"16,091,700"
0.563807,"Oct 06, 2018",0.578208,0.560679,"1,567,118,630",0.576208,"17,250,000"
0.574842,"Oct 05, 2018",0.575955,0.552520,"1,597,790,747",0.556329,"20,111,000"
0.555146,"Oct 04, 2018",0.572775,0.553655,"1,543,045,118",0.554048,"21,925,900"
0.553491,"Oct 03, 2018",0.559560,0.544799,"1,538,444,996",0.559560,"17,762,200"
0.561321,"Oct 02, 2018",0.569219,0.554752,"1,560,208,718",0.561385,"19,626,200"
0.561683,"Oct 01, 2018",0.577929,0.547232,"1,561,214,908",0.568275,"21,601,100"
0.567310,"Sep 30, 2018",0.573161,0.559362,"1,576,855,325",0.564674,"18,827,700"
0.565820,"Sep 29, 2018",0.571717,0.554627,"1,572,713,825",0.569091,"16,946,900"
0.570867,"Sep 28, 2018",0.590002,0.560147,"1,586,742,114",0.585491,"24,297,400"
0.583575,"Sep 27, 2018",0.593560,0.537199,"1,622,064,385",0.550608,"30,300,400"
0.552917,"Sep 26, 2018",0.572570,0.545332,"1,536,849,545",0.566936,"21,425,700"
0.567183,"Sep 25, 2018",0.568528,0.529726,"1,576,502,325",0.558389,"30,213,100"
0.558230,"Sep 24, 2018",0.613835,0.543647,"1,551,617,190",0.610614,"56,784,100"
0.611176,"Sep 23, 2018",0.630175,0.597712,"1,698,782,200",0.609183,"26,383,400"
0.607221,"Sep 22, 2018",0.646816,0.577938,"1,687,789,158",0.630470,"32,116,400"
0.628116,"Sep 21, 2018",0.628116,0.557211,"1,745,867,443",0.568369,"49,818,000"
0.565897,"Sep 20, 2018",0.577364,0.527801,"1,572,927,849",0.530302,"30,492,400"
0.530506,"Sep 19, 2018",0.542743,0.509812,"1,474,557,492",0.534295,"28,605,200"
0.535231,"Sep 18, 2018",0.545642,0.512496,"1,487,690,773",0.533714,"37,873,400"
0.535871,"Sep 17, 2018",0.583802,0.528189,"1,489,469,672",0.579691,"27,296,200"
0.578668,"Sep 16, 2018",0.583455,0.559764,"1,608,425,230",0.572905,"21,133,600"
0.574238,"Sep 15, 2018",0.590358,0.564095,"1,596,111,911",0.570356,"22,263,600"
0.574346,"Sep 14, 2018",0.612046,0.559232,"1,596,412,100",0.579993,"29,068,100"
0.572970,"Sep 13, 2018",0.597676,0.549761,"1,592,587,466",0.549761,"33,566,000"
0.548816,"Sep 12, 2018",0.555065,0.506742,"1,525,450,692",0.545802,"34,135,700"
0.545790,"Sep 11, 2018",0.582854,0.532050,"1,517,039,833",0.577867,"35,170,700"
0.567024,"Sep 10, 2018",0.595333,0.557924,"1,576,060,379",0.563860,"35,752,100"
0.558112,"Sep 09, 2018",0.583502,0.518065,"1,551,289,205",0.533334,"35,488,600"
0.532786,"Sep 08, 2018",0.592990,0.524530,"1,480,894,821",0.570185,"33,436,300"
0.570720,"Sep 07, 2018",0.616981,0.558593,"1,586,333,523",0.600084,"37,165,900"
0.597654,"Sep 06, 2018",0.600344,0.540129,"1,661,197,392",0.583914,"50,679,400"
0.576302,"Sep 05, 2018",0.714654,0.576302,"1,601,848,861",0.701893,"54,972,900"
0.703065,"Sep 04, 2018",0.737044,0.694380,"1,954,190,458",0.698365,"44,587,100"
0.698262,"Sep 03, 2018",0.725753,0.689063,"1,940,840,374",0.723201,"39,899,800"
0.712792,"Sep 02, 2018",0.742988,0.703620,"1,981,226,949",0.742102,"41,858,500"
0.739470,"Sep 01, 2018",0.753043,0.712857,"2,055,379,258",0.713191,"51,918,100"
0.712217,"Aug 31, 2018",0.738457,0.690939,"1,979,628,720",0.714274,"55,500,200"
0.717970,"Aug 30, 2018",0.726902,0.670443,"1,995,619,357",0.720959,"76,449,700"
0.716535,"Aug 29, 2018",0.798114,0.716535,"1,991,630,731",0.768858,"90,281,300"
0.773458,"Aug 28, 2018",0.788118,0.655295,"2,149,849,934",0.669004,"130,082,000"
0.669559,"Aug 27, 2018",0.677813,0.560844,"1,861,059,517",0.569925,"92,699,200"
0.571295,"Aug 26, 2018",0.609391,0.518400,"1,587,931,753",0.541081,"34,335,000"
0.539955,"Aug 25, 2018",0.544247,0.518792,"1,500,821,274",0.523826,"31,147,500"
0.521896,"Aug 24, 2018",0.522970,0.497487,"1,450,625,737",0.507396,"29,659,600"
0.506117,"Aug 23, 2018",0.508389,0.476888,"1,406,767,528",0.476888,"30,734,300"
0.478278,"Aug 22, 2018",0.552369,0.466139,"1,329,388,185",0.519290,"42,764,000"
0.519729,"Aug 21, 2018",0.530965,0.497742,"1,444,602,494",0.497742,"30,408,900"
0.501462,"Aug 20, 2018",0.544300,0.497045,"1,393,828,815",0.538514,"37,084,400"
0.540186,"Aug 19, 2018",0.561539,0.480707,"1,501,463,345",0.493677,"47,306,900"
0.497777,"Aug 18, 2018",0.569865,0.466467,"1,383,586,246",0.566135,"44,351,100"
