close,date,high,low,marketcap,open,volume
2.90,"Oct 15, 2018",3.12,2.82,"322,983,586",2.85,"9,528,280"
2.84,"Oct 14, 2018",2.98,2.84,"315,537,378",2.91,"5,369,020"
2.90,"Oct 13, 2018",3.07,2.79,"322,117,332",2.98,"7,313,140"
2.97,"Oct 12, 2018",3.08,2.97,"330,451,906",3.07,"6,520,710"
3.07,"Oct 11, 2018",3.39,3.05,"340,885,681",3.39,"7,332,050"
3.41,"Oct 10, 2018",3.44,3.28,"378,170,778",3.32,"6,832,810"
3.33,"Oct 09, 2018",3.39,3.29,"369,625,322",3.34,"5,025,320"
3.34,"Oct 08, 2018",3.36,3.29,"370,175,989",3.32,"4,027,290"
3.32,"Oct 07, 2018",3.34,3.28,"368,009,705",3.32,"3,582,540"
3.32,"Oct 06, 2018",3.36,3.29,"367,687,749",3.33,"3,536,380"
3.33,"Oct 05, 2018",3.42,3.26,"369,458,851",3.34,"5,910,480"
3.34,"Oct 04, 2018",3.38,3.27,"369,799,198",3.29,"5,573,340"
3.28,"Oct 03, 2018",3.41,3.21,"363,914,677",3.39,"6,034,480"
3.39,"Oct 02, 2018",3.49,3.38,"375,720,570",3.42,"6,551,130"
3.41,"Oct 01, 2018",3.50,3.36,"377,674,850",3.40,"5,471,560"
3.41,"Sep 30, 2018",3.45,3.34,"377,611,677",3.38,"5,704,740"
3.37,"Sep 29, 2018",3.41,3.31,"372,515,875",3.38,"5,498,660"
3.39,"Sep 28, 2018",3.47,3.32,"375,338,513",3.40,"5,330,120"
3.39,"Sep 27, 2018",3.45,3.23,"374,478,523",3.25,"5,658,560"
3.24,"Sep 26, 2018",3.37,3.24,"358,586,168",3.32,"6,798,660"
3.33,"Sep 25, 2018",3.39,3.19,"367,504,923",3.39,"6,524,020"
3.38,"Sep 24, 2018",3.52,3.35,"373,905,826",3.51,"4,059,730"
3.51,"Sep 23, 2018",3.54,3.43,"387,776,339",3.46,"5,335,350"
3.47,"Sep 22, 2018",3.52,3.32,"383,255,548",3.50,"5,748,260"
3.50,"Sep 21, 2018",3.55,3.36,"386,507,536",3.39,"9,578,670"
3.38,"Sep 20, 2018",3.44,3.18,"373,104,256",3.42,"8,895,150"
3.43,"Sep 19, 2018",3.47,3.29,"377,828,573",3.46,"5,349,240"
3.44,"Sep 18, 2018",3.56,3.35,"379,291,637",3.41,"5,796,000"
3.40,"Sep 17, 2018",3.80,3.38,"374,336,866",3.57,"7,248,920"
3.58,"Sep 16, 2018",3.75,3.32,"394,502,506",3.42,"8,749,000"
3.41,"Sep 15, 2018",3.69,3.30,"375,527,057",3.46,"6,179,980"
3.47,"Sep 14, 2018",3.63,3.40,"382,018,577",3.50,"5,486,390"
3.52,"Sep 13, 2018",3.58,3.30,"387,315,603",3.30,"5,937,260"
3.31,"Sep 12, 2018",3.45,3.12,"364,742,245",3.44,"6,157,450"
3.44,"Sep 11, 2018",3.73,3.40,"378,861,941",3.71,"4,825,970"
3.70,"Sep 10, 2018",3.82,3.59,"406,882,647",3.72,"6,449,600"
3.72,"Sep 09, 2018",3.80,3.42,"409,126,557",3.45,"4,967,850"
3.45,"Sep 08, 2018",3.81,3.42,"379,079,558",3.74,"3,841,690"
3.76,"Sep 07, 2018",3.90,3.68,"413,650,517",3.87,"4,844,510"
3.87,"Sep 06, 2018",3.91,3.64,"424,942,342",3.91,"6,428,410"
3.92,"Sep 05, 2018",4.63,3.92,"430,188,609",4.62,"6,540,140"
4.61,"Sep 04, 2018",4.77,4.55,"506,528,486",4.57,"5,796,700"
4.58,"Sep 03, 2018",4.68,4.53,"502,425,164",4.68,"5,855,610"
4.68,"Sep 02, 2018",4.72,4.56,"513,809,667",4.71,"6,912,280"
4.70,"Sep 01, 2018",4.82,4.53,"515,902,081",4.68,"6,267,950"
4.68,"Aug 31, 2018",4.76,4.59,"512,644,297",4.67,"6,770,380"
4.64,"Aug 30, 2018",5.09,4.48,"509,095,844",5.06,"8,248,400"
5.08,"Aug 29, 2018",5.25,4.79,"556,792,209",5.17,"12,942,700"
5.21,"Aug 28, 2018",5.23,4.94,"570,346,134",5.11,"12,160,000"
5.11,"Aug 27, 2018",5.17,4.67,"559,747,551",4.91,"13,251,700"
4.91,"Aug 26, 2018",5.10,4.83,"537,309,356",5.06,"7,580,500"
5.04,"Aug 25, 2018",5.34,5.01,"551,288,093",5.09,"9,498,350"
5.10,"Aug 24, 2018",5.23,4.50,"557,463,914",4.66,"13,733,600"
4.64,"Aug 23, 2018",4.73,3.95,"507,672,940",3.96,"10,587,600"
3.95,"Aug 22, 2018",4.32,3.90,"432,418,423",4.12,"6,849,010"
4.12,"Aug 21, 2018",4.17,3.76,"450,632,392",3.78,"6,227,980"
3.77,"Aug 20, 2018",3.94,3.74,"411,468,545",3.83,"5,604,450"
3.85,"Aug 19, 2018",3.94,3.68,"420,671,197",3.74,"6,491,250"
3.74,"Aug 18, 2018",4.24,3.61,"407,917,037",4.01,"10,387,900"
4.00,"Aug 17, 2018",4.33,3.76,"436,965,065",3.83,"15,319,900"
3.81,"Aug 16, 2018",3.81,3.11,"415,902,398",3.12,"15,346,600"
3.13,"Aug 15, 2018",3.25,2.73,"341,191,806",2.80,"8,292,610"
2.80,"Aug 14, 2018",2.97,2.68,"304,895,571",2.97,"6,499,060"
2.97,"Aug 13, 2018",3.39,2.96,"324,012,178",3.31,"6,399,480"
3.32,"Aug 12, 2018",3.40,3.15,"361,575,438",3.21,"4,899,920"
3.22,"Aug 11, 2018",3.37,3.18,"351,093,978",3.36,"5,803,300"
3.36,"Aug 10, 2018",3.55,3.23,"366,430,509",3.54,"5,678,080"
3.54,"Aug 09, 2018",3.57,3.35,"385,781,587",3.38,"4,976,520"
3.37,"Aug 08, 2018",3.74,3.32,"367,149,363",3.74,"6,066,450"
3.74,"Aug 07, 2018",3.97,3.73,"407,174,429",3.87,"5,612,320"
3.87,"Aug 06, 2018",4.02,3.83,"420,877,912",3.95,"4,403,250"
3.95,"Aug 05, 2018",3.96,3.86,"429,299,280",3.92,"5,568,980"
3.92,"Aug 04, 2018",4.26,3.86,"426,570,026",4.20,"6,094,920"
4.19,"Aug 03, 2018",4.36,4.15,"454,988,531",4.36,"6,519,360"
4.35,"Aug 02, 2018",4.58,4.32,"473,135,045",4.51,"6,739,330"
4.50,"Aug 01, 2018",4.60,4.41,"488,241,894",4.60,"6,193,870"
4.59,"Jul 31, 2018",4.93,4.55,"498,190,322",4.93,"6,840,930"
4.93,"Jul 30, 2018",5.11,4.77,"535,053,430",5.11,"7,360,580"
5.10,"Jul 29, 2018",5.13,4.92,"553,733,703",5.01,"7,426,930"
4.99,"Jul 28, 2018",4.99,4.85,"541,447,764",4.87,"7,299,520"
4.86,"Jul 27, 2018",4.96,4.75,"526,686,496",4.84,"8,075,500"
4.84,"Jul 26, 2018",5.17,4.81,"524,643,381",5.04,"7,253,780"
5.04,"Jul 25, 2018",5.16,4.93,"545,640,049",4.93,"8,064,090"
5.01,"Jul 24, 2018",5.03,4.77,"542,519,520",4.82,"8,695,030"
4.80,"Jul 23, 2018",5.14,4.80,"520,163,342",4.97,"9,632,390"
4.97,"Jul 22, 2018",5.14,4.95,"538,085,698",5.01,"6,516,690"
4.99,"Jul 21, 2018",5.06,4.87,"539,700,773",4.94,"5,948,500"
4.95,"Jul 20, 2018",5.37,4.87,"535,622,727",5.37,"7,833,360"
5.36,"Jul 19, 2018",5.71,5.34,"579,478,697",5.69,"7,492,840"
5.74,"Jul 18, 2018",5.99,5.64,"620,770,988",5.70,"8,599,150"
5.68,"Jul 17, 2018",5.75,5.27,"614,368,237",5.42,"7,852,900"
5.44,"Jul 16, 2018",5.44,4.99,"587,590,356",5.02,"8,058,290"
5.00,"Jul 15, 2018",5.08,4.85,"540,207,300",4.92,"5,564,670"
4.91,"Jul 14, 2018",4.96,4.85,"530,261,758",4.91,"5,729,370"
4.93,"Jul 13, 2018",5.00,4.84,"532,436,850",4.86,"6,178,010"
4.87,"Jul 12, 2018",5.15,4.78,"525,560,454",5.15,"7,093,940"
5.13,"Jul 11, 2018",5.21,5.05,"553,275,344",5.05,"6,550,110"
5.05,"Jul 10, 2018",5.42,5.04,"544,095,802",5.42,"7,388,680"
5.42,"Jul 09, 2018",5.62,5.39,"584,024,868",5.55,"8,081,440"
5.54,"Jul 08, 2018",5.65,5.53,"597,398,453",5.60,"7,186,910"
5.60,"Jul 07, 2018",5.68,5.37,"603,654,903",5.67,"6,410,900"
5.66,"Jul 06, 2018",5.69,5.42,"609,998,239",5.60,"7,307,250"
5.60,"Jul 05, 2018",5.87,5.48,"603,476,583",5.82,"7,623,050"
5.82,"Jul 04, 2018",5.96,5.59,"626,550,513",5.62,"8,808,450"
5.65,"Jul 03, 2018",6.04,5.60,"607,589,379",5.87,"10,262,100"
5.89,"Jul 02, 2018",5.95,5.30,"633,100,685",5.41,"9,046,320"
5.40,"Jul 01, 2018",5.42,5.24,"580,210,532",5.33,"6,178,680"
5.35,"Jun 30, 2018",5.40,5.03,"575,237,294",5.03,"5,954,970"
5.04,"Jun 29, 2018",5.09,4.75,"541,541,690",4.91,"7,560,270"
4.92,"Jun 28, 2018",5.30,4.87,"528,366,339",5.29,"6,763,450"
5.28,"Jun 27, 2018",5.32,5.17,"567,526,054",5.27,"7,105,660"
5.27,"Jun 26, 2018",5.57,5.27,"565,784,454",5.57,"6,490,590"
5.57,"Jun 25, 2018",5.63,5.38,"597,428,966",5.46,"7,010,470"
5.47,"Jun 24, 2018",5.66,5.15,"586,804,236",5.65,"7,790,030"
5.63,"Jun 23, 2018",5.67,5.33,"604,158,863",5.35,"7,248,650"
5.35,"Jun 22, 2018",6.25,5.27,"573,520,517",6.20,"8,159,990"
6.25,"Jun 21, 2018",6.41,6.13,"669,806,285",6.36,"7,975,460"
6.36,"Jun 20, 2018",6.50,6.21,"681,811,642",6.50,"8,584,190"
6.49,"Jun 19, 2018",6.55,6.36,"695,455,566",6.44,"8,982,000"
6.45,"Jun 18, 2018",6.46,6.02,"690,302,619",6.27,"10,209,800"
6.31,"Jun 17, 2018",6.65,6.27,"675,504,571",6.59,"8,341,200"
6.59,"Jun 16, 2018",6.66,6.40,"704,774,417",6.51,"8,184,370"
6.53,"Jun 15, 2018",6.95,6.50,"699,120,754",6.95,"9,167,900"
6.96,"Jun 14, 2018",6.96,6.33,"744,868,169",6.35,"11,741,800"
6.35,"Jun 13, 2018",6.79,6.25,"679,389,119",6.76,"13,095,700"
6.75,"Jun 12, 2018",7.35,6.68,"721,108,251",7.25,"13,486,100"
7.26,"Jun 11, 2018",7.32,7.03,"775,426,651",7.11,"11,379,400"
7.11,"Jun 10, 2018",8.31,7.02,"759,604,182",8.31,"17,518,000"
8.28,"Jun 09, 2018",8.70,8.28,"884,392,864",8.57,"11,530,600"
8.57,"Jun 08, 2018",8.79,8.46,"914,443,053",8.76,"12,189,500"
8.69,"Jun 07, 2018",8.99,8.60,"927,251,400",8.86,"10,212,200"
8.86,"Jun 06, 2018",9.17,8.70,"945,470,252",9.14,"12,988,300"
9.15,"Jun 05, 2018",9.27,8.84,"975,331,369",9.09,"12,839,900"
9.07,"Jun 04, 2018",10.04,8.96,"967,393,356",9.97,"22,264,100"
10.01,"Jun 03, 2018",10.16,9.25,"1,067,181,054",9.36,"22,641,100"
9.37,"Jun 02, 2018",9.49,8.57,"998,368,975",8.62,"20,983,000"
8.65,"Jun 01, 2018",8.71,8.42,"921,736,334",8.55,"12,625,300"
8.56,"May 31, 2018",8.77,8.37,"912,000,911",8.44,"13,467,900"
8.48,"May 30, 2018",8.96,8.31,"902,811,166",8.82,"11,308,400"
8.88,"May 29, 2018",8.98,7.90,"944,974,830",7.98,"13,833,600"
7.99,"May 28, 2018",8.89,7.95,"850,009,048",8.80,"12,253,000"
8.83,"May 27, 2018",8.86,8.67,"938,545,140",8.79,"10,511,600"
8.83,"May 26, 2018",9.26,8.77,"938,916,364",8.98,"10,313,000"
8.97,"May 25, 2018",9.44,8.84,"953,324,905",9.37,"12,017,200"
9.35,"May 24, 2018",9.53,8.65,"992,973,014",9.16,"14,486,800"
9.19,"May 23, 2018",9.89,8.66,"976,543,028",9.87,"17,130,400"
9.85,"May 22, 2018",10.98,9.84,"1,046,266,411",10.98,"14,666,800"
10.91,"May 21, 2018",11.66,10.78,"1,158,278,765",11.31,"16,534,900"
11.31,"May 20, 2018",11.31,10.55,"1,199,737,758",10.58,"15,834,700"
10.57,"May 19, 2018",10.88,10.42,"1,121,451,120",10.54,"13,853,500"
10.50,"May 18, 2018",10.52,10.03,"1,113,366,607",10.26,"17,027,300"
10.21,"May 17, 2018",11.09,10.19,"1,081,776,652",10.26,"26,077,300"
10.28,"May 16, 2018",10.50,9.94,"1,088,788,429",10.48,"15,100,900"
10.50,"May 15, 2018",11.37,10.40,"1,112,108,838",11.06,"15,930,200"
