close,date,high,low,marketcap,open,volume
54.88,"Oct 15, 2018",57.46,51.91,"3,223,700,518",52.17,"431,765,000"
52.19,"Oct 14, 2018",53.84,52.03,"3,064,779,526",53.51,"242,221,000"
53.45,"Oct 13, 2018",54.28,53.21,"3,138,228,770",53.46,"237,333,000"
53.55,"Oct 12, 2018",53.82,50.87,"3,143,348,329",50.87,"280,891,000"
51.23,"Oct 11, 2018",57.98,50.99,"3,006,484,457",57.98,"343,098,000"
57.98,"Oct 10, 2018",58.66,57.43,"3,401,689,393",58.66,"358,009,000"
58.71,"Oct 09, 2018",59.53,58.21,"3,443,777,362",59.45,"318,545,000"
59.41,"Oct 08, 2018",59.82,57.48,"3,483,963,902",58.23,"347,408,000"
58.16,"Oct 07, 2018",58.36,57.21,"3,409,620,085",57.93,"435,270,000"
57.84,"Oct 06, 2018",58.92,57.27,"3,390,224,024",58.88,"375,900,000"
58.77,"Oct 05, 2018",59.13,57.67,"3,443,401,206",58.33,"371,790,000"
58.28,"Oct 04, 2018",59.05,57.44,"3,414,046,744",57.52,"343,602,000"
57.48,"Oct 03, 2018",59.58,57.08,"3,366,307,855",59.58,"452,464,000"
59.71,"Oct 02, 2018",61.25,59.41,"3,496,006,537",60.30,"444,830,000"
60.21,"Oct 01, 2018",61.73,59.74,"3,524,604,880",61.10,"456,583,000"
61.14,"Sep 30, 2018",62.39,60.15,"3,578,364,984",61.63,"463,002,000"
61.61,"Sep 29, 2018",62.03,59.49,"3,604,639,872",61.64,"356,028,000"
61.90,"Sep 28, 2018",64.42,60.81,"3,620,659,227",63.17,"459,862,000"
62.98,"Sep 27, 2018",64.30,56.92,"3,683,109,446",57.45,"574,277,000"
57.40,"Sep 26, 2018",59.62,56.70,"3,355,751,430",57.45,"294,136,000"
57.54,"Sep 25, 2018",58.15,54.74,"3,363,315,938",58.02,"351,579,000"
57.97,"Sep 24, 2018",61.34,57.30,"3,387,711,672",61.34,"296,366,000"
61.37,"Sep 23, 2018",63.19,60.00,"3,585,375,264",60.55,"304,888,000"
60.44,"Sep 22, 2018",61.71,57.74,"3,530,127,873",60.81,"298,424,000"
60.72,"Sep 21, 2018",62.06,56.46,"3,545,908,289",56.78,"398,550,000"
56.63,"Sep 20, 2018",57.15,53.64,"3,306,309,550",54.37,"260,631,000"
54.33,"Sep 19, 2018",54.92,52.26,"3,171,223,927",54.02,"271,642,000"
54.10,"Sep 18, 2018",55.10,51.00,"3,156,689,623",52.29,"296,552,000"
52.54,"Sep 17, 2018",57.75,51.85,"3,065,033,151",57.02,"261,325,000"
56.97,"Sep 16, 2018",57.37,55.06,"3,322,793,504",56.58,"253,978,000"
56.71,"Sep 15, 2018",58.40,56.18,"3,306,873,163",56.34,"252,020,000"
56.58,"Sep 14, 2018",58.44,53.32,"3,298,089,236",54.65,"336,190,000"
54.54,"Sep 13, 2018",55.05,51.76,"3,178,346,288",51.88,"295,074,000"
51.66,"Sep 12, 2018",52.41,47.67,"3,009,756,629",52.39,"290,357,000"
52.37,"Sep 11, 2018",54.78,51.08,"3,050,454,271",54.61,"272,379,000"
54.60,"Sep 10, 2018",56.07,53.50,"3,179,465,715",54.99,"251,240,000"
54.92,"Sep 09, 2018",56.40,52.72,"3,197,781,808",53.27,"253,320,000"
53.24,"Sep 08, 2018",57.61,52.58,"3,099,244,507",56.13,"223,684,000"
56.20,"Sep 07, 2018",58.12,55.51,"3,270,299,049",57.34,"229,626,000"
57.49,"Sep 06, 2018",58.32,54.91,"3,344,492,650",58.32,"351,270,000"
58.44,"Sep 05, 2018",68.12,58.44,"3,399,043,578",67.67,"409,226,000"
67.71,"Sep 04, 2018",68.98,65.23,"3,937,324,171",65.32,"308,206,000"
65.37,"Sep 03, 2018",66.20,64.32,"3,800,526,797",65.82,"235,034,000"
65.65,"Sep 02, 2018",66.90,64.33,"3,815,602,461",65.98,"265,104,000"
65.95,"Sep 01, 2018",67.25,61.74,"3,832,231,495",61.74,"306,586,000"
61.93,"Aug 31, 2018",62.25,59.32,"3,597,385,669",60.42,"265,252,000"
60.32,"Aug 30, 2018",62.03,58.92,"3,502,972,843",61.77,"219,094,000"
61.77,"Aug 29, 2018",63.39,60.74,"3,586,429,316",63.03,"220,637,000"
63.02,"Aug 28, 2018",63.40,59.62,"3,658,481,636",60.23,"246,764,000"
60.25,"Aug 27, 2018",60.42,56.93,"3,496,598,714",57.26,"228,072,000"
57.33,"Aug 26, 2018",58.11,56.24,"3,326,564,888",58.05,"206,572,000"
57.91,"Aug 25, 2018",58.21,57.37,"3,359,063,830",57.92,"187,571,000"
57.93,"Aug 24, 2018",58.28,55.95,"3,359,443,513",57.60,"194,676,000"
57.54,"Aug 23, 2018",57.81,54.39,"3,336,208,361",55.19,"205,125,000"
55.32,"Aug 22, 2018",59.01,54.38,"3,206,435,040",56.66,"228,893,000"
56.35,"Aug 21, 2018",56.80,53.77,"3,265,411,241",53.77,"187,486,000"
54.00,"Aug 20, 2018",58.55,53.98,"3,128,235,978",57.91,"244,192,000"
57.94,"Aug 19, 2018",58.74,56.54,"3,355,770,259",57.22,"204,484,000"
57.28,"Aug 18, 2018",62.03,55.80,"3,316,534,145",61.56,"243,057,000"
61.51,"Aug 17, 2018",61.51,55.19,"3,561,007,625",55.33,"263,383,000"
55.36,"Aug 16, 2018",57.43,54.51,"3,204,120,259",54.54,"211,779,000"
54.50,"Aug 15, 2018",58.95,54.30,"3,153,513,508",54.68,"282,699,000"
54.56,"Aug 14, 2018",57.05,51.16,"3,156,149,907",57.00,"250,440,000"
56.85,"Aug 13, 2018",60.60,56.31,"3,287,753,598",59.48,"223,061,000"
59.33,"Aug 12, 2018",61.71,57.96,"3,430,379,427",58.22,"276,383,000"
58.36,"Aug 11, 2018",59.80,55.67,"3,373,620,431",59.49,"259,948,000"
59.39,"Aug 10, 2018",64.93,58.86,"3,432,695,951",63.98,"259,781,000"
63.98,"Aug 09, 2018",65.58,61.30,"3,696,931,039",62.47,"270,095,000"
62.49,"Aug 08, 2018",68.16,62.14,"3,609,827,136",68.16,"313,187,000"
68.17,"Aug 07, 2018",75.23,68.13,"3,936,927,335",74.00,"299,418,000"
73.89,"Aug 06, 2018",76.59,72.79,"4,265,995,090",75.06,"265,134,000"
74.59,"Aug 05, 2018",75.00,72.69,"4,305,369,689",73.38,"265,627,000"
73.20,"Aug 04, 2018",77.82,72.76,"4,224,004,698",77.42,"262,765,000"
77.54,"Aug 03, 2018",77.57,74.47,"4,473,145,660",76.30,"298,295,000"
76.14,"Aug 02, 2018",78.54,75.61,"4,391,532,340",77.71,"285,466,000"
77.86,"Aug 01, 2018",80.73,76.40,"4,489,424,993",80.39,"301,530,000"
79.70,"Jul 31, 2018",82.94,76.81,"4,594,971,658",82.69,"319,362,000"
82.85,"Jul 30, 2018",84.71,80.60,"4,775,334,189",84.15,"313,998,000"
84.08,"Jul 29, 2018",85.21,83.38,"4,845,428,837",84.05,"276,696,000"
83.62,"Jul 28, 2018",84.63,82.83,"4,817,687,941",84.54,"279,804,992"
84.46,"Jul 27, 2018",85.22,82.04,"4,864,859,011",83.73,"358,798,016"
84.03,"Jul 26, 2018",88.02,83.19,"4,838,652,756",86.28,"286,579,008"
86.28,"Jul 25, 2018",89.92,85.41,"4,967,065,514",88.66,"310,156,992"
89.29,"Jul 24, 2018",89.29,81.93,"5,138,587,102",82.68,"440,572,992"
82.43,"Jul 23, 2018",86.05,82.31,"4,742,939,001",83.23,"296,071,008"
83.16,"Jul 22, 2018",84.63,82.87,"4,783,253,313",84.26,"245,916,992"
84.46,"Jul 21, 2018",85.25,80.67,"4,857,361,115",82.66,"246,152,992"
82.75,"Jul 20, 2018",86.68,82.42,"4,757,974,241",86.68,"287,448,000"
86.67,"Jul 19, 2018",88.83,85.79,"4,981,759,675",86.90,"307,785,984"
86.96,"Jul 18, 2018",93.65,86.03,"4,997,438,569",89.82,"375,428,992"
89.81,"Jul 17, 2018",90.31,83.00,"5,159,554,161",84.30,"341,836,000"
84.60,"Jul 16, 2018",84.60,78.21,"4,858,950,162",78.96,"307,904,000"
78.94,"Jul 15, 2018",79.65,76.02,"4,532,784,609",76.70,"230,467,008"
76.72,"Jul 14, 2018",77.54,76.18,"4,404,338,246",76.97,"197,776,000"
76.94,"Jul 13, 2018",78.43,76.11,"4,415,840,363",77.29,"256,038,000"
76.81,"Jul 12, 2018",78.59,75.31,"4,407,032,324",78.59,"267,396,992"
78.70,"Jul 11, 2018",80.80,76.07,"4,514,447,288",76.13,"284,915,008"
76.08,"Jul 10, 2018",80.88,75.38,"4,363,305,676",80.78,"321,614,016"
80.86,"Jul 09, 2018",83.26,80.75,"4,636,050,015",82.54,"263,326,000"
82.40,"Jul 08, 2018",86.68,82.18,"4,722,977,524",86.26,"239,655,008"
86.20,"Jul 07, 2018",86.20,80.70,"4,939,834,011",83.40,"238,936,992"
83.38,"Jul 06, 2018",84.60,81.32,"4,776,762,278",83.84,"253,160,000"
83.76,"Jul 05, 2018",86.67,82.54,"4,797,418,574",85.65,"306,121,984"
85.49,"Jul 04, 2018",89.12,84.02,"4,895,597,691",85.17,"282,222,016"
85.10,"Jul 03, 2018",89.28,84.73,"4,871,976,744",85.39,"343,900,992"
85.26,"Jul 02, 2018",86.27,78.69,"4,879,760,110",80.27,"302,471,008"
80.24,"Jul 01, 2018",81.61,78.36,"4,591,723,093",81.50,"343,401,984"
81.37,"Jun 30, 2018",83.24,78.95,"4,655,306,527",78.95,"276,550,016"
78.77,"Jun 29, 2018",80.18,73.17,"4,505,043,163",74.81,"309,339,008"
74.93,"Jun 28, 2018",81.04,74.44,"4,284,330,181",80.63,"263,414,000"
80.66,"Jun 27, 2018",81.34,75.86,"4,610,879,160",76.93,"274,128,000"
76.87,"Jun 26, 2018",82.50,76.85,"4,393,058,423",81.82,"258,432,992"
81.83,"Jun 25, 2018",86.07,79.02,"4,675,821,027",80.37,"458,366,016"
80.78,"Jun 24, 2018",83.39,74.29,"4,614,286,500",82.74,"449,884,992"
82.60,"Jun 23, 2018",86.36,81.64,"4,717,454,160",85.09,"439,203,008"
85.08,"Jun 22, 2018",97.12,81.40,"4,857,442,768",96.94,"458,636,992"
96.93,"Jun 21, 2018",98.87,96.36,"5,532,658,033",97.88,"261,544,000"
97.99,"Jun 20, 2018",99.20,95.97,"5,592,175,727",98.96,"261,392,000"
98.84,"Jun 19, 2018",100.82,97.40,"5,638,967,092",98.73,"284,982,016"
98.82,"Jun 18, 2018",99.81,93.91,"5,636,516,739",95.77,"282,937,984"
96.10,"Jun 17, 2018",98.66,95.53,"5,480,226,337",97.72,"242,331,008"
97.58,"Jun 16, 2018",98.35,93.97,"5,562,876,559",96.58,"259,324,992"
96.68,"Jun 15, 2018",101.11,95.60,"5,510,142,475",101.11,"293,284,992"
101.15,"Jun 14, 2018",102.42,93.61,"5,764,020,026",93.99,"367,742,016"
94.08,"Jun 13, 2018",100.95,91.29,"5,359,361,892",100.80,"360,492,992"
100.75,"Jun 12, 2018",108.06,99.37,"5,738,282,059",107.43,"333,163,008"
107.52,"Jun 11, 2018",108.85,104.12,"6,121,874,767",106.54,"331,430,016"
107.04,"Jun 10, 2018",117.56,104.08,"6,093,573,160",117.56,"399,889,984"
