close,date,high,low,marketcap,open,volume
679.97,"Oct 15, 2018",681.21,636.12,"495,171,580",644.18,"518,799"
643.46,"Oct 14, 2018",658.27,640.62,"468,585,441",643.45,"127,170"
643.31,"Oct 13, 2018",658.63,641.80,"468,473,294",647.11,"114,266"
647.55,"Oct 12, 2018",654.30,635.08,"471,563,164",637.07,"612,373"
637.74,"Oct 11, 2018",684.67,614.79,"464,419,978",683.54,"1,607,590"
684.87,"Oct 10, 2018",740.28,628.01,"498,743,538",738.42,"2,062,310"
739.77,"Oct 09, 2018",785.97,728.85,"538,720,329",756.56,"1,003,590"
752.53,"Oct 08, 2018",778.70,627.49,"548,015,429",627.49,"4,088,190"
622.09,"Oct 07, 2018",641.61,603.32,"453,022,485",637.65,"581,395"
636.08,"Oct 06, 2018",645.96,606.89,"463,211,120",608.64,"1,431,580"
607.09,"Oct 05, 2018",614.63,524.56,"442,098,340",530.86,"1,001,090"
530.86,"Oct 04, 2018",531.77,495.41,"386,586,994",503.56,"1,453,360"
503.24,"Oct 03, 2018",508.70,487.55,"366,476,256",495.68,"1,695,780"
495.50,"Oct 02, 2018",522.43,473.42,"360,839,045",485.12,"1,088,660"
485.64,"Oct 01, 2018",496.01,470.36,"353,657,263",493.59,"205,022"
494.22,"Sep 30, 2018",497.81,472.05,"359,906,913",491.82,"117,395"
491.97,"Sep 29, 2018",492.23,462.61,"358,264,760",476.87,"168,445"
476.87,"Sep 28, 2018",481.30,465.27,"347,272,161",471.70,"410,884"
471.69,"Sep 27, 2018",476.06,438.72,"343,501,398",443.96,"282,318"
443.96,"Sep 26, 2018",461.33,429.82,"323,306,185",445.32,"311,190"
439.90,"Sep 25, 2018",458.69,424.88,"320,345,211",452.90,"696,105"
453.14,"Sep 24, 2018",478.09,448.78,"329,990,588",478.09,"586,175"
476.68,"Sep 23, 2018",500.58,451.01,"347,127,972",460.06,"101,152"
459.97,"Sep 22, 2018",505.11,419.42,"334,965,112",439.75,"95,475"
439.34,"Sep 21, 2018",443.20,415.41,"319,936,676",427.77,"1,132,620"
419.35,"Sep 20, 2018",419.35,387.79,"305,380,859",406.17,"1,599,250"
406.08,"Sep 19, 2018",458.70,397.21,"295,721,646",458.70,"727,736"
436.66,"Sep 18, 2018",438.93,378.25,"317,987,210",383.44,"1,390,880"
383.52,"Sep 17, 2018",423.89,379.07,"279,293,556",418.73,"315,799"
419.24,"Sep 16, 2018",431.42,405.76,"305,303,667",431.42,"175,993"
430.88,"Sep 15, 2018",435.24,405.75,"313,780,238",411.37,"384,915"
412.69,"Sep 14, 2018",418.42,352.52,"300,535,960",354.18,"1,014,920"
354.99,"Sep 13, 2018",357.34,307.27,"258,512,120",308.06,"200,908"
307.83,"Sep 12, 2018",333.37,291.36,"224,171,811",331.85,"438,368"
331.93,"Sep 11, 2018",344.12,328.05,"241,717,003",338.30,"236,833"
337.76,"Sep 10, 2018",344.65,335.12,"225,698,607",341.30,"62,879"
342.67,"Sep 09, 2018",354.28,335.62,"228,983,615",349.92,"298,430"
350.49,"Sep 08, 2018",393.28,341.42,"234,207,819",389.41,"378,593"
389.22,"Sep 07, 2018",401.32,387.85,"260,088,949",395.03,"204,300"
395.20,"Sep 06, 2018",412.12,375.34,"264,084,283",412.12,"226,056"
411.05,"Sep 05, 2018",480.88,398.05,"274,672,352",468.53,"296,918"
466.97,"Sep 04, 2018",491.62,463.67,"312,042,322",474.63,"63,651"
478.89,"Sep 03, 2018",515.48,477.57,"320,008,265",514.28,"144,658"
511.86,"Sep 02, 2018",511.86,481.97,"342,036,393",485.81,"414,041"
486.04,"Sep 01, 2018",499.83,434.27,"324,788,098",447.82,"441,897"
443.11,"Aug 31, 2018",449.00,429.26,"296,099,075",440.59,"51,890"
439.81,"Aug 30, 2018",452.63,431.57,"293,891,919",448.96,"190,750"
448.82,"Aug 29, 2018",469.06,448.82,"299,912,651",462.14,"301,758"
462.19,"Aug 28, 2018",463.69,449.73,"308,845,520",455.19,"222,993"
453.98,"Aug 27, 2018",453.98,426.49,"303,362,711",429.18,"248,331"
428.73,"Aug 26, 2018",439.38,427.35,"286,490,628",439.38,"119,628"
439.24,"Aug 25, 2018",447.68,433.86,"293,513,702",439.31,"250,994"
439.80,"Aug 24, 2018",443.18,427.06,"293,889,246",432.50,"199,001"
432.22,"Aug 23, 2018",434.45,404.11,"288,822,743",411.82,"225,255"
411.79,"Aug 22, 2018",446.77,402.42,"275,168,845",429.97,"289,982"
430.23,"Aug 21, 2018",439.50,421.27,"287,491,634",423.22,"115,973"
422.38,"Aug 20, 2018",462.10,422.38,"282,246,046",457.04,"163,838"
456.79,"Aug 19, 2018",461.59,432.16,"305,236,422",433.54,"465,103"
433.55,"Aug 18, 2018",457.56,419.94,"289,712,823",447.70,"92,590"
446.75,"Aug 17, 2018",447.24,420.84,"298,532,761",424.48,"416,306"
423.99,"Aug 16, 2018",435.80,405.08,"283,323,897",408.38,"487,917"
407.90,"Aug 15, 2018",431.01,401.72,"272,572,780",403.54,"442,452"
401.29,"Aug 14, 2018",420.72,370.82,"268,152,454",420.72,"733,677"
420.21,"Aug 13, 2018",479.75,417.91,"280,795,323",475.32,"402,101"
474.36,"Aug 12, 2018",484.01,465.81,"316,978,520",469.81,"196,767"
474.21,"Aug 11, 2018",482.60,438.74,"316,878,954",474.74,"707,828"
474.63,"Aug 10, 2018",519.79,470.15,"317,161,615",514.63,"368,763"
515.29,"Aug 09, 2018",519.84,497.70,"344,330,419",510.10,"272,003"
509.43,"Aug 08, 2018",518.88,489.63,"340,413,268",518.88,"616,748"
518.84,"Aug 07, 2018",554.22,511.24,"346,703,296",541.86,"274,238"
542.18,"Aug 06, 2018",568.12,538.35,"362,300,401",565.15,"131,891"
564.68,"Aug 05, 2018",565.58,540.19,"377,337,530",549.39,"164,037"
548.79,"Aug 04, 2018",562.52,545.26,"366,718,723",557.08,"155,862"
556.27,"Aug 03, 2018",589.53,555.68,"371,713,725",584.32,"191,160"
584.20,"Aug 02, 2018",599.07,561.28,"390,377,327",592.69,"170,048"
593.78,"Aug 01, 2018",610.30,584.47,"396,781,622",609.45,"46,226"
609.52,"Jul 31, 2018",638.38,605.18,"407,295,518",636.66,"108,317"
638.26,"Jul 30, 2018",650.98,613.51,"426,505,729",650.98,"182,004"
650.78,"Jul 29, 2018",653.42,627.24,"434,866,595",627.45,"41,694"
628.34,"Jul 28, 2018",651.42,623.43,"419,875,574",649.91,"19,367"
648.96,"Jul 27, 2018",650.55,622.59,"433,653,094",631.83,"120,437"
631.82,"Jul 26, 2018",667.33,628.05,"422,196,997",642.74,"361,773"
644.32,"Jul 25, 2018",649.40,625.54,"430,550,512",640.45,"612,094"
641.49,"Jul 24, 2018",645.18,603.36,"428,661,432",609.84,"394,566"
610.17,"Jul 23, 2018",628.74,607.65,"407,733,207",608.36,"438,567"
608.44,"Jul 22, 2018",628.65,606.14,"406,579,177",622.07,"263,359"
622.28,"Jul 21, 2018",628.52,596.21,"415,823,440",603.86,"503,033"
603.90,"Jul 20, 2018",623.19,597.86,"403,540,746",616.26,"513,185"
616.48,"Jul 19, 2018",650.27,616.48,"411,950,392",648.48,"758,094"
648.78,"Jul 18, 2018",685.71,618.96,"433,531,476",667.85,"1,093,170"
667.95,"Jul 17, 2018",673.95,590.24,"446,342,739",598.97,"757,716"
598.51,"Jul 16, 2018",598.51,563.13,"399,937,662",574.22,"311,330"
573.46,"Jul 15, 2018",584.50,543.49,"383,201,897",556.98,"370,642"
557.48,"Jul 14, 2018",563.68,555.24,"372,521,613",559.37,"155,067"
558.94,"Jul 13, 2018",567.69,552.14,"373,501,903",556.89,"146,196"
555.98,"Jul 12, 2018",573.68,545.27,"371,523,949",567.68,"336,822"
568.07,"Jul 11, 2018",571.69,544.40,"379,600,149",554.76,"166,170"
554.33,"Jul 10, 2018",579.99,548.69,"370,417,363",568.79,"145,450"
569.57,"Jul 09, 2018",582.90,567.78,"380,604,496",576.37,"65,372"
574.09,"Jul 08, 2018",586.50,568.86,"383,622,212",570.99,"63,922"
571.15,"Jul 07, 2018",572.32,536.42,"381,659,627",547.40,"85,054"
548.00,"Jul 06, 2018",558.21,544.89,"366,186,813",549.72,"90,825"
549.03,"Jul 05, 2018",570.81,538.29,"339,425,593",549.27,"71,664"
