close,date,high,low,marketcap,open,volume
0.096544,"Oct 15, 2018",0.099796,0.091456,"868,893,300",0.092310,"8,983,920"
0.092250,"Oct 14, 2018",0.094536,0.092039,"830,249,100",0.093067,"6,469,280"
0.092983,"Oct 13, 2018",0.093254,0.091434,"836,846,100",0.092144,"5,774,730"
0.091883,"Oct 12, 2018",0.093979,0.088655,"826,943,400",0.090032,"8,396,600"
0.090627,"Oct 11, 2018",0.103479,0.090516,"815,643,900",0.103479,"11,788,600"
0.103666,"Oct 10, 2018",0.107475,0.102307,"932,994,000",0.107208,"8,673,840"
0.107320,"Oct 09, 2018",0.109660,0.105334,"965,880,000",0.109321,"8,406,010"
0.108959,"Oct 08, 2018",0.109702,0.105174,"980,631,000",0.106329,"8,069,000"
0.105833,"Oct 07, 2018",0.108701,0.102999,"952,497,000",0.103685,"7,801,600"
0.103371,"Oct 06, 2018",0.106633,0.102589,"930,339,000",0.106284,"7,307,280"
0.106169,"Oct 05, 2018",0.106748,0.102280,"955,521,000",0.103675,"9,076,300"
0.103695,"Oct 04, 2018",0.109915,0.101763,"933,255,000",0.101763,"12,692,900"
0.101770,"Oct 03, 2018",0.104804,0.099459,"915,930,000",0.104067,"12,248,400"
0.104127,"Oct 02, 2018",0.114282,0.102888,"937,143,000",0.103446,"25,389,700"
0.103602,"Oct 01, 2018",0.104322,0.096375,"932,418,000",0.096643,"16,363,300"
0.096895,"Sep 30, 2018",0.097350,0.094921,"872,053,200",0.096269,"8,313,120"
0.096353,"Sep 29, 2018",0.096904,0.093191,"867,179,700",0.094782,"7,817,790"
0.094895,"Sep 28, 2018",0.099015,0.093695,"854,055,900",0.097564,"8,652,180"
0.097578,"Sep 27, 2018",0.099731,0.092292,"878,200,200",0.093136,"13,131,400"
0.093172,"Sep 26, 2018",0.094912,0.089679,"838,545,300",0.092625,"10,023,000"
0.092639,"Sep 25, 2018",0.096648,0.090013,"833,751,900",0.096510,"12,077,100"
0.096280,"Sep 24, 2018",0.101537,0.095549,"866,520,900",0.101537,"10,963,100"
0.101613,"Sep 23, 2018",0.102480,0.095270,"914,517,000",0.096464,"12,179,900"
0.096509,"Sep 22, 2018",0.101220,0.091686,"868,579,200",0.100971,"12,194,600"
0.100771,"Sep 21, 2018",0.102577,0.089944,"906,939,000",0.089944,"21,589,200"
0.090092,"Sep 20, 2018",0.090337,0.085083,"810,830,700",0.085931,"11,271,300"
0.085788,"Sep 19, 2018",0.089655,0.085465,"772,092,000",0.087644,"9,419,740"
0.087725,"Sep 18, 2018",0.089019,0.084298,"789,525,000",0.085234,"7,478,720"
0.085188,"Sep 17, 2018",0.091605,0.084442,"766,689,300",0.090958,"7,826,780"
0.090831,"Sep 16, 2018",0.090979,0.088150,"817,482,600",0.090313,"8,121,900"
0.089957,"Sep 15, 2018",0.092244,0.089405,"809,613,000",0.090309,"6,582,210"
0.090421,"Sep 14, 2018",0.094193,0.087844,"813,788,100",0.092854,"8,444,770"
0.092770,"Sep 13, 2018",0.093051,0.087031,"834,925,500",0.088868,"11,337,200"
0.088594,"Sep 12, 2018",0.088594,0.079408,"797,341,500",0.088397,"12,052,900"
0.088286,"Sep 11, 2018",0.094479,0.087440,"794,573,100",0.093992,"10,264,000"
0.093991,"Sep 10, 2018",0.099093,0.093684,"845,921,700",0.097482,"8,961,900"
0.097558,"Sep 09, 2018",0.100856,0.096778,"878,023,800",0.097478,"8,878,470"
0.097587,"Sep 08, 2018",0.103679,0.095511,"878,285,700",0.101292,"9,723,850"
0.101322,"Sep 07, 2018",0.103465,0.099651,"911,898,000",0.102626,"11,874,600"
0.102768,"Sep 06, 2018",0.104230,0.095689,"924,912,000",0.100210,"16,004,800"
0.100319,"Sep 05, 2018",0.124684,0.100319,"902,871,000",0.122451,"20,672,800"
