close,date,high,low,marketcap,open,volume
16.28,"Oct 15, 2018",17.00,15.47,"1,058,187,000",15.61,"253,750,000"
15.66,"Oct 14, 2018",16.24,15.62,"1,017,757,000",15.76,"158,264,000"
15.76,"Oct 13, 2018",15.95,15.64,"1,024,302,500",15.64,"138,117,000"
15.63,"Oct 12, 2018",16.03,15.30,"1,015,709,500",15.41,"195,622,000"
15.52,"Oct 11, 2018",18.15,15.43,"1,008,728,500",18.14,"228,270,000"
18.20,"Oct 10, 2018",18.31,17.83,"1,182,883,000",18.23,"176,005,000"
18.28,"Oct 09, 2018",18.55,18.07,"1,188,011,500",18.52,"162,300,000"
18.45,"Oct 08, 2018",18.72,18.04,"1,199,464,500",18.13,"159,657,000"
18.06,"Oct 07, 2018",18.18,17.88,"1,174,062,500",17.94,"143,765,000"
17.88,"Oct 06, 2018",18.46,17.82,"1,162,115,500",18.19,"98,981,200"
18.16,"Oct 05, 2018",18.19,17.83,"1,180,140,000",17.95,"91,481,600"
17.91,"Oct 04, 2018",18.35,17.91,"1,164,059,000",17.94,"147,540,000"
17.94,"Oct 03, 2018",18.49,17.75,"1,166,347,000",18.45,"123,794,000"
18.50,"Oct 02, 2018",18.72,18.21,"1,202,461,000",18.66,"153,533,000"
18.67,"Oct 01, 2018",19.11,18.36,"1,213,485,000",18.85,"162,321,000"
18.90,"Sep 30, 2018",19.22,18.57,"1,228,695,000",19.17,"141,458,000"
19.16,"Sep 29, 2018",19.23,18.48,"1,245,211,500",19.12,"114,329,000"
19.24,"Sep 28, 2018",20.35,18.83,"1,250,879,500",19.05,"186,831,000"
18.98,"Sep 27, 2018",19.12,17.65,"1,233,732,500",17.87,"127,495,000"
17.88,"Sep 26, 2018",18.67,17.45,"1,162,154,500",18.11,"84,686,500"
18.11,"Sep 25, 2018",18.39,17.27,"1,177,052,500",18.39,"66,048,600"
18.46,"Sep 24, 2018",19.57,18.21,"1,200,049,500",19.50,"72,185,000"
19.50,"Sep 23, 2018",20.40,18.66,"1,267,701,500",18.83,"85,869,300"
18.79,"Sep 22, 2018",19.93,18.31,"1,221,454,000",19.79,"80,468,100"
19.73,"Sep 21, 2018",20.20,17.90,"1,282,638,500",18.24,"129,320,000"
18.26,"Sep 20, 2018",18.34,17.06,"1,186,685,500",17.21,"54,578,800"
17.12,"Sep 19, 2018",17.44,16.45,"1,112,663,500",17.01,"52,494,900"
17.01,"Sep 18, 2018",17.38,16.46,"1,105,455,000",16.66,"48,766,900"
16.73,"Sep 17, 2018",18.34,16.46,"1,087,411,000",18.19,"63,922,000"
18.09,"Sep 16, 2018",18.27,17.54,"1,175,557,500",18.21,"46,986,500"
18.13,"Sep 15, 2018",18.49,17.79,"1,178,463,000",17.95,"55,508,900"
17.93,"Sep 14, 2018",18.75,17.71,"1,165,365,500",18.36,"62,110,000"
18.20,"Sep 13, 2018",18.66,17.71,"1,182,850,500",17.77,"66,194,200"
17.60,"Sep 12, 2018",17.86,16.36,"1,144,104,000",17.69,"58,464,700"
17.60,"Sep 11, 2018",18.82,17.17,"1,144,182,000",18.54,"60,804,300"
18.49,"Sep 10, 2018",18.86,18.24,"1,201,960,500",18.57,"57,206,800"
18.45,"Sep 09, 2018",19.34,17.80,"1,199,009,500",18.12,"65,760,400"
18.09,"Sep 08, 2018",20.18,17.94,"1,175,830,500",19.72,"61,180,100"
19.69,"Sep 07, 2018",20.76,19.13,"1,280,090,500",20.27,"82,280,000"
20.34,"Sep 06, 2018",20.40,18.45,"1,321,970,000",19.57,"114,332,000"
19.66,"Sep 05, 2018",24.75,19.64,"1,277,802,500",24.19,"137,784,000"
24.20,"Sep 04, 2018",25.03,22.51,"1,572,993,500",22.96,"98,087,000"
22.85,"Sep 03, 2018",23.38,21.23,"1,485,406,000",22.12,"77,796,800"
21.99,"Sep 02, 2018",23.10,21.56,"1,429,077,000",22.43,"87,394,700"
22.50,"Sep 01, 2018",23.03,20.19,"1,462,786,000",20.21,"87,431,500"
20.34,"Aug 31, 2018",20.44,19.09,"1,321,788,000",19.56,"60,857,900"
19.69,"Aug 30, 2018",20.21,18.57,"1,280,077,500",19.79,"62,811,600"
19.88,"Aug 29, 2018",21.33,19.63,"1,292,297,500",21.26,"80,280,700"
21.26,"Aug 28, 2018",21.57,19.83,"1,382,205,500",20.60,"85,983,000"
20.59,"Aug 27, 2018",20.60,17.47,"1,338,668,500",17.83,"85,067,000"
17.85,"Aug 26, 2018",17.92,17.03,"1,160,198,000",17.74,"45,759,000"
17.78,"Aug 25, 2018",18.42,17.44,"1,155,739,000",17.77,"44,633,900"
17.79,"Aug 24, 2018",18.04,17.13,"1,156,174,500",17.77,"46,036,900"
17.69,"Aug 23, 2018",17.69,16.51,"1,150,168,500",16.51,"50,369,500"
16.50,"Aug 22, 2018",19.31,16.18,"1,072,578,000",17.90,"64,149,800"
17.80,"Aug 21, 2018",18.21,17.15,"1,156,863,500",17.15,"45,962,300"
17.40,"Aug 20, 2018",19.80,17.15,"1,130,707,500",19.52,"60,671,000"
19.50,"Aug 19, 2018",20.15,17.85,"1,267,786,000",18.68,"69,574,000"
18.72,"Aug 18, 2018",20.89,17.47,"1,216,832,500",20.43,"83,859,300"
20.45,"Aug 17, 2018",20.63,16.03,"1,329,120,000",16.16,"111,468,000"
16.19,"Aug 16, 2018",17.28,15.63,"1,052,662,000",15.80,"59,234,600"
15.87,"Aug 15, 2018",17.51,15.74,"1,031,374,500",16.20,"71,774,200"
16.06,"Aug 14, 2018",16.06,14.12,"1,043,581,500",15.78,"72,739,000"
15.88,"Aug 13, 2018",19.07,15.88,"1,032,200,000",18.51,"52,043,100"
