close,date,high,low,marketcap,open,volume
1.84,"Oct 15, 2018",1.92,1.74,"381,215,501",1.77,"46,203,400"
1.79,"Oct 14, 2018",1.83,1.75,"369,630,833",1.78,"13,184,100"
1.78,"Oct 13, 2018",1.80,1.76,"368,026,451",1.77,"16,584,500"
1.76,"Oct 12, 2018",1.80,1.70,"364,503,023",1.70,"30,027,400"
1.73,"Oct 11, 2018",2.05,1.72,"358,255,251",2.05,"40,100,000"
2.05,"Oct 10, 2018",2.07,2.00,"423,747,133",2.06,"26,966,000"
2.07,"Oct 09, 2018",2.15,2.02,"429,150,276",2.07,"36,677,700"
2.06,"Oct 08, 2018",2.13,1.92,"426,537,722",1.93,"47,348,000"
1.93,"Oct 07, 2018",1.93,1.90,"399,842,886",1.93,"12,476,200"
1.92,"Oct 06, 2018",1.97,1.92,"398,486,925",1.95,"13,829,800"
1.95,"Oct 05, 2018",1.95,1.91,"358,896,314",1.92,"14,929,400"
1.92,"Oct 04, 2018",1.96,1.91,"354,038,796",1.91,"16,595,100"
1.90,"Oct 03, 2018",1.99,1.87,"349,573,638",1.97,"25,038,300"
1.98,"Oct 02, 2018",2.02,1.96,"365,586,683",1.98,"14,552,800"
1.98,"Oct 01, 2018",2.02,1.95,"365,280,901",2.00,"14,864,400"
2.00,"Sep 30, 2018",2.02,1.94,"368,747,661",1.99,"23,782,700"
1.99,"Sep 29, 2018",2.02,1.92,"365,759,837",2.02,"38,163,800"
2.01,"Sep 28, 2018",2.09,1.91,"371,061,291",1.92,"95,418,200"
1.92,"Sep 27, 2018",1.94,1.81,"353,274,340",1.84,"30,441,500"
1.83,"Sep 26, 2018",1.90,1.80,"337,136,035",1.86,"32,571,700"
1.85,"Sep 25, 2018",1.90,1.76,"341,538,563",1.90,"37,902,500"
1.91,"Sep 24, 2018",2.08,1.89,"351,135,706",2.08,"38,980,500"
2.08,"Sep 23, 2018",2.14,2.01,"383,025,484",2.07,"46,592,900"
2.06,"Sep 22, 2018",2.21,1.99,"378,805,320",2.18,"73,489,700"
2.13,"Sep 21, 2018",2.17,1.81,"392,664,995",1.85,"79,915,700"
1.83,"Sep 20, 2018",1.83,1.70,"337,826,808",1.72,"33,377,300"
1.71,"Sep 19, 2018",1.75,1.66,"315,069,974",1.73,"31,727,800"
1.73,"Sep 18, 2018",1.75,1.66,"318,079,903",1.69,"31,952,700"
1.70,"Sep 17, 2018",1.87,1.68,"312,422,931",1.84,"48,574,700"
1.83,"Sep 16, 2018",1.86,1.80,"337,771,546",1.86,"50,569,500"
1.86,"Sep 15, 2018",1.91,1.79,"342,430,121",1.81,"39,983,900"
1.83,"Sep 14, 2018",1.91,1.78,"337,123,140",1.91,"58,290,300"
1.90,"Sep 13, 2018",1.93,1.74,"349,730,213",1.74,"76,165,200"
1.73,"Sep 12, 2018",1.76,1.58,"319,466,976",1.76,"63,706,500"
1.75,"Sep 11, 2018",1.88,1.72,"322,900,579",1.87,"42,511,800"
1.84,"Sep 10, 2018",1.91,1.81,"339,585,977",1.86,"48,876,900"
1.85,"Sep 09, 2018",1.97,1.79,"341,584,615",1.89,"63,246,200"
1.88,"Sep 08, 2018",2.08,1.85,"346,863,964",2.00,"65,376,200"
