close,date,high,low,marketcap,open,volume
3.67,"Oct 15, 2018",3.77,3.42,"326,383,527",3.46,"181,912,000"
3.46,"Oct 14, 2018",3.55,3.46,"307,691,818",3.47,"66,949,400"
3.48,"Oct 13, 2018",3.54,3.44,"309,460,896",3.49,"79,992,700"
3.48,"Oct 12, 2018",3.53,3.38,"309,288,033",3.40,"110,968,000"
3.41,"Oct 11, 2018",3.97,3.41,"303,705,908",3.97,"142,871,000"
3.97,"Oct 10, 2018",4.06,3.75,"353,298,204",3.84,"155,411,000"
3.86,"Oct 09, 2018",3.91,3.79,"343,025,808",3.90,"104,168,000"
3.89,"Oct 08, 2018",3.93,3.79,"345,937,724",3.83,"115,729,000"
3.84,"Oct 07, 2018",3.84,3.71,"341,218,845",3.77,"177,728,000"
3.75,"Oct 06, 2018",3.82,3.73,"333,379,205",3.82,"138,528,000"
3.81,"Oct 05, 2018",3.89,3.71,"338,768,912",3.78,"141,122,000"
3.76,"Oct 04, 2018",3.97,3.75,"334,682,815",3.76,"168,860,000"
3.75,"Oct 03, 2018",3.91,3.69,"333,234,928",3.84,"129,606,000"
3.93,"Oct 02, 2018",4.03,3.79,"349,129,787",3.84,"128,617,000"
3.84,"Oct 01, 2018",3.93,3.74,"341,499,898",3.88,"143,550,000"
3.89,"Sep 30, 2018",3.94,3.78,"346,083,872",3.86,"160,072,000"
3.88,"Sep 29, 2018",3.95,3.75,"344,745,199",3.86,"161,854,000"
3.88,"Sep 28, 2018",4.01,3.81,"344,622,244",3.99,"198,804,000"
3.98,"Sep 27, 2018",4.11,3.53,"354,308,966",3.63,"198,894,000"
3.62,"Sep 26, 2018",3.77,3.54,"322,036,372",3.68,"131,695,000"
3.68,"Sep 25, 2018",3.80,3.47,"327,493,298",3.80,"120,542,000"
3.81,"Sep 24, 2018",4.14,3.79,"338,523,420",4.14,"124,927,000"
4.14,"Sep 23, 2018",4.27,3.75,"367,843,508",3.76,"184,527,000"
3.75,"Sep 22, 2018",4.06,3.66,"333,714,684",4.04,"150,237,000"
4.02,"Sep 21, 2018",4.03,3.50,"357,492,626",3.57,"257,060,000"
3.57,"Sep 20, 2018",3.58,3.31,"317,756,112",3.31,"115,629,000"
3.32,"Sep 19, 2018",3.34,3.20,"295,056,211",3.29,"93,122,400"
3.27,"Sep 18, 2018",3.35,3.09,"290,462,970",3.14,"90,924,200"
3.16,"Sep 17, 2018",3.48,3.09,"280,503,123",3.38,"93,359,200"
3.36,"Sep 16, 2018",3.48,3.29,"298,622,887",3.46,"72,631,300"
3.44,"Sep 15, 2018",3.67,3.36,"305,682,681",3.46,"84,648,200"
3.58,"Sep 14, 2018",3.61,3.30,"318,082,599",3.44,"96,757,200"
3.47,"Sep 13, 2018",3.55,3.34,"308,422,500",3.34,"92,579,700"
3.38,"Sep 12, 2018",3.43,3.12,"300,533,589",3.41,"120,528,000"
3.38,"Sep 11, 2018",3.61,3.29,"300,564,542",3.50,"88,995,200"
3.49,"Sep 10, 2018",3.71,3.41,"309,989,367",3.65,"79,471,800"
3.62,"Sep 09, 2018",3.74,3.44,"321,489,047",3.63,"85,751,300"
3.62,"Sep 08, 2018",3.98,3.61,"321,863,579",3.91,"83,247,900"
3.90,"Sep 07, 2018",4.06,3.80,"346,695,258",3.98,"109,020,000"
4.01,"Sep 06, 2018",4.02,3.62,"356,671,365",3.91,"147,875,000"
3.94,"Sep 05, 2018",4.85,3.94,"349,698,924",4.80,"145,866,000"
4.80,"Sep 04, 2018",4.89,4.68,"426,973,692",4.71,"78,917,700"
4.70,"Sep 03, 2018",4.86,4.62,"417,522,159",4.77,"109,815,000"
4.80,"Sep 02, 2018",5.00,4.66,"426,628,024",4.93,"137,178,000"
4.87,"Sep 01, 2018",5.09,4.65,"432,804,701",4.69,"124,835,000"
4.67,"Aug 31, 2018",4.82,4.52,"414,930,260",4.68,"113,888,000"
4.68,"Aug 30, 2018",4.95,4.43,"416,205,831",4.80,"108,692,000"
4.84,"Aug 29, 2018",5.14,4.61,"430,456,319",4.79,"134,437,000"
4.78,"Aug 28, 2018",4.87,4.41,"424,799,596",4.46,"133,551,000"
4.48,"Aug 27, 2018",4.50,4.10,"397,907,194",4.13,"105,930,000"
4.12,"Aug 26, 2018",4.24,4.02,"366,146,942",4.22,"83,682,200"
4.24,"Aug 25, 2018",4.27,4.13,"376,930,474",4.22,"84,826,100"
4.23,"Aug 24, 2018",4.24,4.08,"376,151,927",4.17,"80,861,000"
4.17,"Aug 23, 2018",4.18,4.02,"370,249,254",4.07,"87,443,000"
4.11,"Aug 22, 2018",4.52,3.99,"364,703,817",4.27,"117,308,000"
4.30,"Aug 21, 2018",4.35,4.07,"381,602,492",4.20,"103,393,000"
4.21,"Aug 20, 2018",4.66,4.19,"374,261,012",4.60,"134,655,000"
4.62,"Aug 19, 2018",4.70,4.43,"410,091,173",4.53,"126,137,000"
4.51,"Aug 18, 2018",5.19,4.37,"400,219,585",5.02,"178,422,000"
5.03,"Aug 17, 2018",5.03,4.35,"446,517,578",4.37,"232,670,000"
4.37,"Aug 16, 2018",4.52,4.31,"387,816,168",4.48,"163,709,000"
4.42,"Aug 15, 2018",4.72,4.33,"392,735,959",4.45,"159,877,000"
4.45,"Aug 14, 2018",4.52,3.68,"395,093,126",4.18,"165,608,000"
4.18,"Aug 13, 2018",4.75,4.17,"370,903,039",4.65,"150,658,000"
4.65,"Aug 12, 2018",4.82,4.64,"412,883,046",4.74,"137,753,000"
4.75,"Aug 11, 2018",5.06,4.52,"421,909,917",5.05,"140,160,000"
5.06,"Aug 10, 2018",5.54,5.05,"449,486,226",5.38,"147,666,000"
5.38,"Aug 09, 2018",5.46,5.15,"477,888,828",5.32,"168,683,000"
5.27,"Aug 08, 2018",6.07,5.17,"468,233,986",6.07,"167,615,000"
6.07,"Aug 07, 2018",6.51,6.04,"538,655,108",6.42,"120,890,000"
6.44,"Aug 06, 2018",6.69,6.36,"572,152,439",6.47,"209,008,000"
6.45,"Aug 05, 2018",6.52,6.17,"572,539,213",6.25,"98,460,100"
6.25,"Aug 04, 2018",6.53,6.15,"554,998,911",6.36,"179,818,000"
6.33,"Aug 03, 2018",6.46,6.01,"562,142,838",6.46,"130,975,000"
6.47,"Aug 02, 2018",7.02,6.45,"574,562,418",6.85,"133,835,000"
