close,date,high,low,marketcap,open,volume
0.223001,"Oct 15, 2018",0.230353,0.207930,"4,212,626,857",0.209662,"71,749,600"
0.210144,"Oct 14, 2018",0.219311,0.208793,"3,969,750,132",0.214765,"36,498,700"
0.214810,"Oct 13, 2018",0.219563,0.214387,"4,057,893,683",0.215589,"46,116,600"
0.216032,"Oct 12, 2018",0.218393,0.206083,"4,080,977,824",0.206477,"48,988,300"
0.207037,"Oct 11, 2018",0.240941,0.206578,"3,911,056,722",0.240941,"75,872,400"
0.241593,"Oct 10, 2018",0.245796,0.238212,"4,563,840,783",0.243664,"40,184,400"
0.243915,"Oct 09, 2018",0.250283,0.242846,"4,607,377,217",0.249569,"40,657,100"
0.249009,"Oct 08, 2018",0.254004,0.241200,"4,703,438,163",0.243991,"41,913,600"
0.245138,"Oct 07, 2018",0.246788,0.237606,"4,610,267,780",0.242372,"33,460,000"
0.239771,"Oct 06, 2018",0.247914,0.238837,"4,509,331,544",0.245137,"34,392,600"
0.245192,"Oct 05, 2018",0.247620,0.240469,"4,608,341,045",0.243500,"38,001,100"
0.244278,"Oct 04, 2018",0.248393,0.240020,"4,590,500,914",0.240654,"36,170,200"
0.241136,"Oct 03, 2018",0.249178,0.237829,"4,531,062,317",0.247934,"47,661,800"
0.248286,"Oct 02, 2018",0.259782,0.248286,"4,665,414,407",0.258257,"50,886,900"
0.258404,"Oct 01, 2018",0.263545,0.253404,"4,855,400,373",0.259081,"67,813,900"
0.259599,"Sep 30, 2018",0.262696,0.252677,"4,877,853,750",0.254448,"64,864,600"
0.253908,"Sep 29, 2018",0.259334,0.245518,"4,770,919,197",0.252453,"54,822,100"
0.254127,"Sep 28, 2018",0.262948,0.249273,"4,775,034,070",0.259997,"63,003,000"
0.259216,"Sep 27, 2018",0.264678,0.243985,"4,870,655,434",0.243985,"99,370,800"
0.244767,"Sep 26, 2018",0.257956,0.238515,"4,599,159,265",0.250619,"89,889,500"
0.252306,"Sep 25, 2018",0.258395,0.233449,"4,740,816,230",0.258395,"118,361,000"
0.259048,"Sep 24, 2018",0.282503,0.254954,"4,867,361,157",0.279833,"135,616,000"
0.281478,"Sep 23, 2018",0.300275,0.238815,"5,288,807,424",0.239433,"317,587,000"
0.239225,"Sep 22, 2018",0.249508,0.231003,"4,493,941,301",0.248064,"76,614,200"
0.249211,"Sep 21, 2018",0.275536,0.231694,"4,681,532,048",0.233042,"182,926,000"
0.231897,"Sep 20, 2018",0.241435,0.205852,"4,356,281,235",0.206568,"89,258,100"
0.206563,"Sep 19, 2018",0.211158,0.199817,"3,880,371,196",0.207512,"48,741,100"
0.208417,"Sep 18, 2018",0.214757,0.194385,"3,915,030,102",0.196495,"55,982,400"
0.196827,"Sep 17, 2018",0.208782,0.195630,"3,697,213,440",0.206108,"42,653,700"
0.206510,"Sep 16, 2018",0.208485,0.199028,"3,879,098,497",0.203086,"41,913,100"
0.203202,"Sep 15, 2018",0.205633,0.200511,"3,816,960,760",0.201211,"37,685,700"
0.201743,"Sep 14, 2018",0.209517,0.198855,"3,789,554,135",0.206978,"49,018,400"
0.207806,"Sep 13, 2018",0.211132,0.197915,"3,903,441,230",0.197915,"68,042,900"
0.198293,"Sep 12, 2018",0.207005,0.186384,"3,724,697,962",0.201214,"81,499,500"
0.201071,"Sep 11, 2018",0.206932,0.185084,"3,776,878,662",0.191480,"77,490,400"
0.190839,"Sep 10, 2018",0.195371,0.188329,"3,584,583,067",0.191119,"51,759,700"
0.192781,"Sep 09, 2018",0.202852,0.190194,"3,621,058,411",0.194291,"54,678,800"
0.194437,"Sep 08, 2018",0.211684,0.193170,"3,652,163,046",0.207994,"52,306,100"
0.207662,"Sep 07, 2018",0.211473,0.200723,"3,900,570,821",0.206841,"60,828,100"
0.207484,"Sep 06, 2018",0.207484,0.195504,"3,897,226,549",0.205908,"71,466,100"
0.207437,"Sep 05, 2018",0.233226,0.207437,"3,894,366,300",0.231953,"69,435,700"
0.231268,"Sep 04, 2018",0.237544,0.220120,"4,341,761,194",0.221801,"52,972,600"
0.225325,"Sep 03, 2018",0.232219,0.219134,"4,230,105,401",0.224672,"47,867,700"
0.224744,"Sep 02, 2018",0.236545,0.221468,"4,219,197,140",0.229713,"44,368,300"
0.229722,"Sep 01, 2018",0.233377,0.221976,"4,312,649,897",0.222309,"57,559,200"
0.222076,"Aug 31, 2018",0.223162,0.214964,"4,169,106,751",0.221804,"49,383,600"
0.220902,"Aug 30, 2018",0.229215,0.213161,"4,147,064,340",0.226858,"52,981,700"
0.226211,"Aug 29, 2018",0.236947,0.223817,"4,246,730,277",0.234244,"59,888,100"
0.234745,"Aug 28, 2018",0.236806,0.223158,"4,406,940,470",0.224904,"66,510,100"
0.225437,"Aug 27, 2018",0.225866,0.213592,"4,232,116,355",0.213918,"50,597,200"
0.214840,"Aug 26, 2018",0.223861,0.210491,"4,033,178,256",0.223861,"41,019,000"
0.217795,"Aug 25, 2018",0.225616,0.213940,"4,088,652,193",0.221346,"37,623,300"
0.219806,"Aug 24, 2018",0.225470,0.211178,"4,126,404,441",0.214871,"46,565,700"
0.222162,"Aug 23, 2018",0.222162,0.206242,"4,170,632,650",0.213642,"50,407,300"
0.206896,"Aug 22, 2018",0.238291,0.205148,"3,884,044,444",0.219224,"57,593,700"
0.214708,"Aug 21, 2018",0.227195,0.210588,"4,030,697,780",0.217877,"57,619,800"
0.216457,"Aug 20, 2018",0.235864,0.213588,"4,063,454,059",0.230020,"56,916,000"
0.222723,"Aug 19, 2018",0.231740,0.217247,"4,180,901,778",0.223625,"58,941,500"
0.224235,"Aug 18, 2018",0.245270,0.220600,"4,209,284,639",0.239124,"73,536,300"
0.238120,"Aug 17, 2018",0.239695,0.215364,"4,469,930,217",0.215555,"85,576,200"
0.216032,"Aug 16, 2018",0.221991,0.209144,"4,055,299,279",0.215885,"66,979,600"
0.216954,"Aug 15, 2018",0.231441,0.216437,"4,072,606,152",0.218285,"98,247,500"
0.216706,"Aug 14, 2018",0.222632,0.200299,"4,067,949,718",0.222632,"95,074,200"
0.223559,"Aug 13, 2018",0.243137,0.219708,"4,196,516,599",0.223400,"100,249,000"
0.223601,"Aug 12, 2018",0.228675,0.216451,"4,197,304,662",0.218225,"69,114,300"
0.217665,"Aug 11, 2018",0.225080,0.202855,"4,085,877,544",0.224944,"87,523,800"
0.225430,"Aug 10, 2018",0.236659,0.215707,"4,231,637,492",0.221085,"110,186,000"
0.221435,"Aug 09, 2018",0.225776,0.198731,"4,156,645,425",0.201653,"75,813,300"
0.201351,"Aug 08, 2018",0.230009,0.195939,"3,779,640,585",0.230009,"68,469,800"
0.230672,"Aug 07, 2018",0.245397,0.228993,"4,329,849,753",0.234099,"64,467,600"
0.234705,"Aug 06, 2018",0.248388,0.232036,"4,405,474,260",0.245017,"52,688,700"
0.244218,"Aug 05, 2018",0.246923,0.236088,"4,584,035,686",0.241105,"50,833,600"
0.240724,"Aug 04, 2018",0.261043,0.236501,"4,518,452,393",0.257761,"62,650,500"
0.258956,"Aug 03, 2018",0.268918,0.246723,"4,860,671,979",0.261763,"78,914,000"
0.261192,"Aug 02, 2018",0.281400,0.261192,"4,902,642,206",0.276901,"64,773,900"
0.276268,"Aug 01, 2018",0.282404,0.265441,"5,185,622,590",0.278127,"78,075,400"
0.278009,"Jul 31, 2018",0.295472,0.267827,"5,218,300,058",0.295472,"90,072,600"
0.295923,"Jul 30, 2018",0.308645,0.281066,"5,554,454,640",0.308645,"87,990,000"
0.308399,"Jul 29, 2018",0.318472,0.305141,"5,787,857,132",0.316401,"69,073,696"
0.315229,"Jul 28, 2018",0.323001,0.311020,"5,916,038,737",0.317788,"72,393,904"
0.316882,"Jul 27, 2018",0.322608,0.296822,"5,947,061,206",0.308283,"109,249,000"
0.309552,"Jul 26, 2018",0.348363,0.298460,"5,809,475,472",0.332303,"173,806,000"
0.331706,"Jul 25, 2018",0.348664,0.294358,"6,225,230,518",0.297336,"180,428,000"
0.301456,"Jul 24, 2018",0.304381,0.280882,"5,657,514,926",0.284922,"107,505,000"
0.284384,"Jul 23, 2018",0.298840,0.281608,"5,337,025,910",0.283119,"91,948,800"
0.283534,"Jul 22, 2018",0.304460,0.281031,"5,321,007,291",0.290739,"98,754,600"
