close,date,high,low,marketcap,open,volume
0.025082,"Oct 15, 2018",0.025798,0.022999,"1,649,080,987",0.023509,"197,544,000"
0.023622,"Oct 14, 2018",0.024577,0.023503,"1,553,128,193",0.023614,"146,316,000"
0.023565,"Oct 13, 2018",0.023901,0.022701,"1,549,334,526",0.022701,"149,554,000"
0.022738,"Oct 12, 2018",0.023624,0.020680,"1,494,960,838",0.020760,"183,447,000"
0.020929,"Oct 11, 2018",0.025306,0.020873,"1,376,055,378",0.025306,"172,387,000"
0.025355,"Oct 10, 2018",0.025939,0.024636,"1,667,023,646",0.025938,"165,671,000"
0.026058,"Oct 09, 2018",0.026794,0.025279,"1,713,270,868",0.026573,"188,256,000"
0.026592,"Oct 08, 2018",0.028050,0.026098,"1,748,393,509",0.027012,"302,834,000"
0.026875,"Oct 07, 2018",0.027221,0.023662,"1,767,000,225",0.023775,"299,132,000"
0.023715,"Oct 06, 2018",0.024275,0.022972,"1,559,203,318",0.023376,"162,799,000"
0.023275,"Oct 05, 2018",0.023286,0.022442,"1,530,287,299",0.022737,"139,745,000"
0.022703,"Oct 04, 2018",0.023425,0.021614,"1,492,653,079",0.021619,"148,666,000"
0.021600,"Oct 03, 2018",0.022057,0.021248,"1,420,146,062",0.022057,"107,097,000"
0.022093,"Oct 02, 2018",0.022380,0.021901,"1,452,546,731",0.022057,"111,868,000"
0.022052,"Oct 01, 2018",0.022330,0.021706,"1,449,864,208",0.022214,"110,444,000"
0.022165,"Sep 30, 2018",0.022592,0.021912,"1,457,287,170",0.022049,"117,217,000"
0.022035,"Sep 29, 2018",0.022144,0.021323,"1,448,759,640",0.021933,"108,096,000"
0.021978,"Sep 28, 2018",0.022962,0.021458,"1,444,979,124",0.022507,"114,936,000"
0.022507,"Sep 27, 2018",0.022797,0.020747,"1,479,792,749",0.021097,"124,196,000"
0.021028,"Sep 26, 2018",0.021970,0.020384,"1,382,518,418",0.021274,"110,081,000"
0.021280,"Sep 25, 2018",0.022029,0.020275,"1,399,126,391",0.022029,"126,284,000"
0.022089,"Sep 24, 2018",0.024093,0.021965,"1,452,290,314",0.023739,"116,603,000"
0.023791,"Sep 23, 2018",0.024604,0.023094,"1,564,239,623",0.023198,"138,225,000"
0.023176,"Sep 22, 2018",0.025370,0.022404,"1,523,751,936",0.024907,"173,243,000"
0.024930,"Sep 21, 2018",0.025817,0.021356,"1,639,126,723",0.021506,"283,823,000"
0.021413,"Sep 20, 2018",0.021722,0.019740,"1,407,857,740",0.019762,"135,790,000"
