close,date,high,low,marketcap,open,volume
0.011783,"Oct 15, 2018",0.012237,0.011198,"653,423,140",0.011345,"17,371,300"
0.011360,"Oct 14, 2018",0.011707,0.011319,"629,976,878",0.011456,"7,932,190"
0.011481,"Oct 13, 2018",0.011674,0.011400,"636,675,810",0.011542,"6,564,870"
0.011562,"Oct 12, 2018",0.011730,0.011059,"641,167,644",0.011154,"9,936,260"
0.011229,"Oct 11, 2018",0.013302,0.011153,"622,717,853",0.013245,"16,074,400"
0.013281,"Oct 10, 2018",0.013639,0.013083,"736,516,515",0.013566,"11,145,500"
0.013595,"Oct 09, 2018",0.013758,0.013390,"753,912,665",0.013681,"8,453,330"
0.013666,"Oct 08, 2018",0.013851,0.012992,"757,827,769",0.013094,"10,593,600"
0.013076,"Oct 07, 2018",0.013111,0.012874,"725,131,658",0.013016,"4,508,570"
0.012996,"Oct 06, 2018",0.013229,0.012933,"720,673,097",0.013122,"4,673,320"
0.013110,"Oct 05, 2018",0.013213,0.012779,"727,000,482",0.012834,"7,337,180"
0.012826,"Oct 04, 2018",0.012953,0.012749,"711,240,247",0.012768,"10,516,100"
0.012764,"Oct 03, 2018",0.012982,0.012618,"707,851,962",0.012946,"12,731,200"
0.012994,"Oct 02, 2018",0.013353,0.012786,"720,562,188",0.012805,"17,676,800"
0.012804,"Oct 01, 2018",0.013100,0.012672,"710,042,424",0.012888,"12,615,600"
0.012891,"Sep 30, 2018",0.013119,0.012708,"714,883,623",0.013073,"14,573,700"
0.013052,"Sep 29, 2018",0.013098,0.012715,"723,795,199",0.013049,"14,815,500"
0.013047,"Sep 28, 2018",0.013594,0.012994,"723,512,379",0.013086,"15,868,800"
0.013078,"Sep 27, 2018",0.013197,0.012436,"725,259,204",0.012531,"17,120,600"
0.012554,"Sep 26, 2018",0.012939,0.012396,"696,162,104",0.012788,"16,953,400"
0.012803,"Sep 25, 2018",0.013123,0.012171,"709,981,424",0.013123,"19,622,300"
0.013123,"Sep 24, 2018",0.013990,0.012918,"727,754,667",0.013912,"18,296,700"
0.013945,"Sep 23, 2018",0.014086,0.013616,"773,321,822",0.013740,"11,897,700"
0.013666,"Sep 22, 2018",0.014583,0.013459,"757,866,588",0.014388,"14,838,600"
0.014389,"Sep 21, 2018",0.014614,0.013469,"797,965,906",0.013702,"36,111,400"
0.013630,"Sep 20, 2018",0.013687,0.012933,"755,864,672",0.013008,"18,295,500"
0.013005,"Sep 19, 2018",0.013254,0.012500,"721,199,917",0.012991,"17,267,900"
0.012956,"Sep 18, 2018",0.013238,0.012415,"718,454,908",0.012732,"16,694,600"
