close,date,high,low,marketcap,open,volume
112.92,"Oct 15, 2018",118.40,107.54,"566,970,915",109.16,"139,572,000"
108.54,"Oct 14, 2018",113.11,108.54,"544,214,281",112.03,"100,116,000"
111.57,"Oct 13, 2018",112.92,110.01,"558,645,314",110.49,"109,809,000"
109.02,"Oct 12, 2018",112.12,107.93,"545,078,886",109.06,"115,512,000"
110.04,"Oct 11, 2018",124.03,109.91,"549,345,127",123.54,"93,696,300"
123.66,"Oct 10, 2018",126.60,123.42,"616,509,945",125.99,"175,638,000"
126.11,"Oct 09, 2018",129.40,125.68,"627,822,332",126.27,"188,448,000"
126.50,"Oct 08, 2018",127.90,124.07,"628,843,359",125.34,"159,355,000"
125.46,"Oct 07, 2018",127.50,123.76,"622,768,282",125.33,"141,094,000"
125.81,"Oct 06, 2018",129.49,124.63,"623,606,359",127.89,"147,108,000"
127.72,"Oct 05, 2018",130.91,124.07,"632,182,072",124.22,"147,203,000"
124.03,"Oct 04, 2018",126.32,121.58,"613,013,431",122.36,"169,554,000"
122.06,"Oct 03, 2018",127.72,119.89,"602,403,839",127.05,"133,461,000"
126.83,"Oct 02, 2018",128.94,125.71,"625,038,401",127.09,"133,792,000"
127.38,"Oct 01, 2018",133.90,126.37,"626,834,736",131.89,"151,058,000"
131.99,"Sep 30, 2018",134.56,129.03,"648,584,729",133.87,"151,008,000"
133.51,"Sep 29, 2018",136.32,131.83,"655,077,863",136.32,"143,884,000"
136.35,"Sep 28, 2018",145.04,134.18,"668,053,640",143.01,"165,087,000"
143.35,"Sep 27, 2018",144.96,132.55,"701,336,562",133.12,"134,801,000"
133.04,"Sep 26, 2018",141.79,128.63,"649,911,210",136.18,"127,405,000"
133.87,"Sep 25, 2018",138.01,126.61,"653,003,921",137.25,"111,247,000"
137.66,"Sep 24, 2018",144.32,125.40,"670,487,102",131.36,"154,700,000"
130.90,"Sep 23, 2018",134.00,122.31,"636,641,285",124.01,"124,136,000"
123.39,"Sep 22, 2018",128.37,121.09,"599,249,392",126.81,"99,206,300"
125.43,"Sep 21, 2018",128.70,116.85,"608,239,221",119.20,"127,960,000"
119.65,"Sep 20, 2018",119.99,111.80,"579,352,030",114.24,"107,159,000"
113.64,"Sep 19, 2018",115.52,110.08,"549,419,706",111.97,"91,429,500"
112.12,"Sep 18, 2018",114.60,107.17,"541,267,942",109.94,"104,004,000"
109.87,"Sep 17, 2018",120.84,107.26,"529,623,501",118.41,"95,085,800"
118.08,"Sep 16, 2018",121.55,115.79,"568,319,328",120.60,"94,970,600"
119.94,"Sep 15, 2018",124.64,117.71,"576,440,768",119.81,"96,134,200"
117.74,"Sep 14, 2018",123.49,114.19,"565,025,398",117.37,"96,404,100"
118.83,"Sep 13, 2018",119.95,110.69,"569,415,464",110.69,"101,930,000"
110.42,"Sep 12, 2018",113.36,101.86,"528,332,693",113.12,"96,953,500"
113.15,"Sep 11, 2018",120.38,110.17,"540,565,466",120.05,"92,611,300"
118.92,"Sep 10, 2018",122.68,116.86,"567,255,022",118.58,"95,923,500"
119.51,"Sep 09, 2018",126.36,118.51,"569,222,763",122.17,"95,415,600"
121.91,"Sep 08, 2018",133.89,121.53,"579,770,275",126.64,"87,398,300"
126.90,"Sep 07, 2018",133.68,126.24,"602,594,961",131.52,"93,275,100"
131.60,"Sep 06, 2018",133.40,124.47,"623,979,126",133.40,"108,919,000"
133.62,"Sep 05, 2018",159.24,133.62,"632,595,213",155.49,"136,070,000"
156.45,"Sep 04, 2018",159.38,154.31,"739,561,963",155.94,"116,901,000"
155.80,"Sep 03, 2018",159.71,149.66,"735,400,871",155.38,"108,822,000"
155.68,"Sep 02, 2018",159.06,151.30,"733,689,160",158.67,"119,554,000"
158.06,"Sep 01, 2018",160.28,149.22,"743,767,837",149.22,"144,187,000"
150.36,"Aug 31, 2018",152.35,143.82,"706,472,099",152.35,"115,392,000"
151.74,"Aug 30, 2018",154.34,145.39,"711,875,679",153.11,"114,991,000"
153.60,"Aug 29, 2018",155.81,149.12,"719,503,217",154.07,"85,594,300"
154.73,"Aug 28, 2018",156.57,146.05,"723,686,399",149.39,"102,112,000"
149.78,"Aug 27, 2018",151.13,134.71,"699,444,527",136.79,"137,472,000"
136.33,"Aug 26, 2018",139.93,135.24,"635,655,264",139.39,"124,786,000"
139.22,"Aug 25, 2018",143.11,136.31,"648,116,347",140.96,"95,632,300"
140.72,"Aug 24, 2018",142.89,130.63,"654,117,193",131.87,"109,149,000"
133.65,"Aug 23, 2018",135.60,126.83,"620,309,468",131.36,"93,644,000"
132.00,"Aug 22, 2018",144.25,125.39,"611,663,689",135.15,"84,143,200"
135.90,"Aug 21, 2018",138.64,126.93,"628,807,512",129.99,"71,913,500"
129.34,"Aug 20, 2018",146.02,129.34,"597,506,109",143.71,"91,939,300"
143.98,"Aug 19, 2018",146.43,137.97,"664,092,226",143.96,"93,628,600"
143.69,"Aug 18, 2018",155.15,139.09,"661,751,054",154.08,"72,459,600"
154.66,"Aug 17, 2018",154.66,139.63,"711,126,653",141.59,"90,914,200"
141.80,"Aug 16, 2018",143.81,135.24,"651,007,824",136.56,"82,493,200"
136.83,"Aug 15, 2018",145.65,131.40,"627,208,503",133.52,"84,434,000"
132.02,"Aug 14, 2018",144.40,126.39,"604,214,361",144.18,"110,542,000"
143.46,"Aug 13, 2018",162.55,143.46,"655,550,678",156.99,"100,641,000"
157.79,"Aug 12, 2018",163.56,156.11,"719,913,179",157.74,"98,623,700"
158.71,"Aug 11, 2018",163.32,153.34,"722,949,657",161.19,"92,390,800"
160.51,"Aug 10, 2018",177.07,159.46,"729,968,247",176.13,"97,636,500"
175.98,"Aug 09, 2018",178.46,159.24,"799,104,565",162.36,"99,718,400"
161.18,"Aug 08, 2018",177.49,159.18,"730,720,609",177.49,"112,907,000"
177.17,"Aug 07, 2018",193.03,176.86,"801,967,659",182.03,"123,897,000"
182.91,"Aug 06, 2018",189.24,178.60,"826,599,137",180.97,"117,804,000"
181.33,"Aug 05, 2018",181.33,172.00,"818,209,692",176.54,"93,770,600"
176.05,"Aug 04, 2018",189.41,174.66,"793,086,234",186.09,"92,356,800"
185.85,"Aug 03, 2018",187.79,178.56,"835,931,082",187.04,"122,098,000"
187.18,"Aug 02, 2018",202.20,185.89,"840,577,415",198.42,"122,037,000"
198.33,"Aug 01, 2018",209.32,193.93,"889,244,124",208.20,"151,024,000"
209.57,"Jul 31, 2018",215.45,196.47,"938,117,075",213.55,"144,526,000"
216.29,"Jul 30, 2018",218.93,202.49,"966,622,163",217.41,"157,531,000"
217.20,"Jul 29, 2018",224.51,214.24,"969,156,682",220.03,"152,800,992"
220.30,"Jul 28, 2018",223.76,214.58,"981,384,503",220.66,"127,041,000"
221.03,"Jul 27, 2018",224.55,212.12,"983,052,253",220.54,"118,509,000"
221.12,"Jul 26, 2018",231.60,217.92,"981,865,893",226.18,"123,371,000"
222.54,"Jul 25, 2018",226.72,209.79,"986,605,185",222.58,"114,760,000"
223.29,"Jul 24, 2018",223.65,191.81,"988,341,549",193.92,"168,768,000"
193.84,"Jul 23, 2018",205.42,190.32,"856,616,517",192.34,"93,810,304"
192.70,"Jul 22, 2018",203.27,186.49,"850,192,388",191.78,"46,066,100"
194.94,"Jul 21, 2018",198.76,179.32,"858,668,618",184.45,"39,662,800"
184.37,"Jul 20, 2018",200.15,180.01,"810,764,465",200.05,"58,021,000"
199.66,"Jul 19, 2018",212.32,198.47,"876,594,797",209.37,"101,966,000"
209.34,"Jul 18, 2018",225.26,201.83,"917,582,947",212.22,"108,763,000"
210.43,"Jul 17, 2018",213.67,181.87,"920,875,397",191.09,"102,171,000"
190.65,"Jul 16, 2018",191.60,170.15,"832,900,600",175.15,"64,024,200"
178.09,"Jul 15, 2018",182.10,172.19,"776,754,186",174.02,"51,919,300"
174.53,"Jul 14, 2018",178.37,170.39,"760,000,685",175.37,"65,835,000"
175.59,"Jul 13, 2018",185.12,155.10,"763,371,911",155.10,"87,204,000"
155.54,"Jul 12, 2018",160.06,152.20,"675,084,812",159.20,"42,486,300"
160.29,"Jul 11, 2018",164.76,157.25,"694,542,882",161.46,"41,382,400"
161.10,"Jul 10, 2018",170.15,158.97,"696,852,259",167.30,"55,215,300"
167.57,"Jul 09, 2018",176.95,167.57,"723,670,685",172.41,"40,715,700"
172.73,"Jul 08, 2018",181.18,172.34,"744,696,267",177.41,"36,348,200"
177.39,"Jul 07, 2018",179.18,168.89,"763,551,451",175.19,"41,225,500"
176.34,"Jul 06, 2018",179.18,166.09,"757,767,146",177.24,"49,916,100"
177.03,"Jul 05, 2018",188.21,174.25,"759,459,671",183.14,"43,696,600"
182.38,"Jul 04, 2018",187.31,176.23,"781,113,609",180.10,"42,678,600"
179.05,"Jul 03, 2018",191.87,178.95,"765,588,821",182.63,"44,685,100"
184.09,"Jul 02, 2018",185.34,163.48,"785,783,080",165.21,"51,703,800"
167.62,"Jul 01, 2018",171.64,161.09,"714,294,536",169.39,"41,191,400"
163.99,"Jun 30, 2018",173.49,158.72,"697,640,361",163.71,"41,442,600"
163.28,"Jun 29, 2018",165.08,148.13,"693,415,989",154.21,"37,554,300"
154.10,"Jun 28, 2018",166.24,149.01,"653,359,911",166.24,"31,601,200"
166.13,"Jun 27, 2018",167.01,156.68,"703,160,720",163.22,"37,729,200"
163.20,"Jun 26, 2018",177.26,163.20,"689,606,263",176.92,"43,075,600"
176.02,"Jun 25, 2018",179.25,164.55,"742,520,757",167.06,"49,277,800"
167.51,"Jun 24, 2018",171.63,156.68,"705,412,854",171.63,"40,595,500"
171.02,"Jun 23, 2018",172.72,166.20,"718,988,031",168.34,"40,087,600"
168.79,"Jun 22, 2018",193.47,163.54,"708,391,609",191.70,"48,782,000"
192.73,"Jun 21, 2018",197.42,189.12,"807,501,359",193.76,"43,987,900"
193.68,"Jun 20, 2018",199.48,191.33,"810,092,463",199.29,"46,208,400"
198.23,"Jun 19, 2018",200.39,194.09,"827,685,045",200.33,"45,700,900"
198.54,"Jun 18, 2018",202.65,186.62,"827,559,933",191.26,"58,180,400"
191.45,"Jun 17, 2018",196.68,189.21,"796,605,609",194.85,"48,691,500"
193.44,"Jun 16, 2018",197.16,188.21,"803,524,742",195.37,"49,141,200"
194.60,"Jun 15, 2018",201.75,191.72,"806,941,739",199.38,"55,652,200"
199.57,"Jun 14, 2018",202.26,183.55,"826,149,499",184.94,"66,378,500"
185.28,"Jun 13, 2018",201.68,178.68,"765,653,047",197.85,"55,781,200"
195.76,"Jun 12, 2018",214.74,194.57,"807,545,341",202.19,"61,372,400"
206.48,"Jun 11, 2018",207.55,195.54,"850,267,371",203.91,"58,327,500"
203.68,"Jun 10, 2018",231.69,201.80,"836,388,719",231.69,"61,739,600"
232.67,"Jun 09, 2018",245.24,232.67,"954,818,058",244.74,"54,753,100"
239.37,"Jun 08, 2018",247.86,231.68,"980,014,875",239.32,"53,682,300"
237.30,"Jun 07, 2018",242.12,233.05,"970,399,026",236.17,"55,284,400"
236.05,"Jun 06, 2018",240.34,229.21,"963,580,049",239.76,"56,887,000"
239.53,"Jun 05, 2018",241.29,228.91,"976,085,415",236.32,"52,339,700"
236.48,"Jun 04, 2018",255.96,233.59,"961,942,998",254.10,"66,867,600"
253.38,"Jun 03, 2018",262.55,247.86,"1,028,848,800",249.27,"69,116,304"
250.61,"Jun 02, 2018",258.12,238.06,"1,015,834,829",240.82,"75,534,304"
240.86,"Jun 01, 2018",247.34,234.96,"974,574,223",242.59,"65,648,000"
245.67,"May 31, 2018",256.31,238.26,"992,308,562",244.55,"61,591,600"
251.18,"May 30, 2018",260.73,238.43,"1,012,683,548",253.63,"53,620,800"
247.92,"May 29, 2018",257.66,223.01,"997,789,075",229.26,"71,846,000"
228.76,"May 28, 2018",269.14,221.23,"919,093,956",263.15,"77,346,896"
261.35,"May 27, 2018",276.86,258.29,"1,048,116,407",274.98,"57,269,700"
277.19,"May 26, 2018",286.96,270.21,"1,109,645,276",283.35,"62,077,600"
286.23,"May 25, 2018",298.56,275.80,"1,143,815,807",298.02,"68,341,504"
294.98,"May 24, 2018",300.79,272.58,"1,176,633,118",287.23,"106,695,000"
288.73,"May 23, 2018",333.03,282.01,"1,149,680,237",314.28,"142,578,000"
314.88,"May 22, 2018",346.87,312.15,"1,251,520,196",330.26,"142,211,008"
329.47,"May 21, 2018",352.65,326.83,"1,307,174,284",351.86,"89,672,200"
352.18,"May 20, 2018",357.94,340.05,"1,394,800,077",344.86,"125,868,000"
345.20,"May 19, 2018",377.70,343.38,"1,364,622,717",359.33,"154,256,992"
358.81,"May 18, 2018",365.69,306.07,"1,415,922,653",315.68,"235,260,992"
315.93,"May 17, 2018",368.85,312.57,"1,244,454,143",367.95,"134,332,992"
366.85,"May 16, 2018",378.63,327.66,"1,442,345,130",354.39,"298,528,992"
355.47,"May 15, 2018",386.40,310.90,"1,394,786,521",312.24,"419,545,984"
312.02,"May 14, 2018",349.56,246.85,"1,222,305,129",261.08,"293,688,000"
260.84,"May 13, 2018",263.03,243.79,"1,019,932,977",245.58,"28,585,200"
245.65,"May 12, 2018",253.05,230.34,"958,772,394",238.67,"38,966,000"
238.83,"May 11, 2018",263.64,238.22,"930,425,540",263.64,"58,885,700"
264.11,"May 10, 2018",287.70,264.11,"1,027,058,826",276.50,"54,034,000"
275.95,"May 09, 2018",277.25,265.85,"1,071,169,349",275.35,"49,023,000"
275.21,"May 08, 2018",290.59,273.13,"1,066,262,018",281.35,"53,964,300"
281.35,"May 07, 2018",292.14,272.53,"1,088,062,396",291.44,"58,105,400"
291.23,"May 06, 2018",310.04,288.32,"1,124,219,886",306.64,"59,462,900"
306.30,"May 05, 2018",309.66,296.74,"1,180,160,475",296.74,"61,409,500"
296.93,"May 04, 2018",308.75,294.53,"1,141,916,289",308.75,"61,999,900"
308.42,"May 03, 2018",311.51,291.97,"1,183,937,686",292.92,"77,706,896"
293.37,"May 02, 2018",294.82,285.77,"1,124,067,489",290.28,"60,618,000"
290.49,"May 01, 2018",290.49,271.51,"1,110,944,896",285.43,"66,730,800"
285.14,"Apr 30, 2018",296.53,284.17,"1,088,460,840",293.48,"67,256,896"
293.76,"Apr 29, 2018",302.51,285.01,"1,119,260,622",296.57,"63,386,900"
296.62,"Apr 28, 2018",298.50,282.63,"1,128,002,840",282.63,"55,599,300"
283.37,"Apr 27, 2018",303.44,281.53,"1,075,595,603",303.44,"61,549,400"
302.85,"Apr 26, 2018",302.85,274.74,"1,147,379,409",284.48,"67,863,400"
283.60,"Apr 25, 2018",318.40,267.55,"1,072,410,121",318.40,"86,984,896"
319.66,"Apr 24, 2018",327.48,298.18,"1,206,498,289",298.18,"99,571,800"
297.63,"Apr 23, 2018",297.69,270.27,"1,121,196,159",272.27,"79,506,600"
272.32,"Apr 22, 2018",280.59,264.67,"1,023,928,306",270.17,"61,057,600"
270.64,"Apr 21, 2018",282.50,256.38,"1,015,670,002",281.80,"65,454,300"
281.98,"Apr 20, 2018",285.38,256.07,"1,056,178,338",263.13,"80,577,504"
263.86,"Apr 19, 2018",264.54,241.14,"986,445,117",247.96,"70,313,696"
247.88,"Apr 18, 2018",248.78,221.88,"924,919,925",221.88,"72,614,496"
221.93,"Apr 17, 2018",227.99,220.57,"826,508,571",225.56,"50,375,200"
225.46,"Apr 16, 2018",234.29,218.73,"838,023,159",232.43,"50,850,200"
232.18,"Apr 15, 2018",234.44,222.65,"861,317,982",222.65,"50,127,300"
222.04,"Apr 14, 2018",238.36,219.68,"822,102,628",228.35,"53,766,200"
228.14,"Apr 13, 2018",242.00,212.34,"843,069,459",216.31,"71,798,000"
216.41,"Apr 12, 2018",217.01,183.67,"798,199,387",185.40,"63,825,600"
184.78,"Apr 11, 2018",184.78,179.38,"680,191,132",179.94,"41,436,000"
179.72,"Apr 10, 2018",180.77,174.97,"660,281,779",177.75,"33,315,100"
177.41,"Apr 09, 2018",188.64,174.99,"650,537,823",184.22,"33,855,700"
183.90,"Apr 08, 2018",185.30,180.50,"673,017,681",181.70,"28,660,200"
181.81,"Apr 07, 2018",184.66,174.85,"664,053,476",175.39,"34,326,500"
175.63,"Apr 06, 2018",184.78,174.49,"640,242,659",183.41,"32,598,900"
184.61,"Apr 05, 2018",186.71,178.76,"671,641,626",183.49,"36,531,300"
183.40,"Apr 04, 2018",206.23,182.04,"665,960,749",206.06,"38,157,200"
206.18,"Apr 03, 2018",208.67,193.32,"747,176,507",194.07,"48,698,900"
193.89,"Apr 02, 2018",200.96,181.81,"701,255,293",183.07,"44,433,600"
182.48,"Apr 01, 2018",191.78,174.96,"658,662,324",185.63,"44,314,700"
185.54,"Mar 31, 2018",197.44,185.54,"668,365,486",189.87,"46,055,900"
189.89,"Mar 30, 2018",197.66,183.45,"682,695,006",186.37,"44,308,900"
186.83,"Mar 29, 2018",211.48,185.98,"670,363,385",210.91,"55,324,500"
210.86,"Mar 28, 2018",220.65,209.44,"755,099,085",216.23,"65,786,200"
216.35,"Mar 27, 2018",229.55,210.17,"773,188,443",225.95,"46,729,300"
225.35,"Mar 26, 2018",240.99,213.39,"803,739,602",238.86,"52,425,700"
239.36,"Mar 25, 2018",243.50,237.17,"851,991,448",240.83,"41,414,800"
243.33,"Mar 24, 2018",259.43,242.50,"864,384,722",259.43,"44,876,000"
256.87,"Mar 23, 2018",256.87,231.01,"910,630,105",249.54,"49,636,800"
249.26,"Mar 22, 2018",268.57,239.20,"881,883,860",260.55,"49,773,700"
260.07,"Mar 21, 2018",280.69,254.88,"918,259,472",259.76,"69,577,104"
259.24,"Mar 20, 2018",267.10,237.73,"913,478,561",255.75,"54,027,600"
252.62,"Mar 19, 2018",252.62,228.66,"888,316,987",244.59,"58,323,800"
244.38,"Mar 18, 2018",247.40,204.01,"857,623,044",220.19,"59,834,200"
220.48,"Mar 17, 2018",236.82,219.43,"772,174,185",236.82,"41,086,300"
236.75,"Mar 16, 2018",247.62,233.75,"827,466,940",243.08,"43,510,900"
242.99,"Mar 15, 2018",253.67,233.76,"847,526,790",250.25,"45,521,300"
250.68,"Mar 14, 2018",289.24,246.13,"872,567,113",284.55,"52,691,100"
284.37,"Mar 13, 2018",301.77,279.99,"792,625,793",290.44,"46,337,600"
291.69,"Mar 12, 2018",314.98,280.21,"1,011,083,943",308.76,"51,763,700"
309.70,"Mar 11, 2018",318.36,278.95,"1,071,332,073",287.68,"55,436,800"
288.51,"Mar 10, 2018",318.73,286.84,"995,953,212",310.89,"51,613,200"
310.95,"Mar 09, 2018",320.25,282.48,"1,071,214,358",316.96,"75,390,496"
318.39,"Mar 08, 2018",350.47,315.54,"1,094,564,216",347.68,"57,779,600"
347.58,"Mar 07, 2018",387.00,332.48,"1,192,398,000",384.21,"59,469,300"
384.43,"Mar 06, 2018",392.39,376.93,"1,316,124,576",392.39,"57,546,200"
391.87,"Mar 05, 2018",409.77,391.87,"1,338,813,544",408.78,"57,656,400"
409.29,"Mar 04, 2018",409.29,384.10,"1,395,362,551",386.92,"63,635,000"
387.67,"Mar 03, 2018",406.22,382.61,"1,318,855,249",387.02,"61,064,800"
387.84,"Mar 02, 2018",402.19,375.42,"1,316,684,324",399.43,"54,698,000"
400.28,"Mar 01, 2018",402.42,381.24,"1,356,022,667",382.62,"44,341,900"
382.03,"Feb 28, 2018",416.71,382.03,"1,291,484,046",408.52,"53,379,100"
408.97,"Feb 27, 2018",418.40,400.20,"1,379,593,124",405.05,"44,954,300"
404.24,"Feb 26, 2018",414.70,384.44,"1,360,738,376",391.65,"56,278,600"
391.25,"Feb 25, 2018",396.78,382.17,"1,314,204,477",391.60,"50,147,900"
392.28,"Feb 24, 2018",423.30,379.90,"1,314,859,715",415.35,"57,684,200"
416.32,"Feb 23, 2018",424.32,382.68,"1,392,457,324",396.84,"65,084,700"
397.79,"Feb 22, 2018",449.35,396.53,"1,327,598,412",441.61,"70,323,104"
434.80,"Feb 21, 2018",463.42,418.26,"1,447,998,748",438.75,"98,094,200"
438.57,"Feb 20, 2018",482.53,436.72,"1,457,439,790",474.24,"92,509,400"
472.97,"Feb 19, 2018",486.84,447.04,"1,568,399,161",449.52,"89,904,704"
451.02,"Feb 18, 2018",492.31,447.43,"1,492,361,326",491.61,"75,407,696"
490.84,"Feb 17, 2018",495.78,475.58,"1,620,646,309",480.43,"89,428,000"
481.52,"Feb 16, 2018",495.66,465.98,"1,586,394,726",484.19,"81,125,600"
486.75,"Feb 15, 2018",489.54,465.38,"1,600,111,283",483.83,"91,880,096"
483.79,"Feb 14, 2018",485.37,445.52,"1,586,955,684",445.52,"95,177,000"
447.13,"Feb 13, 2018",463.24,432.72,"1,463,443,474",462.04,"69,848,496"
462.24,"Feb 12, 2018",472.46,436.66,"1,509,672,951",436.66,"73,819,904"
434.16,"Feb 11, 2018",482.73,412.92,"1,414,820,523",482.73,"87,156,000"
483.42,"Feb 10, 2018",511.75,460.09,"1,571,851,985",475.10,"124,973,000"
475.72,"Feb 09, 2018",476.12,401.43,"1,543,426,239",437.10,"109,467,000"
435.91,"Feb 08, 2018",437.83,355.69,"1,411,132,627",355.69,"113,216,000"
354.35,"Feb 07, 2018",391.05,327.84,"1,144,547,454",368.75,"95,854,600"
372.39,"Feb 06, 2018",375.39,262.30,"1,200,120,051",307.35,"140,867,008"
303.61,"Feb 05, 2018",349.36,281.14,"976,304,496",343.02,"56,414,800"
346.91,"Feb 04, 2018",404.10,333.99,"1,113,038,965",388.73,"45,202,600"
388.55,"Feb 03, 2018",405.03,345.66,"1,243,840,168",384.51,"53,483,300"
383.55,"Feb 02, 2018",398.83,306.53,"1,225,128,218",398.83,"113,633,000"
400.74,"Feb 01, 2018",409.40,367.09,"1,276,198,644",399.26,"117,572,000"
397.88,"Jan 31, 2018",398.27,362.60,"1,265,177,723",383.86,"77,064,800"
383.47,"Jan 30, 2018",448.92,381.45,"1,216,650,357",448.92,"77,962,096"
448.61,"Jan 29, 2018",476.64,443.14,"1,420,076,763",471.43,"75,045,800"
471.99,"Jan 28, 2018",476.91,453.47,"1,490,750,290",453.47,"74,527,600"
451.69,"Jan 27, 2018",465.78,437.08,"1,423,358,371",456.53,"71,220,400"
456.94,"Jan 26, 2018",491.47,429.65,"1,436,651,927",473.68,"87,992,704"
472.97,"Jan 25, 2018",475.46,451.97,"1,483,606,926",457.58,"85,020,800"
451.73,"Jan 24, 2018",465.27,428.28,"1,413,750,842",442.12,"78,432,400"
442.00,"Jan 23, 2018",468.72,406.75,"1,380,137,432",446.40,"79,187,400"
446.79,"Jan 22, 2018",507.23,416.30,"1,391,871,570",492.55,"78,727,104"
487.02,"Jan 21, 2018",561.81,479.30,"1,513,770,655",559.72,"94,691,696"
557.60,"Jan 20, 2018",565.23,518.56,"1,729,187,684",528.86,"126,555,000"
524.34,"Jan 19, 2018",553.12,482.91,"1,622,223,305",486.59,"163,175,008"
490.08,"Jan 18, 2018",540.89,484.21,"1,512,766,763",497.68,"128,385,000"
496.82,"Jan 17, 2018",528.83,397.98,"1,530,000,738",509.27,"171,892,000"
513.66,"Jan 16, 2018",685.68,460.10,"1,578,137,018",627.14,"283,879,008"
627.99,"Jan 15, 2018",685.82,627.99,"1,924,931,134",671.73,"157,346,000"
