close,date,high,low,marketcap,open,volume
0.034317,"Oct 15, 2018",0.035080,0.032055,"267,010,871",0.032686,"11,186,400"
0.032719,"Oct 14, 2018",0.034278,0.032632,"254,582,659",0.032878,"7,010,930"
0.032902,"Oct 13, 2018",0.034081,0.032117,"256,001,870",0.032117,"3,035,740"
0.032146,"Oct 12, 2018",0.033522,0.030461,"250,121,948",0.031548,"6,906,800"
0.031725,"Oct 11, 2018",0.037553,0.031496,"246,841,579",0.037553,"15,390,000"
0.037687,"Oct 10, 2018",0.038148,0.036484,"293,237,487",0.037925,"9,949,920"
0.038000,"Oct 09, 2018",0.038472,0.036536,"295,670,532",0.036797,"12,579,700"
0.036711,"Oct 08, 2018",0.037351,0.035834,"285,637,238",0.036491,"7,462,450"
0.036550,"Oct 07, 2018",0.036583,0.035562,"284,386,092",0.036350,"2,934,400"
0.036296,"Oct 06, 2018",0.036848,0.035596,"282,409,778",0.036489,"4,052,620"
0.036513,"Oct 05, 2018",0.037298,0.035568,"284,096,648",0.036922,"7,754,040"
0.036905,"Oct 04, 2018",0.038385,0.036453,"287,137,480",0.037647,"9,547,460"
0.037581,"Oct 03, 2018",0.038145,0.036224,"292,397,107",0.038145,"8,977,690"
0.038465,"Oct 02, 2018",0.039882,0.036697,"299,281,304",0.036795,"22,098,600"
0.036701,"Oct 01, 2018",0.036956,0.035185,"285,549,646",0.035595,"9,628,080"
0.035640,"Sep 30, 2018",0.035764,0.034715,"277,293,142",0.035187,"5,036,020"
0.035294,"Sep 29, 2018",0.035339,0.034235,"274,598,029",0.035245,"3,873,950"
0.035206,"Sep 28, 2018",0.035895,0.034418,"273,912,581",0.035489,"5,098,750"
0.035233,"Sep 27, 2018",0.035709,0.033334,"274,128,096",0.034488,"6,343,890"
0.034531,"Sep 26, 2018",0.035169,0.033749,"268,660,846",0.034101,"7,724,790"
0.033945,"Sep 25, 2018",0.035318,0.032716,"264,106,231",0.035318,"6,903,100"
0.035453,"Sep 24, 2018",0.037480,0.034557,"275,840,551",0.036119,"10,260,500"
0.036103,"Sep 23, 2018",0.036762,0.035157,"280,896,999",0.035520,"6,562,310"
0.035207,"Sep 22, 2018",0.037574,0.034202,"273,925,807",0.037090,"8,842,900"
0.037118,"Sep 21, 2018",0.037314,0.034286,"288,794,829",0.034595,"17,252,200"
0.034636,"Sep 20, 2018",0.034795,0.032587,"269,480,117",0.033031,"7,820,940"
0.032863,"Sep 19, 2018",0.033357,0.031800,"255,689,451",0.033357,"5,356,440"
0.032938,"Sep 18, 2018",0.033588,0.031092,"256,271,421",0.031473,"8,799,620"
0.031683,"Sep 17, 2018",0.034715,0.031296,"246,502,416",0.034494,"7,349,180"
0.034476,"Sep 16, 2018",0.034553,0.032825,"268,232,149",0.034057,"4,246,970"
0.033854,"Sep 15, 2018",0.034621,0.033199,"263,397,441",0.033532,"4,312,200"
0.033611,"Sep 14, 2018",0.035223,0.032578,"261,506,038",0.034567,"9,675,520"
0.034370,"Sep 13, 2018",0.035110,0.032253,"267,411,322",0.032253,"9,510,640"
0.032459,"Sep 12, 2018",0.033496,0.030310,"252,542,300",0.033363,"8,085,140"
0.033339,"Sep 11, 2018",0.035281,0.032523,"259,387,450",0.034616,"7,720,050"
0.034523,"Sep 10, 2018",0.035789,0.033853,"268,598,523",0.035539,"4,618,350"
0.035135,"Sep 09, 2018",0.036641,0.033604,"273,357,691",0.035800,"9,182,060"
