,Berufsgruppen,Berufe,Total Lernende,Anzahl Lernende mit LVA,LVA-Quote
,,,60’458,12’508,20.7
211,Audiovisuelle Techniken und Medienproduktion,,938,218,23.2
,,Flexodrucker/in EFZ,9,*,*
,,Printmedienpraktiker/in EBA,36,6,16.7
,,Printmedienverarbeiter/in EFZ,43,17,39.5
,,Drucktechnologe/-technologin EFZ,135,33,24.4
,,Fotofachmann/-frau EFZ,90,18,20
,,Polygraf/in EFZ,199,30,15.1
,,Interactive Media Designer EFZ,1,*,*
,,Mediamatiker/in EFZ,281,84,29.9
,,Veranstaltungsfachmann/-frau EFZ,35,7,20
,,Fotograf/in EFZ,9,*,*
,,Grafiker/in EFZ,100,18,18
212,"Mode, Innenarchitektur und industrielles Design",,281,44,15.7
,,Innendekorateur/in,40,10,25
,,Wohntextilgestalter/in EFZ,18,*,*
,,Theatermaler/in EFZ,2,*,*
,,Gestalter/in Werbetechnik EFZ,133,25,18.8
,,Polydesigner/in 3D EFZ,88,6,6.8
214,Kunsthandwerk,,313,76,24.3
,,Florist/in EFZ,245,58,23.7
,,Florist/in EBA,12,*,*
,,Gewebegestalter/in EFZ,2,*,*
,,Vergolder/in-Einrahmer/in EFZ,4,*,*
,,Glasmaler/in EFZ,1,*,*
,,Keramiker/in EFZ,3,*,*
,,Steinbildhauer/in EFZ,8,*,*
,,Goldschmied/in EFZ,26,*,*
,,Musikinstrumentenbauer/in EFZ,8,*,*
,,Geigenbauer/in EFZ,3,*,*
,,Holzbildhauer/in EFZ,1,*,*
215,Musik und darstellende Kunst,,5,*,*
,,Bühnentänzer/in EFZ,5,*,*
322,"Bibliothek, Informationswesen, Archiv",,74,7,9.5
,,Fachmann/-frau Information und Dokumentation EFZ,74,7,9.5
410,Wirtschaft und Verwaltung nicht näher definiert,,10’267,1’276,12.4
,,Kaufmann/-frau EFZ E,9’470,1’068,11.3
,,Kaufmann/-frau EFZ B,797,208,26.1
415,Sekretariats- und Büroarbeit,,388,81,20.9
,,Büroassistent/in EBA,388,81,20.9
416,Gross- und Einzelhandel,,8’259,1’769,21.4
,,Detailhandelsassistent/in EBA,1’033,226,21.9
,,Detailhandelsfachmann/-frau EFZ,4’593,1’094,23.8
,,Drogist/in EFZ,240,32,13.3
,,Pharma-Assistent/in EFZ,832,160,19.2
,,Buchhändler/in EFZ,67,7,10.4
,,Fachmann/-frau Kundendialog EFZ,35,5,14.3
,,Logistiker/in EFZ,1’222,202,16.5
,,Logistiker/in EBA,237,43,18.1
612,"Datenbanken, Netzwerkdesign und -administration",,63,9,14.3
,,Informatikpraktiker/in EBA,63,9,14.3
613,Software- und Applikationsentwicklung und -analyse,,1’479,311,21
,,Informatiker/in EFZ,1’479,311,21
711,Chemie und Verfahrenstechnik,,499,66,13.2
,,Chemie- und Pharmatechnologe/-technologin EFZ,80,18,22.5
,,Industriekeramiker/in EFZ,3,*,*
,,Laborant/in EFZ,384,44,11.5
