Berufliche Grundbildung: Lehrvertragsauflösung,,,,,,
Eintrittskohorte 2012: Bildungsverläufe bis 31.12.2016,,,,,,
zurück zum Inhalt,,,,,,
,,,,,,
,,,,,,
"Tabelle 3: LVA-Quote, vertrags- und personenbezogen nach Standardausbildungsdauer und Geschlecht",,,,,,
Standardausbildungsdauer,Geschlecht,Total Lernende,Anzahl LVA insgesamt,Vertragsbezogene LVA-Quote,Anzahl Lernende mit mindestens einer LVA,Personenbezogene LVA-Quote
Gesamte Eintrittskohorte,Total,60’458,15’007,24.8,12’508,20.7
,Männer,33’488,9’337,27.9,7’692,23
,Frauen,26’970,5’670,21,4’816,17.9
Eintrittskohorte EBA (2 Jahre),Total,4’706,1’256,26.7,1’052,22.4
,Männer,2’405,727,30.2,596,24.8
,Frauen,2’301,529,23,456,19.8
Eintrittskohorte EFZ 3 Jahre,Total,41’431,9’964,24,8’293,20
,Männer,19’057,5’358,28.1,4’393,23.1
,Frauen,22’374,4’606,20.6,3’900,17.4
Eintrittskohorte EFZ 4 Jahre,Total,14’321,3’787,26.4,3’163,22.1
,Männer,12’026,3’252,27,2’703,22.5
,Frauen,2’295,535,23.3,460,20
