Berufliche Grundbildung: Lehrvertragsauflösung,,,
Eintrittskohorte 2012: Bildungsverläufe bis 31.12.2016,,,
zurück zum Inhalt,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
"Tabelle 10a: LVA-Quote, personenbezogen nach Kanton - Gesamte Eintrittskohorte",,,
,Gesamte Eintrittskohorte,,
Lehrbetriebskanton,Total Lernende,Anzahl Lernende mit LVA,LVA-Quote
Total,60’458,12’508,20.7
Zürich,10’859,2’006,18.5
Bern / Berne,8’611,1’711,19.9
Luzern,3’819,583,15.3
Uri,360,53,14.7
Schwyz,1’058,197,18.6
Obwalden,341,67,19.6
Nidwalden,351,53,15.1
Glarus,402,82,20.4
Zug,1’123,214,19.1
Fribourg / Freiburg,2’072,530,25.6
Solothurn,1’906,347,18.2
Basel-Stadt,1’620,385,23.8
Basel-Landschaft,1’657,394,23.8
Schaffhausen,772,106,13.7
Appenzell Ausserrhoden,423,65,15.4
Appenzell Innerrhoden,155,9,5.8
St. Gallen,4’895,715,14.6
Graubünden / Grigioni / Grischun,1’663,305,18.3
Aargau,5’092,1’157,22.7
Thurgau,2’164,370,17.1
Ticino,1’486,441,29.7
Vaud,4’316,1’178,27.3
Valais / Wallis,2’205,637,28.9
Neuchâtel,1’115,296,26.5
Genève,1’475,474,32.1
Jura,518,133,25.7
,,,
,,,
"Tabelle 10b: LVA-Quote, personenbezogen nach Kanton - EBA (2 Jahre)",,,
,Eintrittskohorte EBA (2 Jahre),,
Lehrbetriebskanton,Total Lernende,Anzahl Lernende mit LVA,LVA-Quote
Total,4’706,1’052,22.4
Zürich,866,158,18.2
Bern / Berne,544,146,26.8
Luzern,324,44,13.6
Uri,9,*,*
Schwyz,64,11,17.2
Obwalden,21,*,*
Nidwalden,9,*,*
Glarus,29,*,*
Zug,77,18,23.4
Fribourg / Freiburg,136,35,25.7
Solothurn,219,35,16
Basel-Stadt,238,50,21
Basel-Landschaft,197,45,22.8
Schaffhausen,62,13,21
Appenzell Ausserrhoden,39,9,23.1
Appenzell Innerrhoden,6,*,*
St. Gallen,375,55,14.7
Graubünden / Grigioni / Grischun,97,28,28.9
Aargau,398,101,25.4
Thurgau,164,30,18.3
Ticino,143,32,22.4
Vaud,251,61,24.3
Valais / Wallis,133,35,26.3
Neuchâtel,103,32,31.1
Genève,171,95,55.6
Jura,31,4,12.9
* Kantone mit weniger als 30 Lehrverhältnissen,,,
,,,
,,,
"Tabelle 10c: LVA-Quote, personenbezogen nach Kanton - EFZ 3 Jahre",,,
,Eintrittskohorte EFZ 3 Jahre,,
Lehrbetriebskanton,Total Lernende,Anzahl Lernende mit LVA,LVA-Quote
Total,41’431,8’293,20
Zürich,7’513,1’335,17.8
Bern / Berne,6’071,1’153,19
Luzern,2’566,368,14.3
Uri,258,35,13.6
Schwyz,720,127,17.6
Obwalden,225,48,21.3
Nidwalden,237,38,16
Glarus,270,53,19.6
Zug,734,140,19.1
Fribourg / Freiburg,1’412,350,24.8
Solothurn,1’226,225,18.4
Basel-Stadt,1’076,267,24.8
Basel-Landschaft,1’094,260,23.8
Schaffhausen,518,74,14.3
Appenzell Ausserrhoden,281,42,14.9
Appenzell Innerrhoden,113,5,4.4
St. Gallen,3’264,480,14.7
Graubünden / Grigioni / Grischun,1’111,201,18.1
Aargau,3’481,801,23
Thurgau,1’446,223,15.4
Ticino,1’028,288,28
Vaud,3’201,814,25.4
Valais / Wallis,1’451,394,27.2
Neuchâtel,765,187,24.4
Genève,1’001,287,28.7
Jura,369,98,26.6
,,,
,,,
"Tabelle 10d: LVA-Quote, personenbezogen nach Kanton - EFZ 4 Jahre",,,
,Eintrittskohorte EFZ 4 Jahre,,
Lehrbetriebskanton,Total Lernende,Anzahl Lernende mit LVA,LVA-Quote
Total,14’321,3’163,22.1
Zürich,2’480,513,20.7
Bern / Berne,1’996,412,20.6
Luzern,929,171,18.4
Uri,93,17,18.3
Schwyz,274,59,21.5
Obwalden,95,15,15.8
Nidwalden,105,14,13.3
Glarus,103,23,22.3
Zug,312,56,17.9
Fribourg / Freiburg,524,145,27.7
Solothurn,461,87,18.9
Basel-Stadt,306,68,22.2
Basel-Landschaft,366,89,24.3
Schaffhausen,192,19,9.9
Appenzell Ausserrhoden,103,14,13.6
Appenzell Innerrhoden,36,1,**
St. Gallen,1’256,180,14.3
Graubünden / Grigioni / Grischun,455,76,16.7
Aargau,1’213,255,21
Thurgau,554,117,21.1
Ticino,315,121,38.4
Vaud,864,303,35.1
Valais / Wallis,621,208,33.5
Neuchâtel,247,77,31.2
Genève,303,92,30.4
Jura,118,31,26.3
** Quote aufgrund von zu tiefen Fallzahlen nicht aussagekräftig,,,
