,Beruf,Total Lernende,Anzahl Lernende mit LVA,LVA-Quote
,alle,57654,11901,20.6
211,Audiovisuelle Techniken und Medienproduktion,816,218,26.7
,Flexodrucker/in EFZ,11,*,*
,Printmedienpraktiker/in EBA,18,*,*
,Printmedienverarbeiter/in EFZ,46,8,17.4
,Drucktechnologe/-technologin EFZ,125,36,28.8
,Fotofachmann/-frau EFZ,80,21,26.3
,Polygraf/in EFZ,166,42,25.3
,Interactive Media Designer EFZ,2,*,*
,Mediamatiker/in EFZ,255,75,29.4
,Veranstaltungsfachmann/-frau EFZ,19,*,*
,Fotograf/in EFZ,10,*,*
,Grafiker/in EFZ,84,22,26.2
212,"Mode, Innenarchitektur und industrielles Design",297,56,18.9
,Dekorationsnäher/in EBA,1,*,*
,Innendekorateur/in,57,12,21.1
,Wohntextilgestalter/in EFZ,15,*,*
,Theatermaler/in EFZ,2,*,*
,Gestalter/in Werbetechnik EFZ,136,30,22.1
,Polydesigner/in 3D EFZ,86,11,12.8
214,Kunsthandwerk,312,69,22.1
,Florist/in EFZ,240,49,20.4
,Florist/in EBA,18,*,*
,Gewebegestalter/in EFZ,1,*,*
,Holzhandwerker/in EFZ,4,*,*
,Vergolder/in-Einrahmer/in EFZ,3,*,*
,Keramiker/in EFZ,3,*,*
,Steinbildhauer/in EFZ,5,*,*
,Goldschmied/in EFZ,29,*,*
,Musikinstrumentenbauer/in EFZ,8,*,*
,Holzbildhauer/in EFZ,1,*,*
215,Musik und darstellende Kunst,6,*,*
,Bühnentänzer/in EFZ,6,*,*
322,"Bibliothek, Informationswesen, Archiv",70,4,5.7
,Fachmann/-frau Information und Dokumentation EFZ,70,4,5.7
410,Wirtschaft und Verwaltung nicht näher definiert,9689,1103,11.4
,Kaufmann/-frau EFZ E,8926,898,10.1
,Kaufmann/-frau EFZ B,763,205,26.9
415,Sekretariats- und Büroarbeit,332,60,18.1
,Büroassistent/in EBA,332,60,18.1
416,Gross- und Einzelhandel,7880,1718,21.8
,Detailhandelsassistent/in EBA,1118,261,23.3
,Detailhandelsfachmann/-frau EFZ,4232,1024,24.2
,Drogist/in EFZ,245,42,17.1
,Pharma-Assistent/in EFZ,828,158,19.1
,Buchhändler/in EFZ,78,13,16.7
