Berufliche Grundbildung: Wiedereinstieg,,
Eintrittskohorte 2013: Bildungsverläufe bis 31.12.2017,,
zurück zum Inhalt,,
,,
,,
Tabelle 13a: Dauer des Unterbruchs nach der ersten LVA bis zum Wiedereinstieg - Gesamte Eintrittskohorte,,
Anzahl Jahre,Gesamte Eintrittskohorte,
,Anzahl Lernende mit Wiedereinstieg,%
Total,9478,100
Im 1. Jahr nach LVA,7624,80.4
Im 2. Jahr nach LVA,1301,13.7
> 2. Jahr,553,5.8
,,
,,
,,
Tabelle 13b: Dauer des Unterbruchs nach der ersten LVA bis zum Wiedereinstieg - EBA (2 Jahre),,
Anzahl Jahre,Eintrittskohorte EBA (2 Jahre),
,Anzahl Lernende mit Wiedereinstieg,%
Total,693,100
Im 1. Jahr nach LVA,534,77.1
Im 2. Jahr nach LVA,96,13.9
> 2. Jahr,63,9.1
,,
,,
,,
Tabelle 13c: Dauer des Unterbruchs nach der ersten LVA bis zum Wiedereinstieg - EFZ 3 Jahre,,
Anzahl Jahre,Eintrittskohorte EFZ 3 Jahre,
,Anzahl Lernende mit Wiedereinstieg,%
Total,6269,100
Im 1. Jahr nach LVA,4989,79.6
Im 2. Jahr nach LVA,886,14.1
> 2. Jahr,394,6.3
,,
,,
,,
Tabelle 13d: Dauer des Unterbruchs nach der ersten LVA bis zum Wiedereinstieg - EFZ 4 Jahre,,
Anzahl Jahre,Eintrittskohorte EFZ 4 Jahre,
,Anzahl Lernende mit Wiedereinstieg,%
Total,2516,100
Im 1. Jahr nach LVA,2101,83.5
Im 2. Jahr nach LVA,319,12.7
> 2. Jahr,96,3.8
