Berufliche Grundbildung: Lehrvertragsauflösung,,,
Eintrittskohorte 2013: Bildungsverläufe bis 31.12.2017,,,
zurück zum Inhalt,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
"Tabelle 10a: LVA-Quote, personenbezogen nach Kanton - Gesamte Eintrittskohorte",,,
,Gesamte Eintrittskohorte,,
Lehrbetriebskanton,Total Lernende,Anzahl Lernende mit LVA,LVA-Quote
Total,57654,11901,20.6
Zürich,10594,1918,18.1
Bern / Berne,8275,1662,20.1
Luzern,3673,567,15.4
Uri,352,34,9.7
Schwyz,1007,192,19.1
Obwalden,336,63,18.8
Nidwalden,346,59,17.1
Glarus,397,88,22.2
Zug,1036,217,20.9
Fribourg / Freiburg,2102,513,24.4
Solothurn,1843,336,18.2
Basel-Stadt,1586,424,26.7
Basel-Landschaft,1616,399,24.7
Schaffhausen,704,103,14.6
Appenzell Ausserrhoden,424,62,14.6
Appenzell Innerrhoden,145,4,2.8
St. Gallen,4679,737,15.8
Graubünden / Grigioni / Grischun,1508,257,17
Aargau,4921,1041,21.2
Thurgau,1974,304,15.4
Ticino,1312,414,31.6
Vaud,4010,1141,28.5
Valais / Wallis,2064,588,28.5
Neuchâtel,1034,272,26.3
Genève,1272,392,30.8
Jura,444,114,25.7
,,,
,,,
"Tabelle 10b: LVA-Quote, personenbezogen nach Kanton - EBA (2 Jahre)",,,
,Eintrittskohorte EBA (2 Jahre),,
Lehrbetriebskanton,Total Lernende,Anzahl Lernende mit LVA,LVA-Quote
Total,4740,1081,22.8
Zürich,850,166,19.5
Bern / Berne,586,163,27.8
Luzern,332,45,13.6
Uri,17,*,*
Schwyz,69,16,23.2
Obwalden,21,*,*
Nidwalden,28,*,*
Glarus,43,12,27.9
Zug,72,17,23.6
Fribourg / Freiburg,127,30,23.6
Solothurn,210,34,16.2
Basel-Stadt,210,49,23.3
Basel-Landschaft,212,58,27.4
Schaffhausen,57,9,15.8
Appenzell Ausserrhoden,40,13,32.5
Appenzell Innerrhoden,6,*,*
St. Gallen,337,73,21.7
Graubünden / Grigioni / Grischun,80,16,20
Aargau,445,112,25.2
Thurgau,171,23,13.5
Ticino,124,22,17.7
Vaud,254,47,18.5
Valais / Wallis,154,37,24
Neuchâtel,100,28,28
Genève,161,91,56.5
Jura,34,5,14.7
* Kantone mit weniger als 30 Lehrverhältnissen,,,
,,,
,,,
"Tabelle 10c: LVA-Quote, personenbezogen nach Kanton - EFZ 3 Jahre",,,
,Eintrittskohorte EFZ 3 Jahre,,
Lehrbetriebskanton,Total Lernende,Anzahl Lernende mit LVA,LVA-Quote
Total,39399,7850,19.9
Zürich,7339,1284,17.5
Bern / Berne,5725,1071,18.7
Luzern,2425,356,14.7
Uri,239,21,8.8
Schwyz,686,123,17.9
Obwalden,206,46,22.3
Nidwalden,220,37,16.8
Glarus,276,52,18.8
Zug,661,144,21.8
Fribourg / Freiburg,1503,340,22.6
Solothurn,1189,210,17.7
Basel-Stadt,1059,288,27.2
Basel-Landschaft,1083,255,23.5
Schaffhausen,488,82,16.8
Appenzell Ausserrhoden,297,36,12.1
Appenzell Innerrhoden,91,2,**
St. Gallen,3156,487,15.4
Graubünden / Grigioni / Grischun,1009,173,17.1
Aargau,3308,710,21.5
Thurgau,1292,184,14.2
Ticino,894,270,30.2
Vaud,2972,803,27
Valais / Wallis,1341,373,27.8
Neuchâtel,732,179,24.5
Genève,898,242,26.9
Jura,310,82,26.5
** Quote aufgrund von zu tiefen Fallzahlen nicht aussagekräftig,,,
,,,
,,,
"Tabelle 10d: LVA-Quote, personenbezogen nach Kanton - EFZ 4 Jahre",,,
,Eintrittskohorte EFZ 4 Jahre,,
Lehrbetriebskanton,Total Lernende,Anzahl Lernende mit LVA,LVA-Quote
Total,13515,2970,22
Zürich,2405,468,19.5
Bern / Berne,1964,428,21.8
Luzern,916,166,18.1
Uri,96,11,11.5
Schwyz,252,53,21
Obwalden,109,11,10.1
Nidwalden,98,15,15.3
Glarus,78,24,30.8
Zug,303,56,18.5
Fribourg / Freiburg,472,143,30.3
Solothurn,444,92,20.7
Basel-Stadt,317,87,27.4
Basel-Landschaft,321,86,26.8
Schaffhausen,159,12,7.5
Appenzell Ausserrhoden,87,13,14.9
Appenzell Innerrhoden,48,2,**
St. Gallen,1186,177,14.9
Graubünden / Grigioni / Grischun,419,68,16.2
Aargau,1168,219,18.8
Thurgau,511,97,19
Ticino,294,122,41.5
Vaud,784,291,37.1
Valais / Wallis,569,178,31.3
Neuchâtel,202,65,32.2
Genève,213,59,27.7
Jura,100,27,27
** Quote aufgrund von zu tiefen Fallzahlen nicht aussagekräftig,,,
