Berufliche Grundbildung: Lehrvertragsauflösung,,,,,,
Eintrittskohorte 2013: Bildungsverläufe bis 31.12.2017,,,,,,
zurück zum Inhalt,,,,,,
,,,,,,
,,,,,,
"Tabelle 5: LVA-Quote, vertrags- und personenbezogen nach Standardausbildungsdauer, Staatsangehörigkeit und Geburtsland",,,,,,
Standardausbildungsdauer,Staatsangehörigkeit und Geburtsland,Total Lernende,Anzahl LVA insgesamt,Vertragsbezogene LVA-Quote,Anzahl Lernende mit mindestens einer LVA,Personenbezogene LVA-Quote
Gesamte Eintrittskohorte,Total,57654,14569,25.3,11901,20.6
,Lernende schweizerischer Staatsangehörigkeit,46913,10996,23.4,9011,19.2
,"Lernende ausländischer Staatsangehörigkeit, in CH geboren",5663,1669,29.5,1358,24
,"Lernende ausländischer Staatsangehörigkeit, im Ausland geboren",5042,1887,37.4,1519,30.1
,Unbekannt,36,17,47.2,13,36.1
Eintrittskohorte EBA (2 Jahre),Total,4740,1334,28.1,1081,22.8
,Lernende schweizerischer Staatsangehörigkeit,2761,756,27.4,614,22.2
,"Lernende ausländischer Staatsangehörigkeit, in CH geboren",880,234,26.6,191,21.7
,"Lernende ausländischer Staatsangehörigkeit, im Ausland geboren",1079,340,31.5,272,25.2
,Unbekannt,20,4,20,4,20
Eintrittskohorte EFZ 3 Jahre,Total,39399,9611,24.4,7850,19.9
,Lernende schweizerischer Staatsangehörigkeit,32323,7317,22.6,5988,18.5
,"Lernende ausländischer Staatsangehörigkeit, in CH geboren",3852,1098,28.5,904,23.5
,"Lernende ausländischer Staatsangehörigkeit, im Ausland geboren",3208,1183,36.9,949,29.6
,Unbekannt,16,13,81.2,9,56.3
Eintrittskohorte EFZ 4 Jahre,Total,13515,3624,26.8,2970,22
,Lernende schweizerischer Staatsangehörigkeit,11829,2923,24.7,2409,20.4
,"Lernende ausländischer Staatsangehörigkeit, in CH geboren",931,337,36.2,263,28.2
,"Lernende ausländischer Staatsangehörigkeit, im Ausland geboren",755,364,48.2,298,39.5
,Unbekannt,.,.,.,.,.
