Berufliche Grundbildung: Lehrvertragsauflösung,,
Eintrittskohorte 2013: Bildungsverläufe bis 31.12.2017,,
zurück zum Inhalt,,
,,
,,
Tabelle 11a: Zeitpunkt der ersten LVA - Gesamte Eintrittskohorte,,
,Gesamte Eintrittskohorte,
Lehrjahr,Anzahl Lernende mit LVA,%
Total,11901,100
Probezeit (1.-3. Monat)*,578,4.9
1. Lehrjahr (4.-12. Monat),5834,49
2. Lehrjahr,3735,31.4
> 2. Lehrjahr,1754,14.7
"* Dauert mindestens einen Monat, maximal 3 Monate je nach Lehrbetrieb",,
,,
,,
Tabelle 11b: Zeitpunkt der ersten LVA - EBA (2 Jahre),,
,Eintrittskohorte EBA (2 Jahre),
Lehrjahr,Anzahl Lernende mit LVA,%
Total,1081,100
Probezeit (1.-3. Monat)*,76,7
1. Lehrjahr (4.-12. Monat),636,58.8
2. Lehrjahr,319,29.5
> 2. Lehrjahr,50,4.6
"* Dauert mindestens einen Monat, maximal 3 Monate je nach Lehrbetrieb",,
,,
,,
Tabelle 11c: Zeitpunkt der ersten LVA - EFZ 3 Jahre,,
,Eintrittskohorte EFZ 3 Jahre,
Lehrjahr,Anzahl Lernende mit LVA,%
Total,7850,100
Probezeit (1.-3. Monat)*,414,5.3
1. Lehrjahr (4.-12. Monat),3951,50.3
2. Lehrjahr,2514,32
> 2. Lehrjahr,971,12.4
"* Dauert mindestens einen Monat, maximal 3 Monate je nach Lehrbetrieb",,
,,
,,
Tabelle 11d: Zeitpunkt der ersten LVA - EFZ 4 Jahre,,
,Eintrittskohorte EFZ 4 Jahre,
Lehrjahr,Anzahl Lernende mit LVA,%
Total,2970,100
Probezeit (1.-3. Monat)*,88,3
1. Lehrjahr (4.-12. Monat),1247,42
2. Lehrjahr,902,30.4
> 2. Lehrjahr,733,24.7
"* Dauert mindestens einen Monat, maximal 3 Monate je nach Lehrbetrieb",,
